Subtotal Area	JULIÁN CASTRO	MICHAEL A. ELLINGER	ELIZABETH WARREN	MARIANNE WILLIAMSON	ANDREW YANG	ROQUE "ROCKY" DE LA FUENTE III	JOHN K. DELANEY	AMY KLOBUCHAR	BERNIE SANDERS	JOE SESTAK	TOM STEYER	DEVAL PATRICK	MICHAEL BENNET	MICHAEL R. BLOOMBERG	MOSIE BOYD	CORY BOOKER	PETE BUTTIGIEG	JOSEPH R. BIDEN	TULSI GABBARD	MARK STEWART GREENSTEIN	NAKIA L. ANTHONY	DAPHNE DENISE BRADFORD	WILLIE FELIX CARTER	MICHAEL DENAME	JEFFREY H. DROBMAN	ROBERT JORDAN	HEATHER MARIE STAGG	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7507 - Vote By Mail	0	0	46	0	9	0	0	0	97	0	4	0	0	17	0	1	9	54	3	0	0	0	0	0	0	0	0	694	243	0	2	1	240	0
Precinct 7507 - Election Day	0	0	9	1	0	0	0	0	44	0	0	0	1	7	0	0	0	35	0	0	0	0	0	0	0	0	0	262	99	0	1	0	98	1
Precinct 7507	0	0	55	1	9	0	0	0	141	0	4	0	1	24	0	1	9	89	3	0	0	0	0	0	0	0	0	956	342	0	3	1	338	1
Precinct 7508 - Vote By Mail	0	0	65	0	10	0	0	13	87	0	3	0	0	44	0	0	27	60	1	0	0	0	0	0	0	0	0	618	318	0	3	5	310	0
Precinct 7508 - Election Day	0	1	15	0	1	0	0	0	29	0	0	0	1	11	0	0	1	31	1	0	0	0	0	0	0	0	0	126	93	0	0	2	91	0
Precinct 7508	0	1	80	0	11	0	0	13	116	0	3	0	1	55	0	0	28	91	2	0	0	0	0	0	0	0	0	744	411	0	3	7	401	0
Precinct 7509/7511 - Vote By Mail	0	0	79	0	0	0	0	7	117	0	3	0	0	48	0	0	33	56	0	0	0	0	0	0	0	0	0	756	344	0	1	0	343	0
Precinct 7509/7511 - Election Day	0	0	34	0	0	0	0	0	40	0	1	0	0	13	0	0	1	45	0	0	0	0	0	0	0	0	0	173	134	0	0	0	134	0
Precinct 7509/7511	0	0	113	0	0	0	0	7	157	0	4	0	0	61	0	0	34	101	0	0	0	0	0	0	0	0	0	929	478	0	1	0	477	0
Precinct 7512 - Vote By Mail	0	0	41	0	2	0	0	5	52	0	0	0	0	27	0	0	14	29	0	1	0	0	0	0	0	0	0	475	174	0	0	3	171	0
Precinct 7512 - Election Day	0	0	15	0	0	0	0	0	28	0	2	0	0	8	0	0	0	24	0	0	0	0	0	0	0	0	0	125	77	0	0	0	77	0
Precinct 7512	0	0	56	0	2	0	0	5	80	0	2	0	0	35	0	0	14	53	0	1	0	0	0	0	0	0	0	600	251	0	0	3	248	0
Precinct 7513 - Vote By Mail	0	1	37	0	3	0	0	1	74	0	1	0	0	25	0	0	6	43	3	2	0	0	0	0	0	0	0	575	200	0	0	4	196	0
Precinct 7513 - Election Day	0	0	21	0	1	0	0	0	51	0	1	0	0	6	0	0	0	28	2	0	0	0	0	0	0	0	0	231	110	0	0	0	110	0
Precinct 7513	0	1	58	0	4	0	0	1	125	0	2	0	0	31	0	0	6	71	5	2	0	0	0	0	0	0	0	806	310	0	0	4	306	0
Precinct 7514 - Vote By Mail	0	0	10	1	1	0	0	0	76	0	4	0	0	33	0	0	3	59	0	1	0	0	0	0	0	0	0	709	196	0	1	7	188	0
Precinct 7514 - Election Day	0	0	0	0	0	0	0	0	23	0	0	0	0	8	0	0	0	25	0	1	0	0	0	0	0	0	0	207	57	0	0	0	57	0
Precinct 7514	0	0	10	1	1	0	0	0	99	0	4	0	0	41	0	0	3	84	0	2	0	0	0	0	0	0	0	916	253	0	1	7	245	0
Precinct 7515 - Vote By Mail	0	0	60	0	3	1	0	3	87	0	4	0	0	35	0	0	11	73	0	0	0	0	0	0	0	0	0	663	280	0	0	3	277	0
Precinct 7515 - Election Day	0	0	17	0	0	0	0	0	34	0	0	0	0	5	0	0	0	31	0	0	0	0	0	0	0	0	0	201	87	0	0	0	87	0
Precinct 7515	0	0	77	0	3	1	0	3	121	0	4	0	0	40	0	0	11	104	0	0	0	0	0	0	0	0	0	864	367	0	0	3	364	0
Precinct 7516 - Vote By Mail	0	0	66	0	5	0	0	13	119	0	6	0	2	49	0	0	27	64	1	0	0	0	0	0	0	0	0	773	353	0	0	1	352	0
Precinct 7516 - Election Day	0	0	21	0	1	0	0	1	31	0	0	0	0	20	0	0	0	38	0	0	0	0	0	0	0	0	0	147	112	0	0	0	112	0
Precinct 7516	0	0	87	0	6	0	0	14	150	0	6	0	2	69	0	0	27	102	1	0	0	0	0	0	0	0	0	920	465	0	0	1	464	0
Precinct 7517 - Vote By Mail	0	0	93	0	2	0	0	9	109	0	4	0	0	32	0	0	12	70	0	0	0	0	0	0	0	0	0	645	332	0	0	1	331	0
Precinct 7517 - Election Day	0	0	68	0	0	0	0	0	50	0	0	0	1	13	0	0	0	45	0	0	0	0	0	0	0	0	0	223	177	0	0	0	177	0
Precinct 7517	0	0	161	0	2	0	0	9	159	0	4	0	1	45	0	0	12	115	0	0	0	0	0	0	0	0	0	868	509	0	0	1	508	0
Precinct 7518 - Vote By Mail	0	0	128	0	3	0	0	11	112	0	1	0	0	26	0	1	14	60	0	0	0	0	0	0	0	0	0	708	357	0	0	1	356	0
Precinct 7518 - Election Day	0	0	59	0	0	0	0	0	74	0	0	0	0	6	0	0	0	41	0	0	0	0	0	0	0	0	0	218	180	0	0	0	180	0
Precinct 7518	0	0	187	0	3	0	0	11	186	0	1	0	0	32	0	1	14	101	0	0	0	0	0	0	0	0	0	926	537	0	0	1	536	0
Precinct 7519 - Vote By Mail	0	0	87	0	0	0	0	6	78	0	1	0	0	12	0	0	12	37	0	0	0	0	0	0	0	0	0	543	234	0	0	1	233	0
Precinct 7519 - Election Day	0	0	41	0	1	0	0	1	52	0	1	0	0	9	0	0	1	28	0	0	0	0	0	0	0	0	0	172	134	0	0	0	134	0
Precinct 7519	0	0	128	0	1	0	0	7	130	0	2	0	0	21	0	0	13	65	0	0	0	0	0	0	0	0	0	715	368	0	0	1	367	0
Precinct 7521 - Vote By Mail	0	0	87	0	2	0	0	2	118	0	1	0	0	18	0	0	21	50	0	0	0	0	0	0	0	0	0	597	300	0	0	1	299	0
Precinct 7521 - Election Day	0	0	40	0	0	0	0	0	51	0	0	0	0	12	0	0	0	40	0	0	0	0	0	0	0	0	0	182	143	0	0	0	143	0
Precinct 7521	0	0	127	0	2	0	0	2	169	0	1	0	0	30	0	0	21	90	0	0	0	0	0	0	0	0	0	779	443	0	0	1	442	0
Precinct 7522 - Vote By Mail	0	0	75	0	1	0	0	7	90	0	3	0	0	19	0	0	14	69	0	0	0	0	0	0	0	0	0	588	279	0	0	1	278	0
Precinct 7522 - Election Day	0	0	55	0	0	0	0	0	60	0	0	0	0	6	0	0	0	32	0	0	0	0	0	0	0	0	0	171	154	0	0	1	153	0
Precinct 7522	0	0	130	0	1	0	0	7	150	0	3	0	0	25	0	0	14	101	0	0	0	0	0	0	0	0	0	759	433	0	0	2	431	0
Precinct 7523 - Vote By Mail	0	0	86	0	0	0	0	4	84	0	0	0	0	15	0	0	15	49	1	0	0	0	0	0	0	0	0	564	254	0	0	0	254	0
Precinct 7523 - Election Day	0	0	43	0	0	0	0	0	67	0	0	0	0	4	0	0	1	47	0	0	0	0	0	0	0	0	0	180	162	0	0	0	162	0
Precinct 7523	0	0	129	0	0	0	0	4	151	0	0	0	0	19	0	0	16	96	1	0	0	0	0	0	0	0	0	744	416	0	0	0	416	0
Precinct 7524 - Vote By Mail	0	0	50	0	0	0	0	3	73	0	4	0	0	17	0	0	8	44	2	0	0	0	0	0	0	0	0	480	201	0	0	0	201	0
Precinct 7524 - Election Day	0	0	24	0	0	0	0	0	31	0	0	0	0	9	0	0	0	36	0	0	0	0	0	0	0	0	0	144	100	0	0	0	100	0
Precinct 7524	0	0	74	0	0	0	0	3	104	0	4	0	0	26	0	0	8	80	2	0	0	0	0	0	0	0	0	624	301	0	0	0	301	0
Precinct 7525 - Vote By Mail	0	0	72	0	1	0	0	4	68	0	0	0	0	19	0	0	11	47	0	0	0	0	0	0	0	0	0	594	223	0	0	1	222	0
Precinct 7525 - Election Day	0	0	26	0	0	0	0	0	27	0	0	0	0	4	0	0	0	36	0	0	0	0	0	0	0	0	0	170	93	0	0	0	93	0
Precinct 7525	0	0	98	0	1	0	0	4	95	0	0	0	0	23	0	0	11	83	0	0	0	0	0	0	0	0	0	764	316	0	0	1	315	0
Precinct 7526 - Vote By Mail	0	0	93	0	1	0	0	7	120	1	2	0	0	32	0	0	25	76	0	0	0	0	0	0	0	0	0	826	357	0	0	0	357	0
Precinct 7526 - Election Day	0	0	36	0	0	0	0	0	56	0	0	0	0	16	0	0	0	38	0	0	0	0	0	0	0	0	0	162	146	0	0	0	146	0
Precinct 7526	0	0	129	0	1	0	0	7	176	1	2	0	0	48	0	0	25	114	0	0	0	0	0	0	0	0	0	988	503	0	0	0	503	0
Precinct 7527/7528 - Vote By Mail	3	0	61	1	3	0	0	3	89	0	0	0	0	26	0	0	13	36	0	0	0	0	0	0	0	0	0	538	239	0	2	2	235	0
Precinct 7527/7528 - Election Day	0	0	33	0	1	0	0	0	28	0	0	0	0	9	0	0	0	24	0	0	0	0	0	0	0	0	0	172	97	0	0	2	95	0
Precinct 7527/7528	3	0	94	1	4	0	0	3	117	0	0	0	0	35	0	0	13	60	0	0	0	0	0	0	0	0	0	710	336	0	2	4	330	0
Precinct 7529 - Vote By Mail	0	0	100	0	0	0	0	4	141	0	0	0	0	22	0	0	20	53	1	0	0	0	0	0	0	0	0	749	343	0	1	1	341	0
Precinct 7529 - Election Day	0	0	44	0	2	0	0	1	83	0	0	0	0	13	0	0	0	38	0	0	0	0	0	0	0	0	0	154	182	0	0	0	182	1
Precinct 7529	0	0	144	0	2	0	0	5	224	0	0	0	0	35	0	0	20	91	1	0	0	0	0	0	0	0	0	903	525	0	1	1	523	1
Precinct 7531 - Vote By Mail	0	0	96	0	2	0	0	5	120	0	0	0	0	19	0	0	20	45	0	0	0	0	0	0	0	0	0	714	308	0	0	1	307	0
Precinct 7531 - Election Day	0	0	35	0	0	0	0	0	63	0	0	0	0	5	0	0	0	30	0	0	0	0	0	0	0	0	0	159	134	0	0	0	134	1
Precinct 7531	0	0	131	0	2	0	0	5	183	0	0	0	0	24	0	0	20	75	0	0	0	0	0	0	0	0	0	873	442	0	0	1	441	1
Precinct 7532 - Vote By Mail	0	0	91	0	6	0	1	7	81	0	1	0	0	23	0	0	15	61	2	0	0	0	0	0	0	0	0	668	292	0	0	4	288	0
Precinct 7532 - Election Day	0	0	27	0	1	0	0	1	49	0	2	0	0	10	0	0	0	36	1	0	0	0	0	0	0	0	0	167	130	0	0	2	128	1
Precinct 7532	0	0	118	0	7	0	1	8	130	0	3	0	0	33	0	0	15	97	3	0	0	0	0	0	0	0	0	835	422	0	0	6	416	1
Precinct 7533 - Vote By Mail	0	0	107	0	3	0	0	2	173	0	1	0	0	17	0	0	16	42	1	0	0	0	0	0	0	0	0	776	362	0	0	0	362	0
Precinct 7533 - Election Day	0	0	38	0	0	0	0	1	83	0	1	0	0	12	0	0	0	45	2	0	0	0	0	0	0	0	0	194	182	0	0	0	182	0
Precinct 7533	0	0	145	0	3	0	0	3	256	0	2	0	0	29	0	0	16	87	3	0	0	0	0	0	0	0	0	970	544	0	0	0	544	0
Precinct 7534 - Vote By Mail	0	0	112	0	1	0	1	1	142	0	0	0	0	30	0	0	10	44	1	0	0	0	0	0	0	0	0	670	344	0	0	2	342	0
Precinct 7534 - Election Day	0	0	53	0	2	0	0	0	85	0	0	0	0	8	0	0	0	38	0	0	0	0	0	0	0	0	0	233	186	0	0	0	186	0
Precinct 7534	0	0	165	0	3	0	1	1	227	0	0	0	0	38	0	0	10	82	1	0	0	0	0	0	0	0	0	903	530	0	0	2	528	0
Precinct 7535 - Vote By Mail	0	0	85	0	2	0	0	7	98	0	1	0	0	11	0	0	12	50	0	0	0	0	0	0	0	0	0	606	267	0	0	1	266	0
Precinct 7535 - Election Day	0	0	54	0	0	0	0	0	56	0	0	0	0	6	0	0	0	48	0	0	0	0	0	0	0	0	0	139	164	0	0	0	164	0
Precinct 7535	0	0	139	0	2	0	0	7	154	0	1	0	0	17	0	0	12	98	0	0	0	0	0	0	0	0	0	745	431	0	0	1	430	0
Precinct 7536 - Vote By Mail	0	0	86	0	2	0	0	7	121	0	0	0	0	22	0	1	21	63	0	0	0	0	0	0	0	0	0	670	325	0	0	2	323	0
Precinct 7536 - Election Day	0	0	61	0	0	0	0	0	58	0	0	0	0	4	0	0	0	43	0	0	0	0	0	0	0	0	0	163	166	0	0	0	166	0
Precinct 7536	0	0	147	0	2	0	0	7	179	0	0	0	0	26	0	1	21	106	0	0	0	0	0	0	0	0	0	833	491	0	0	2	489	0
Precinct 7537 - Vote By Mail	0	0	98	0	2	0	0	6	76	0	1	0	0	30	0	0	16	44	0	0	0	0	0	0	0	0	0	619	274	0	0	1	273	0
Precinct 7537 - Election Day	0	0	42	0	0	0	0	0	59	0	0	0	0	10	0	0	1	34	0	0	0	0	0	0	0	0	0	126	147	0	0	0	147	1
Precinct 7537	0	0	140	0	2	0	0	6	135	0	1	0	0	40	0	0	17	78	0	0	0	0	0	0	0	0	0	745	421	0	0	1	420	1
Precinct 7538 - Vote By Mail	0	0	94	0	0	0	0	3	83	0	1	0	1	24	0	0	19	65	1	1	0	0	0	0	0	0	0	562	293	0	0	1	292	0
Precinct 7538 - Election Day	0	0	51	0	0	0	0	0	74	0	0	0	0	5	0	0	1	39	0	0	0	0	0	0	0	0	0	189	171	0	1	0	170	0
Precinct 7538	0	0	145	0	0	0	0	3	157	0	1	0	1	29	0	0	20	104	1	1	0	0	0	0	0	0	0	751	464	0	1	1	462	0
Precinct 7539 - Vote By Mail	0	0	128	0	1	0	0	6	124	0	1	0	0	18	0	0	20	51	0	0	0	0	0	0	0	0	0	696	350	0	0	1	349	0
Precinct 7539 - Election Day	0	0	66	0	0	0	0	1	85	0	0	0	0	13	0	0	0	27	0	0	0	0	0	0	0	0	0	225	192	0	0	0	192	0
Precinct 7539	0	0	194	0	1	0	0	7	209	0	1	0	0	31	0	0	20	78	0	0	0	0	0	0	0	0	0	921	542	0	0	1	541	0
Precinct 7541 - Vote By Mail	0	0	91	0	2	0	0	3	85	0	1	0	0	17	0	0	19	47	0	0	0	0	0	0	0	0	0	600	266	0	0	1	265	0
Precinct 7541 - Election Day	0	0	55	1	0	0	0	0	65	0	0	0	0	5	0	0	0	35	0	0	0	0	0	0	0	0	0	170	161	0	0	0	161	0
Precinct 7541	0	0	146	1	2	0	0	3	150	0	1	0	0	22	0	0	19	82	0	0	0	0	0	0	0	0	0	770	427	0	0	1	426	0
Precinct 7542 - Vote By Mail	0	0	90	0	1	0	0	2	129	0	2	2	0	17	0	1	17	35	0	0	0	0	0	0	0	0	0	632	297	0	0	1	296	0
Precinct 7542 - Election Day	0	0	51	0	0	0	0	0	71	0	0	0	0	9	0	0	0	34	0	0	0	0	0	0	0	0	0	192	166	0	0	0	166	1
Precinct 7542	0	0	141	0	1	0	0	2	200	0	2	2	0	26	0	1	17	69	0	0	0	0	0	0	0	0	0	824	463	0	0	1	462	1
Precinct 7543 - Vote By Mail	0	0	123	0	1	0	0	4	90	0	2	0	0	27	0	0	20	61	2	1	0	0	0	0	0	0	0	694	332	0	0	1	331	0
Precinct 7543 - Election Day	0	0	39	0	0	0	0	0	58	0	1	0	0	5	0	0	0	36	0	0	0	0	0	0	0	0	0	230	140	0	0	1	139	0
Precinct 7543	0	0	162	0	1	0	0	4	148	0	3	0	0	32	0	0	20	97	2	1	0	0	0	0	0	0	0	924	472	0	0	2	470	0
Precinct 7544 - Vote By Mail	0	0	121	0	0	0	0	6	104	0	1	0	0	29	0	1	35	61	0	0	0	0	0	0	0	0	0	731	360	0	1	1	358	0
Precinct 7544 - Election Day	0	0	43	0	1	0	0	1	58	0	0	0	0	12	0	0	0	41	0	0	0	0	0	0	0	0	0	168	156	0	0	0	156	0
Precinct 7544	0	0	164	0	1	0	0	7	162	0	1	0	0	41	0	1	35	102	0	0	0	0	0	0	0	0	0	899	516	0	1	1	514	0
Precinct 7545 - Vote By Mail	0	0	99	0	5	0	0	5	98	0	2	0	0	24	0	0	39	58	1	1	0	0	0	0	0	0	0	723	332	0	0	0	332	0
Precinct 7545 - Election Day	0	0	34	0	0	0	0	0	57	0	0	0	0	11	0	0	0	44	1	0	0	0	0	0	0	0	0	172	147	0	0	0	147	0
Precinct 7545	0	0	133	0	5	0	0	5	155	0	2	0	0	35	0	0	39	102	2	1	0	0	0	0	0	0	0	895	479	0	0	0	479	0
Precinct 7546 - Vote By Mail	0	0	113	0	0	0	0	11	133	0	0	0	0	30	0	0	15	80	2	0	0	0	0	0	0	0	0	770	384	0	0	0	384	0
Precinct 7546 - Election Day	0	0	51	0	0	0	0	0	82	0	0	0	0	11	0	0	0	64	1	0	0	0	0	0	0	0	0	183	211	0	0	1	210	1
Precinct 7546	0	0	164	0	0	0	0	11	215	0	0	0	0	41	0	0	15	144	3	0	0	0	0	0	0	0	0	953	595	0	0	1	594	1
Precinct 7547 - Vote By Mail	0	0	114	0	3	0	0	5	164	1	0	0	0	31	0	0	25	51	5	0	0	0	0	0	0	0	0	798	400	0	1	0	399	0
Precinct 7547 - Election Day	0	0	53	0	0	0	0	0	75	0	1	0	0	6	0	0	0	43	0	0	0	0	0	0	0	0	0	183	178	0	0	0	178	0
Precinct 7547	0	0	167	0	3	0	0	5	239	1	1	0	0	37	0	0	25	94	5	0	0	0	0	0	0	0	0	981	578	0	1	0	577	0
Precinct 7548 - Vote By Mail	0	1	124	0	3	0	0	6	149	0	5	0	0	38	0	0	26	67	0	0	0	0	0	0	0	0	0	802	421	0	0	2	419	0
Precinct 7548 - Election Day	0	0	64	0	0	0	0	0	65	0	0	0	0	11	0	2	0	47	0	0	0	0	0	0	0	0	0	249	190	0	0	0	190	1
Precinct 7548	0	1	188	0	3	0	0	6	214	0	5	0	0	49	0	2	26	114	0	0	0	0	0	0	0	0	0	1,051	611	0	0	2	609	1
Precinct 7549 - Vote By Mail	1	0	106	0	3	0	0	6	111	0	0	0	0	26	0	0	15	46	0	0	0	0	0	0	0	0	0	660	316	0	0	2	314	0
Precinct 7549 - Election Day	0	0	39	0	0	0	0	0	53	0	0	0	0	9	0	0	0	33	0	0	0	0	0	0	0	0	0	146	136	0	0	1	135	1
Precinct 7549	1	0	145	0	3	0	0	6	164	0	0	0	0	35	0	0	15	79	0	0	0	0	0	0	0	0	0	806	452	0	0	3	449	1
Precinct 7551 - Vote By Mail	0	0	90	0	1	0	0	8	78	0	1	0	0	30	0	0	16	53	0	0	0	0	0	0	0	0	0	587	281	0	0	4	277	0
Precinct 7551 - Election Day	0	0	56	1	3	0	0	0	44	0	0	0	0	5	0	0	1	59	0	0	0	0	0	0	0	0	0	136	169	0	0	0	169	0
Precinct 7551	0	0	146	1	4	0	0	8	122	0	1	0	0	35	0	0	17	112	0	0	0	0	0	0	0	0	0	723	450	0	0	4	446	0
Precinct 7552 - Vote By Mail	0	0	69	0	2	0	0	13	83	0	1	0	0	31	0	0	19	45	0	0	0	0	0	0	0	0	0	561	263	0	0	0	263	0
Precinct 7552 - Election Day	0	0	35	0	1	0	0	0	31	0	0	0	0	12	0	0	0	46	0	0	0	0	0	0	0	0	0	124	125	0	0	0	125	0
Precinct 7552	0	0	104	0	3	0	0	13	114	0	1	0	0	43	0	0	19	91	0	0	0	0	0	0	0	0	0	685	388	0	0	0	388	0
Precinct 7553 MB - Vote By Mail	0	0	28	0	1	0	0	1	33	0	0	0	0	5	0	0	2	8	0	0	0	0	0	0	0	0	0	211	79	0	0	1	78	0
Precinct 7553 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-20	0	0	0	0	0	0
Precinct 7553 MB	0	0	28	0	1	0	0	1	33	0	0	0	0	5	0	0	2	8	0	0	0	0	0	0	0	0	0	191	79	0	0	1	78	0
Precinct 7554 - Vote By Mail	0	0	103	1	3	0	0	12	75	0	4	0	0	48	0	0	28	78	1	0	0	0	0	0	0	0	0	653	355	0	0	2	353	0
Precinct 7554 - Election Day	0	0	49	0	2	0	0	1	39	0	0	0	0	8	0	0	0	74	1	0	0	0	0	0	0	0	0	168	174	0	0	0	174	0
Precinct 7554	0	0	152	1	5	0	0	13	114	0	4	0	0	56	0	0	28	152	2	0	0	0	0	0	0	0	0	821	529	0	0	2	527	0
Precinct 7555 - Vote By Mail	0	0	103	0	2	0	0	11	108	0	4	0	0	50	0	0	19	77	0	0	0	0	0	0	0	0	0	662	375	0	0	1	374	0
Precinct 7555 - Election Day	0	0	60	0	0	0	0	0	38	0	0	0	0	14	0	0	0	88	0	0	0	0	0	0	0	0	0	210	200	0	0	0	200	0
Precinct 7555	0	0	163	0	2	0	0	11	146	0	4	0	0	64	0	0	19	165	0	0	0	0	0	0	0	0	0	872	575	0	0	1	574	0
Precinct 7556/7557 - Vote By Mail	0	0	140	0	2	0	0	15	100	0	3	0	0	57	0	0	27	121	0	0	0	0	0	0	0	0	0	812	466	0	1	0	465	0
Precinct 7556/7557 - Election Day	0	0	50	0	0	0	0	0	33	0	0	0	0	18	0	0	1	53	1	0	0	0	0	0	0	0	0	154	156	0	0	0	156	0
Precinct 7556/7557	0	0	190	0	2	0	0	15	133	0	3	0	0	75	0	0	28	174	1	0	0	0	0	0	0	0	0	966	622	0	1	0	621	0
Precinct 7601 - Vote By Mail	0	0	23	0	1	0	0	4	78	0	4	0	0	13	0	0	8	29	2	0	0	0	0	0	0	0	0	485	164	0	2	0	162	0
Precinct 7601 - Election Day	0	0	19	0	0	1	0	0	37	0	0	0	0	5	0	0	2	15	0	0	0	0	0	0	0	0	0	192	79	0	0	0	79	0
Precinct 7601	0	0	42	0	1	1	0	4	115	0	4	0	0	18	0	0	10	44	2	0	0	0	0	0	0	0	0	677	243	0	2	0	241	0
Precinct 7602 - Vote By Mail	0	0	37	0	0	0	0	0	115	0	5	0	0	19	0	0	20	29	1	0	0	0	0	0	0	0	0	654	228	0	1	1	226	0
Precinct 7602 - Election Day	0	0	18	0	1	0	0	0	45	0	1	0	0	2	0	0	0	25	2	0	0	0	0	0	0	0	0	232	94	0	0	0	94	0
Precinct 7602	0	0	55	0	1	0	0	0	160	0	6	0	0	21	0	0	20	54	3	0	0	0	0	0	0	0	0	886	322	0	1	1	320	0
Precinct 7603 - Vote By Mail	0	0	59	0	2	0	0	1	112	0	2	0	0	14	0	0	16	38	0	0	0	0	0	0	0	0	0	615	246	0	2	0	244	0
Precinct 7603 - Election Day	0	0	36	1	2	0	1	1	80	0	0	0	0	10	0	0	0	26	3	0	0	0	0	0	0	0	0	200	161	0	0	1	160	0
Precinct 7603	0	0	95	1	4	0	1	2	192	0	2	0	0	24	0	0	16	64	3	0	0	0	0	0	0	0	0	815	407	0	2	1	404	0
Precinct 7604 - Vote By Mail	0	0	50	0	1	0	0	4	95	0	4	0	0	21	0	0	21	27	1	0	0	0	0	0	0	0	0	685	228	0	1	3	224	0
Precinct 7604 - Election Day	1	0	26	0	0	0	0	0	48	0	0	0	0	10	0	0	3	31	3	0	0	0	0	0	0	0	0	259	122	0	0	0	122	0
Precinct 7604	1	0	76	0	1	0	0	4	143	0	4	0	0	31	0	0	24	58	4	0	0	0	0	0	0	0	0	944	350	0	1	3	346	0
Precinct 7605 - Vote By Mail	0	0	17	0	5	0	0	0	57	0	1	0	0	18	0	0	7	35	0	0	0	0	0	0	0	0	0	468	142	0	1	1	140	0
Precinct 7605 - Election Day	0	0	6	0	1	0	0	0	27	0	0	0	0	5	0	0	1	16	0	0	0	0	0	0	0	0	0	193	57	0	1	0	56	0
Precinct 7605	0	0	23	0	6	0	0	0	84	0	1	0	0	23	0	0	8	51	0	0	0	0	0	0	0	0	0	661	199	0	2	1	196	0
Precinct 7606 - Vote By Mail	0	1	39	0	2	0	0	2	111	0	3	0	0	16	0	0	9	28	0	0	0	0	0	0	0	0	0	673	214	0	0	3	211	0
Precinct 7606 - Election Day	0	0	8	0	2	0	0	0	43	0	0	0	0	4	0	0	0	19	0	1	0	0	0	0	0	0	0	210	77	0	0	0	77	0
Precinct 7606	0	1	47	0	4	0	0	2	154	0	3	0	0	20	0	0	9	47	0	1	0	0	0	0	0	0	0	883	291	0	0	3	288	0
Precinct 7607 - Vote By Mail	0	1	44	0	5	0	0	5	96	0	0	0	0	22	0	0	19	34	3	2	0	0	0	0	0	0	0	712	232	0	0	1	231	0
Precinct 7607 - Election Day	0	0	16	0	2	0	0	0	42	0	0	0	2	6	0	0	0	23	2	0	0	0	0	0	0	0	0	207	95	0	1	1	93	0
Precinct 7607	0	1	60	0	7	0	0	5	138	0	0	0	2	28	0	0	19	57	5	2	0	0	0	0	0	0	0	919	327	0	1	2	324	0
Precinct 7608 - Vote By Mail	1	0	4	0	7	0	0	0	16	0	1	0	0	8	0	0	7	8	1	0	0	0	0	0	0	0	0	279	54	0	1	0	53	0
Precinct 7608 - Election Day	0	0	2	0	0	0	0	0	6	0	0	0	0	2	0	0	3	5	0	0	0	0	0	0	0	0	0	101	18	0	0	0	18	0
Precinct 7608	1	0	6	0	7	0	0	0	22	0	1	0	0	10	0	0	10	13	1	0	0	0	0	0	0	0	0	380	72	0	1	0	71	0
Precinct 7609 - Vote By Mail	1	0	8	0	11	0	0	0	63	0	1	0	0	35	0	0	9	31	1	0	0	0	0	0	0	0	0	699	162	0	0	2	160	0
Precinct 7609 - Election Day	0	0	4	0	0	0	0	0	13	0	0	0	0	5	0	0	0	19	0	0	0	0	0	0	0	0	0	185	42	0	0	0	42	1
Precinct 7609	1	0	12	0	11	0	0	0	76	0	1	0	0	40	0	0	9	50	1	0	0	0	0	0	0	0	0	884	204	0	0	2	202	1
Precinct 7611 - Vote By Mail	0	0	21	1	5	1	0	2	68	0	6	0	0	15	0	0	9	36	1	0	0	0	0	0	0	0	0	586	168	0	2	1	165	0
Precinct 7611 - Election Day	0	0	6	0	1	0	0	1	14	0	0	0	0	3	0	0	0	6	0	0	0	0	0	0	0	0	0	202	31	0	0	0	31	0
Precinct 7611	0	0	27	1	6	1	0	3	82	0	6	0	0	18	0	0	9	42	1	0	0	0	0	0	0	0	0	788	199	0	2	1	196	0
Precinct 7612 - Vote By Mail	0	0	32	0	7	0	0	2	52	0	2	0	0	21	0	0	15	20	0	0	0	0	0	0	0	0	0	452	152	0	0	1	151	0
Precinct 7612 - Election Day	0	0	4	0	0	0	0	0	16	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	105	28	0	0	0	28	0
Precinct 7612	0	0	36	0	7	0	0	2	68	0	2	0	0	21	0	0	17	26	0	0	0	0	0	0	0	0	0	557	180	0	0	1	179	0
Precinct 7613 - Vote By Mail	1	0	27	2	0	0	0	3	86	0	3	0	0	16	0	0	6	30	4	1	0	0	0	0	0	0	0	634	186	0	4	3	179	0
Precinct 7613 - Election Day	0	0	10	0	0	0	0	0	39	0	2	0	0	9	0	0	2	16	0	0	0	0	0	0	0	0	0	249	80	0	0	2	78	0
Precinct 7613	1	0	37	2	0	0	0	3	125	0	5	0	0	25	0	0	8	46	4	1	0	0	0	0	0	0	0	883	266	0	4	5	257	0
Precinct 7614 - Vote By Mail	1	0	46	0	2	0	0	0	98	0	2	0	0	15	0	1	9	38	1	0	0	0	0	0	0	0	0	713	213	0	0	0	213	0
Precinct 7614 - Election Day	0	0	17	0	0	0	0	0	39	0	0	0	0	7	0	0	1	10	0	0	0	0	0	0	0	0	0	203	75	0	0	1	74	0
