Subtotal Area	DEANNA LORRAINE	JOHN DENNIS	NANCY PELOSI	AGATHA BACELAR	SHAHID BUTTAR	TOM GALLAGHER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7318	8	36	282	3	30	10	723	401	0	3	29	369	0
Precinct 7319 - Vote By Mail	11	30	229	4	37	6	861	345	0	1	27	317	0
Precinct 7319 - Election Day	5	11	146	3	9	5	188	185	0	0	6	179	0
Precinct 7319	16	41	375	7	46	11	1,049	530	0	1	33	496	0
Precinct 7321 - Vote By Mail	11	21	128	4	17	5	557	202	0	2	14	186	0
Precinct 7321 - Election Day	1	4	63	2	9	1	102	85	0	0	5	80	0
Precinct 7321	12	25	191	6	26	6	659	287	0	2	19	266	0
Precinct 7322 - Vote By Mail	19	22	183	1	23	7	742	294	0	5	34	255	0
Precinct 7322 - Election Day	1	2	28	0	15	0	146	50	0	1	3	46	0
Precinct 7322	20	24	211	1	38	7	888	344	0	6	37	301	0
Precinct 7323 - Vote By Mail	8	32	273	3	28	6	790	368	0	0	18	350	0
Precinct 7323 - Election Day	2	9	113	3	15	4	166	160	0	0	14	146	0
Precinct 7323	10	41	386	6	43	10	956	528	0	0	32	496	0
Precinct 7324 - Vote By Mail	2	17	201	7	13	7	587	260	0	0	13	247	0
Precinct 7324 - Election Day	1	7	63	0	7	1	150	89	0	0	10	79	0
Precinct 7324	3	24	264	7	20	8	737	349	0	0	23	326	0
Precinct 7325 - Vote By Mail	3	21	241	5	28	4	714	327	0	0	25	302	0
Precinct 7325 - Election Day	3	7	94	0	9	2	172	124	0	1	7	116	1
Precinct 7325	6	28	335	5	37	6	886	451	0	1	32	418	1
Precinct 7326 - Vote By Mail	7	38	205	4	30	2	685	304	0	0	18	286	0
Precinct 7326 - Election Day	1	9	113	3	13	1	174	159	0	0	18	141	1
Precinct 7326	8	47	318	7	43	3	859	463	0	0	36	427	1
Precinct 7327 - Vote By Mail	22	26	131	1	15	4	561	230	0	6	25	199	0
Precinct 7327 - Election Day	1	3	37	0	5	1	126	49	0	0	2	47	0
Precinct 7327	23	29	168	1	20	5	687	279	0	6	27	246	0
Precinct 7328 - Vote By Mail	20	35	183	6	37	11	829	333	0	4	37	292	0
Precinct 7328 - Election Day	2	6	45	2	7	2	173	67	0	0	3	64	0
Precinct 7328	22	41	228	8	44	13	1,002	400	0	4	40	356	0
Precinct 7329 - Vote By Mail	8	41	152	0	11	4	556	227	0	1	10	216	0
Precinct 7329 - Election Day	1	9	52	1	5	4	95	78	0	0	6	72	0
Precinct 7329	9	50	204	1	16	8	651	305	0	1	16	288	0
Precinct 7331 - Vote By Mail	12	53	265	3	14	3	710	361	0	0	11	350	0
Precinct 7331 - Election Day	2	26	108	2	8	3	160	162	0	0	11	151	2
Precinct 7331	14	79	373	5	22	6	870	523	0	0	22	501	2
Precinct 7332 - Vote By Mail	9	20	165	2	40	6	654	264	0	3	19	242	0
Precinct 7332 - Election Day	4	7	103	2	21	4	136	149	0	0	8	141	0
Precinct 7332	13	27	268	4	61	10	790	413	0	3	27	383	0
Precinct 7333 - Vote By Mail	8	30	287	5	36	5	822	390	0	1	18	371	0
Precinct 7333 - Election Day	4	10	163	4	20	10	193	224	0	0	13	211	0
Precinct 7333	12	40	450	9	56	15	1,015	614	0	1	31	582	0
Precinct 7334 - Vote By Mail	2	19	225	3	33	7	688	307	0	1	17	289	0
Precinct 7334 - Election Day	1	5	93	3	20	3	131	135	0	0	10	125	0
Precinct 7334	3	24	318	6	53	10	819	442	0	1	27	414	0
Precinct 7335 - Vote By Mail	13	47	272	3	31	2	788	389	0	1	20	368	0
Precinct 7335 - Election Day	2	9	141	2	16	9	146	191	0	0	12	179	0
Precinct 7335	15	56	413	5	47	11	934	580	0	1	32	547	0
Precinct 7336 - Vote By Mail	9	54	285	3	26	5	779	405	0	1	22	382	0
Precinct 7336 - Election Day	3	8	131	2	19	1	175	178	0	0	14	164	0
Precinct 7336	12	62	416	5	45	6	954	583	0	1	36	546	0
Precinct 7337 - Vote By Mail	9	53	260	3	30	8	772	386	0	1	22	363	0
Precinct 7337 - Election Day	0	15	77	3	11	5	125	112	0	0	1	111	0
Precinct 7337	9	68	337	6	41	13	897	498	0	1	23	474	0
Precinct 7338 - Vote By Mail	20	27	245	4	27	11	770	360	0	2	24	334	0
Precinct 7338 - Election Day	5	4	60	1	9	1	125	91	0	0	11	80	0
Precinct 7338	25	31	305	5	36	12	895	451	0	2	35	414	0
Precinct 7339 - Vote By Mail	7	19	189	6	28	8	605	270	0	0	13	257	0
Precinct 7339 - Election Day	1	9	87	1	16	2	150	122	0	0	6	116	0
Precinct 7339	8	28	276	7	44	10	755	392	0	0	19	373	0
Precinct 7341 - Vote By Mail	1	20	211	2	33	8	675	291	0	1	15	275	0
Precinct 7341 - Election Day	4	7	113	3	24	5	178	160	0	0	4	156	0
Precinct 7341	5	27	324	5	57	13	853	451	0	1	19	431	0
Precinct 7342 - Vote By Mail	7	25	227	8	37	1	674	324	0	0	19	305	0
Precinct 7342 - Election Day	6	16	174	6	27	6	230	245	0	0	10	235	0
Precinct 7342	13	41	401	14	64	7	904	569	0	0	29	540	0
Precinct 7343 - Vote By Mail	1	12	176	4	40	2	554	252	0	1	16	235	0
Precinct 7343 - Election Day	2	2	106	2	20	1	150	150	0	0	17	133	0
Precinct 7343	3	14	282	6	60	3	704	402	0	1	33	368	0
Precinct 7344 - Vote By Mail	6	33	272	12	41	6	863	392	0	2	20	370	0
Precinct 7344 - Election Day	3	17	146	5	26	3	201	211	0	0	10	201	1
Precinct 7344	9	50	418	17	67	9	1,064	603	0	2	30	571	1
Precinct 7345 - Vote By Mail	4	25	309	9	62	7	904	434	0	0	18	416	0
Precinct 7345 - Election Day	2	12	152	2	37	3	210	217	0	0	7	210	2
Precinct 7345	6	37	461	11	99	10	1,114	651	0	0	25	626	2
Precinct 7346 - Vote By Mail	9	15	194	10	37	7	681	288	0	2	14	272	0
Precinct 7346 - Election Day	6	9	121	3	19	2	208	174	0	0	14	160	0
Precinct 7346	15	24	315	13	56	9	889	462	0	2	28	432	0
Precinct 7347 - Vote By Mail	10	15	243	8	69	7	833	371	0	2	17	352	0
Precinct 7347 - Election Day	0	6	89	0	20	3	170	123	0	0	5	118	0
Precinct 7347	10	21	332	8	89	10	1,003	494	0	2	22	470	0
Precinct 7348 - Vote By Mail	12	20	177	6	41	9	650	279	0	1	13	265	0
Precinct 7348 - Election Day	1	6	79	1	20	4	193	116	0	2	3	111	0
Precinct 7348	13	26	256	7	61	13	843	395	0	3	16	376	0
Precinct 7349 - Vote By Mail	10	33	210	7	38	6	710	316	0	0	12	304	0
Precinct 7349 - Election Day	2	6	96	4	21	4	202	145	0	0	12	133	0
Precinct 7349	12	39	306	11	59	10	912	461	0	0	24	437	0
Precinct 7501 - Vote By Mail	2	25	177	2	13	6	456	248	0	0	23	225	0
Precinct 7501 - Election Day	4	6	96	3	2	4	95	116	0	0	1	115	0
Precinct 7501	6	31	273	5	15	10	551	364	0	0	24	340	0
Precinct 7502 - Vote By Mail	7	34	234	2	21	3	668	315	0	0	14	301	0
Precinct 7502 - Election Day	2	4	107	2	17	3	121	143	0	0	8	135	0
Precinct 7502	9	38	341	4	38	6	789	458	0	0	22	436	0
Precinct 7503 - Vote By Mail	5	21	216	4	20	6	614	286	0	0	14	272	0
Precinct 7503 - Election Day	3	9	103	2	11	3	148	138	0	1	6	131	0
Precinct 7503	8	30	319	6	31	9	762	424	0	1	20	403	0
Precinct 7504 - Vote By Mail	4	15	128	4	11	2	404	175	0	5	6	164	0
Precinct 7504 - Election Day	0	4	55	2	8	4	84	84	0	2	9	73	0
Precinct 7504	4	19	183	6	19	6	488	259	0	7	15	237	0
Precinct 7505 - Vote By Mail	9	47	310	1	15	4	729	405	0	1	18	386	0
Precinct 7505 - Election Day	1	8	105	0	5	6	133	130	0	1	4	125	0
Precinct 7505	10	55	415	1	20	10	862	535	0	2	22	511	0
Precinct 7506 - Vote By Mail	10	28	244	4	44	10	842	364	0	0	24	340	0
Precinct 7506 - Election Day	2	3	116	3	27	5	158	162	0	1	5	156	0
Precinct 7506	12	31	360	7	71	15	1,000	526	0	1	29	496	0
Precinct 7507 - Vote By Mail	7	20	208	3	31	8	694	289	0	1	11	277	0
Precinct 7507 - Election Day	2	5	100	3	13	5	262	133	0	0	4	129	1
Precinct 7507	9	25	308	6	44	13	956	422	0	1	15	406	1
Precinct 7508 - Vote By Mail	10	32	262	3	43	6	618	373	0	4	13	356	0
Precinct 7508 - Election Day	3	4	88	1	14	0	126	118	0	1	7	110	0
Precinct 7508	13	36	350	4	57	6	744	491	0	5	20	466	0
Precinct 7509/7511 - Vote By Mail	10	25	288	4	49	8	756	399	0	0	15	384	0
Precinct 7509/7511 - Election Day	5	6	137	1	10	4	173	169	0	0	6	163	0
Precinct 7509/7511	15	31	425	5	59	12	929	568	0	0	21	547	0
Precinct 7512 - Vote By Mail	9	39	154	3	23	4	475	248	0	4	12	232	0
Precinct 7512 - Election Day	2	7	60	2	13	2	125	89	0	0	3	86	0
Precinct 7512	11	46	214	5	36	6	600	337	0	4	15	318	0
Precinct 7513 - Vote By Mail	14	24	152	6	34	3	575	248	0	7	8	233	0
Precinct 7513 - Election Day	1	3	97	2	21	4	231	143	0	1	14	128	0
Precinct 7513	15	27	249	8	55	7	806	391	0	8	22	361	0
Precinct 7514 - Vote By Mail	7	17	171	3	18	8	709	242	0	2	16	224	0
Precinct 7514 - Election Day	1	1	61	2	5	1	207	76	0	2	3	71	0
Precinct 7514	8	18	232	5	23	9	916	318	0	4	19	295	0
Precinct 7515 - Vote By Mail	5	21	240	1	38	3	663	322	0	1	13	308	0
Precinct 7515 - Election Day	1	4	91	3	6	2	201	114	0	1	5	108	1
Precinct 7515	6	25	331	4	44	5	864	436	0	2	18	416	1
Precinct 7516 - Vote By Mail	9	33	311	8	39	5	773	423	0	0	18	405	0
Precinct 7516 - Election Day	1	9	109	2	6	3	147	131	0	0	1	130	0
Precinct 7516	10	42	420	10	45	8	920	554	0	0	19	535	0
Precinct 7517 - Vote By Mail	1	6	269	3	63	4	645	362	0	1	15	346	0
Precinct 7517 - Election Day	0	7	167	3	45	2	223	234	0	0	10	224	0
Precinct 7517	1	13	436	6	108	6	868	596	0	1	25	570	0
Precinct 7518 - Vote By Mail	1	9	296	3	64	2	708	392	0	0	17	375	0
Precinct 7518 - Election Day	2	3	169	4	49	6	218	247	0	0	13	234	1
Precinct 7518	3	12	465	7	113	8	926	639	0	0	30	609	1
Precinct 7519 - Vote By Mail	2	10	193	2	37	5	543	260	0	0	11	249	0
Precinct 7519 - Election Day	1	4	119	1	36	5	172	172	0	0	6	166	0
Precinct 7519	3	14	312	3	73	10	715	432	0	0	17	415	0
Precinct 7521 - Vote By Mail	1	8	229	8	57	3	597	319	0	0	13	306	0
Precinct 7521 - Election Day	0	6	155	4	32	2	182	205	0	0	6	199	0
Precinct 7521	1	14	384	12	89	5	779	524	0	0	19	505	0
Precinct 7522 - Vote By Mail	0	6	224	2	62	0	588	301	0	0	7	294	0
Precinct 7522 - Election Day	1	4	122	2	51	2	171	192	0	0	10	182	0
Precinct 7522	1	10	346	4	113	2	759	493	0	0	17	476	0
Precinct 7523 - Vote By Mail	3	11	195	6	64	1	564	285	0	0	5	280	0
Precinct 7523 - Election Day	1	4	154	3	42	4	180	221	0	1	12	208	0
Precinct 7523	4	15	349	9	106	5	744	506	0	1	17	488	0
Precinct 7524 - Vote By Mail	2	4	155	4	42	7	480	228	0	0	14	214	0
Precinct 7524 - Election Day	3	1	106	3	12	2	144	130	0	0	3	127	0
Precinct 7524	5	5	261	7	54	9	624	358	0	0	17	341	0
Precinct 7525 - Vote By Mail	2	6	175	3	40	1	594	246	0	0	19	227	0
Precinct 7525 - Election Day	0	3	93	2	23	1	170	130	0	0	8	122	0
Precinct 7525	2	9	268	5	63	2	764	376	0	0	27	349	0
Precinct 7526 - Vote By Mail	2	12	292	5	60	4	826	395	0	0	20	375	0
Precinct 7526 - Election Day	2	10	142	4	44	1	162	219	0	0	16	203	0
Precinct 7526	4	22	434	9	104	5	988	614	0	0	36	578	0
Precinct 7527/7528 - Vote By Mail	8	13	185	2	58	4	538	296	0	2	24	270	0
Precinct 7527/7528 - Election Day	1	9	89	2	18	2	172	126	0	1	3	122	1
Precinct 7527/7528	9	22	274	4	76	6	710	422	0	3	27	392	1
Precinct 7529 - Vote By Mail	3	4	268	1	71	4	749	366	0	0	15	351	0
Precinct 7529 - Election Day	1	6	153	3	54	2	154	231	0	0	12	219	0
Precinct 7529	4	10	421	4	125	6	903	597	0	0	27	570	0
Precinct 7531 - Vote By Mail	0	15	223	7	81	2	714	336	0	0	8	328	0
Precinct 7531 - Election Day	1	3	111	5	48	3	159	179	0	0	8	171	0
Precinct 7531	1	18	334	12	129	5	873	515	0	0	16	499	0
Precinct 7532 - Vote By Mail	2	22	224	6	55	5	668	329	0	0	15	314	0
Precinct 7532 - Election Day	4	15	121	2	32	3	167	185	0	0	8	177	0
Precinct 7532	6	37	345	8	87	8	835	514	0	0	23	491	0
Precinct 7533 - Vote By Mail	2	11	272	6	89	4	776	405	0	2	19	384	0
Precinct 7533 - Election Day	0	6	154	2	82	0	194	252	0	0	8	244	0
Precinct 7533	2	17	426	8	171	4	970	657	0	2	27	628	0
Precinct 7534 - Vote By Mail	3	11	249	10	75	5	670	376	0	0	23	353	0
Precinct 7534 - Election Day	1	4	147	2	68	2	233	231	0	0	7	224	0
Precinct 7534	4	15	396	12	143	7	903	607	0	0	30	577	0
Precinct 7535 - Vote By Mail	3	7	216	4	59	2	606	300	0	1	8	291	0
Precinct 7535 - Election Day	0	3	135	3	49	3	139	199	0	0	6	193	0
Precinct 7535	3	10	351	7	108	5	745	499	0	1	14	484	0
Precinct 7536 - Vote By Mail	1	5	256	4	66	0	670	346	0	0	14	332	0
Precinct 7536 - Election Day	2	7	137	1	47	5	163	216	0	1	16	199	0
Precinct 7536	3	12	393	5	113	5	833	562	0	1	30	531	0
Precinct 7537 - Vote By Mail	4	9	230	3	40	4	619	301	0	0	11	290	0
Precinct 7537 - Election Day	1	4	137	4	36	3	126	197	0	1	11	185	0
Precinct 7537	5	13	367	7	76	7	745	498	0	1	22	475	0
Precinct 7538 - Vote By Mail	0	8	250	4	43	1	562	322	0	2	14	306	0
Precinct 7538 - Election Day	0	1	149	1	42	4	189	212	0	1	14	197	0
Precinct 7538	0	9	399	5	85	5	751	534	0	3	28	503	0
Precinct 7539 - Vote By Mail	1	7	268	7	71	4	696	374	0	0	16	358	0
Precinct 7539 - Election Day	0	4	142	3	54	1	225	215	0	0	11	204	0
Precinct 7539	1	11	410	10	125	5	921	589	0	0	27	562	0
Precinct 7541 - Vote By Mail	1	9	210	2	55	1	600	295	0	0	17	278	0
Precinct 7541 - Election Day	2	4	155	1	36	3	170	214	0	0	13	201	0
Precinct 7541	3	13	365	3	91	4	770	509	0	0	30	479	0
Precinct 7542 - Vote By Mail	2	5	237	5	63	2	632	324	0	0	10	314	0
Precinct 7542 - Election Day	0	2	127	6	50	7	192	200	0	0	7	193	1
Precinct 7542	2	7	364	11	113	9	824	524	0	0	17	507	1
Precinct 7543 - Vote By Mail	4	14	284	4	52	2	694	371	0	0	11	360	0
Precinct 7543 - Election Day	2	1	120	2	36	3	230	173	0	0	7	166	2
Precinct 7543	6	15	404	6	88	5	924	544	0	0	18	526	2
Precinct 7544 - Vote By Mail	4	5	298	2	55	4	731	389	0	1	20	368	0
Precinct 7544 - Election Day	2	9	135	4	45	1	168	207	0	0	11	196	0
Precinct 7544	6	14	433	6	100	5	899	596	0	1	31	564	0
Precinct 7545 - Vote By Mail	5	16	285	2	50	9	723	385	0	1	17	367	0
Precinct 7545 - Election Day	2	7	136	3	34	1	172	192	0	0	9	183	0
Precinct 7545	7	23	421	5	84	10	895	577	0	1	26	550	0
Precinct 7546 - Vote By Mail	2	11	301	5	82	1	770	418	0	0	16	402	0
Precinct 7546 - Election Day	4	8	181	3	41	3	183	255	0	0	14	241	1
Precinct 7546	6	19	482	8	123	4	953	673	0	0	30	643	1
Precinct 7547 - Vote By Mail	7	11	276	10	106	3	798	427	0	0	14	413	0
Precinct 7547 - Election Day	1	4	141	5	67	2	183	227	0	0	7	220	0
Precinct 7547	8	15	417	15	173	5	981	654	0	0	21	633	0
Precinct 7548 - Vote By Mail	0	13	321	9	88	5	802	450	0	1	13	436	0
Precinct 7548 - Election Day	3	5	192	3	42	4	249	259	0	0	10	249	0
Precinct 7548	3	18	513	12	130	9	1,051	709	0	1	23	685	0
Precinct 7549 - Vote By Mail	10	10	255	5	63	1	660	358	0	1	13	344	0
Precinct 7549 - Election Day	1	2	102	4	37	5	146	170	0	0	19	151	0
Precinct 7549	11	12	357	9	100	6	806	528	0	1	32	495	0
Precinct 7551 - Vote By Mail	1	2	222	2	61	2	587	304	0	0	14	290	0
Precinct 7551 - Election Day	0	10	130	0	28	3	136	178	0	0	6	172	1
Precinct 7551	1	12	352	2	89	5	723	482	0	0	20	462	1
Precinct 7552 - Vote By Mail	0	9	219	4	29	1	561	285	0	0	23	262	0
Precinct 7552 - Election Day	1	4	137	0	14	2	124	168	0	0	10	158	0
Precinct 7552	1	13	356	4	43	3	685	453	0	0	33	420	0
Precinct 7553 MB - Vote By Mail	1	5	69	0	14	0	211	95	0	0	6	89	0
Precinct 7553 MB - Election Day	0	0	6	1	0	0	-20	7	0	0	0	7	0
Precinct 7553 MB	1	5	75	1	14	0	191	102	0	0	6	96	0
Precinct 7554 - Vote By Mail	1	18	308	5	40	2	653	381	0	2	5	374	0
Precinct 7554 - Election Day	2	7	174	4	17	1	168	216	0	0	11	205	0
Precinct 7554	3	25	482	9	57	3	821	597	0	2	16	579	0
Precinct 7555 - Vote By Mail	1	9	324	3	51	2	662	416	0	1	25	390	0
Precinct 7555 - Election Day	2	8	206	1	20	2	210	244	0	0	5	239	0
Precinct 7555	3	17	530	4	71	4	872	660	0	1	30	629	0
Precinct 7556/7557 - Vote By Mail	3	23	421	7	42	0	812	513	0	1	16	496	0
Precinct 7556/7557 - Election Day	2	17	161	1	19	2	154	214	0	0	11	203	1
Precinct 7556/7557	5	40	582	8	61	2	966	727	0	1	27	699	1
Precinct 7601 - Vote By Mail	4	12	135	3	32	8	485	207	0	5	8	194	0
Precinct 7601 - Election Day	6	4	73	2	20	1	192	112	0	1	5	106	0
Precinct 7601	10	16	208	5	52	9	677	319	0	6	13	300	0
Precinct 7602 - Vote By Mail	7	13	177	5	53	5	654	276	0	2	14	260	0
Precinct 7602 - Election Day	0	7	79	4	28	3	232	128	0	1	6	121	0
Precinct 7602	7	20	256	9	81	8	886	404	0	3	20	381	0
Precinct 7603 - Vote By Mail	5	12	185	9	59	11	615	295	0	1	13	281	0
Precinct 7603 - Election Day	0	5	117	4	42	1	200	174	0	1	4	169	0
Precinct 7603	5	17	302	13	101	12	815	469	0	2	17	450	0
Precinct 7604 - Vote By Mail	2	12	194	5	39	4	685	270	0	2	12	256	0
Precinct 7604 - Election Day	5	14	110	3	22	2	259	164	0	0	7	157	1
Precinct 7604	7	26	304	8	61	6	944	434	0	2	19	413	1
Precinct 7605 - Vote By Mail	10	16	129	3	18	5	468	192	0	3	8	181	0
Precinct 7605 - Election Day	1	4	54	5	10	3	193	84	0	0	7	77	0
Precinct 7605	11	20	183	8	28	8	661	276	0	3	15	258	0
Precinct 7606 - Vote By Mail	9	20	159	6	50	8	673	267	0	0	15	252	0
Precinct 7606 - Election Day	4	1	64	0	20	4	210	99	0	1	5	93	0
Precinct 7606	13	21	223	6	70	12	883	366	0	1	20	345	0
Precinct 7607 - Vote By Mail	5	21	182	5	54	5	712	288	0	3	13	272	0
Precinct 7607 - Election Day	2	7	91	2	15	3	207	127	0	1	6	120	0
Precinct 7607	7	28	273	7	69	8	919	415	0	4	19	392	0
Precinct 7608 - Vote By Mail	5	11	59	1	8	4	279	96	0	2	6	88	0
Precinct 7608 - Election Day	1	3	17	0	2	2	101	26	0	0	1	25	0
Precinct 7608	6	14	76	1	10	6	380	122	0	2	7	113	0
Precinct 7609 - Vote By Mail	20	17	190	2	21	12	699	286	0	4	20	262	0
Precinct 7609 - Election Day	2	3	51	0	5	1	185	69	0	1	6	62	0
Precinct 7609	22	20	241	2	26	13	884	355	0	5	26	324	0
Precinct 7611 - Vote By Mail	8	13	171	2	17	10	586	235	0	3	11	221	0
Precinct 7611 - Election Day	2	2	32	0	8	1	202	47	0	1	0	46	1
Precinct 7611	10	15	203	2	25	11	788	282	0	4	11	267	1
Precinct 7612 - Vote By Mail	9	20	133	5	27	7	452	216	0	0	15	201	0
Precinct 7612 - Election Day	0	3	30	1	11	0	105	47	0	0	2	45	0
Precinct 7612	9	23	163	6	38	7	557	263	0	0	17	246	0
Precinct 7613 - Vote By Mail	14	15	163	4	33	4	634	244	0	3	8	233	0
Precinct 7613 - Election Day	2	4	65	1	22	8	249	107	0	0	5	102	0
Precinct 7613	16	19	228	5	55	12	883	351	0	3	13	335	0
Precinct 7614 - Vote By Mail	3	15	154	8	44	13	713	254	0	0	17	237	0
Precinct 7614 - Election Day	2	4	70	1	24	5	203	114	0	1	7	106	0
Precinct 7614	5	19	224	9	68	18	916	368	0	1	24	343	0
Precinct 7615 - Vote By Mail	5	17	104	1	23	5	510	165	0	2	8	155	0
Precinct 7615 - Election Day	3	6	50	1	14	3	240	81	0	1	3	77	0
Precinct 7615	8	23	154	2	37	8	750	246	0	3	11	232	0
Precinct 7616 - Vote By Mail	3	14	239	8	39	1	754	330	0	0	26	304	0
Precinct 7616 - Election Day	2	7	101	5	18	2	82	144	0	0	9	135	0
Precinct 7616	5	21	340	13	57	3	836	474	0	0	35	439	0
Precinct 7617 - Vote By Mail	11	21	148	2	22	5	583	222	0	3	10	209	0
Precinct 7617 - Election Day	2	4	43	3	7	3	169	67	0	0	5	62	0
Precinct 7617	13	25	191	5	29	8	752	289	0	3	15	271	0
Precinct 7618 - Vote By Mail	7	19	265	5	54	6	763	365	0	1	8	356	0
Precinct 7618 - Election Day	2	5	76	3	18	0	151	114	0	0	10	104	0
Precinct 7618	9	24	341	8	72	6	914	479	0	1	18	460	0
Precinct 7619 - Vote By Mail	7	21	291	15	80	7	937	439	0	0	18	421	0
Precinct 7619 - Election Day	1	3	126	1	26	4	170	169	0	0	8	161	0
Precinct 7619	8	24	417	16	106	11	1,107	608	0	0	26	582	0
Precinct 7621 - Vote By Mail	3	17	313	13	67	8	1,006	443	0	1	21	421	0
Precinct 7621 - Election Day	4	6	107	2	19	2	149	150	0	0	10	140	0
Precinct 7621	7	23	420	15	86	10	1,155	593	0	1	31	561	0
Precinct 7622 - Vote By Mail	7	14	136	4	30	10	697	215	0	2	12	201	0
Precinct 7622 - Election Day	0	3	69	3	17	2	263	98	0	0	4	94	0
Precinct 7622	7	17	205	7	47	12	960	313	0	2	16	295	0
Precinct 7623 - Vote By Mail	8	13	163	1	49	6	767	256	0	1	15	240	0
Precinct 7623 - Election Day	2	6	90	3	24	7	237	143	0	0	11	132	0
Precinct 7623	10	19	253	4	73	13	1,004	399	0	1	26	372	0
Precinct 7624 - Vote By Mail	3	11	157	1	13	14	652	209	0	1	9	199	0
Precinct 7624 - Election Day	3	6	63	2	11	6	223	97	0	0	6	91	0
Precinct 7624	6	17	220	3	24	20	875	306	0	1	15	290	0
Precinct 7625 - Vote By Mail	27	48	240	7	12	14	749	394	0	7	39	348	0
Precinct 7625 - Election Day	0	0	34	0	3	1	73	39	0	0	1	38	0
Precinct 7625	27	48	274	7	15	15	822	433	0	7	40	386	0
Precinct 7626 - Vote By Mail	6	34	293	6	30	8	944	401	0	2	22	377	0
Precinct 7626 - Election Day	0	7	117	1	6	1	129	134	0	0	2	132	0
Precinct 7626	6	41	410	7	36	9	1,073	535	0	2	24	509	0
Precinct 7627 - Vote By Mail	7	30	135	2	7	3	457	196	0	0	12	184	0
Precinct 7627 - Election Day	2	4	51	1	5	1	67	65	0	0	1	64	0
Precinct 7627	9	34	186	3	12	4	524	261	0	0	13	248	0
Precinct 7628 - Vote By Mail	6	12	220	6	60	7	718	332	0	4	17	311	0
Precinct 7628 - Election Day	3	7	102	2	33	3	220	156	0	0	6	150	0
Precinct 7628	9	19	322	8	93	10	938	488	0	4	23	461	0
Precinct 7629 - Vote By Mail	4	12	186	8	45	4	691	276	0	1	16	259	0
Precinct 7629 - Election Day	1	3	93	2	20	7	162	131	0	0	5	126	0
Precinct 7629	5	15	279	10	65	11	853	407	0	1	21	385	0
Precinct 7631 - Vote By Mail	5	17	324	11	57	7	1,009	441	0	1	19	421	0
Precinct 7631 - Election Day	2	10	114	4	20	3	210	159	0	1	4	154	1
Precinct 7631	7	27	438	15	77	10	1,219	600	0	2	23	575	1
Precinct 7632 - Vote By Mail	3	22	283	9	66	10	1,002	414	0	2	19	393	0
Precinct 7632 - Election Day	3	8	130	3	32	4	169	188	0	0	8	180	0
Precinct 7632	6	30	413	12	98	14	1,171	602	0	2	27	573	0
Precinct 7633 - Vote By Mail	9	21	185	8	33	2	609	278	0	4	16	258	0
Precinct 7633 - Election Day	1	4	76	6	18	0	126	108	0	0	3	105	0
Precinct 7633	10	25	261	14	51	2	735	386	0	4	19	363	0
Precinct 7634 - Vote By Mail	15	28	234	5	31	9	704	344	0	3	19	322	0
Precinct 7634 - Election Day	3	12	91	3	14	7	186	143	0	1	11	131	1
Precinct 7634	18	40	325	8	45	16	890	487	0	4	30	453	1
Precinct 7635 - Vote By Mail	1	12	200	6	36	6	665	274	0	0	13	261	0
Precinct 7635 - Election Day	2	3	57	2	12	3	188	83	0	0	3	80	1
Precinct 7635	3	15	257	8	48	9	853	357	0	0	16	341	1
Precinct 7636 - Vote By Mail	4	15	253	8	37	3	798	330	0	1	9	320	0
Precinct 7636 - Election Day	1	6	115	1	21	2	161	155	0	0	9	146	0
Precinct 7636	5	21	368	9	58	5	959	485	0	1	18	466	0
Precinct 7637 - Vote By Mail	4	33	258	5	24	4	747	344	0	0	16	328	0
Precinct 7637 - Election Day	4	6	104	0	15	4	121	145	0	0	12	133	0
Precinct 7637	8	39	362	5	39	8	868	489	0	0	28	461	0
Precinct 7638 - Vote By Mail	5	42	273	2	15	1	806	372	0	0	34	338	0
Precinct 7638 - Election Day	1	20	88	1	9	4	83	132	0	0	9	123	0
Precinct 7638	6	62	361	3	24	5	889	504	0	0	43	461	0
Precinct 7639 - Vote By Mail	5	29	305	6	32	6	889	396	0	1	12	383	0
Precinct 7639 - Election Day	1	9	121	2	10	3	133	154	0	0	8	146	0
Precinct 7639	6	38	426	8	42	9	1,022	550	0	1	20	529	0
Precinct 7641 - Vote By Mail	6	57	292	3	26	4	817	400	0	0	12	388	0
Precinct 7641 - Election Day	1	13	112	0	6	4	134	141	0	0	5	136	0
Precinct 7641	7	70	404	3	32	8	951	541	0	0	17	524	0
Precinct 7642 - Vote By Mail	5	29	226	5	25	5	647	311	0	1	15	295	0
Precinct 7642 - Election Day	2	4	103	1	9	5	118	129	0	0	5	124	0
Precinct 7642	7	33	329	6	34	10	765	440	0	1	20	419	0
Precinct 7643 - Vote By Mail	14	31	314	5	39	9	810	433	0	0	21	412	0
Precinct 7643 - Election Day	1	5	88	1	11	1	131	115	0	0	8	107	0
Precinct 7643	15	36	402	6	50	10	941	548	0	0	29	519	0
Precinct 7644 - Vote By Mail	3	28	294	9	39	11	1,014	404	0	0	20	384	0
Precinct 7644 - Election Day	2	4	138	3	20	6	162	186	0	1	11	174	1
Precinct 7644	5	32	432	12	59	17	1,176	590	0	1	31	558	1
Precinct 7645 - Vote By Mail	5	37	208	6	12	3	595	286	0	1	14	271	0
