Subtotal Area	KEN ARMSTRONG	MAX ABRAMSON	SAM ROBB	KIM RUFF	STEVEN A RICHEY	JACOB HORNBERGER	SOURAYA FAAS	KEENAN WALLACE DUNHAM	ADAM KOKESH	VERMIN SUPREME	JO JORGENSEN	DAN BEHRMAN	ERIK CHASE GERHARDT	NICHOLAS D'ARTAGNAN DUMAS	GEBY EVA ESPINOSA	JAMES ORLANDO OGLE	SORINNE ARDELEANU	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Writein Votes
Precinct 1115 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	936	0	0	0	0	0	0
Precinct 1115	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	936	2	0	0	1	1	0
Precinct 1116 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	931	0	0	0	0	0	0
Precinct 1116 - Election Day	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	931	2	0	0	0	2	1
Precinct 1116	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	931	2	0	0	0	2	1
Precinct 1117 - Vote By Mail	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	846	1	0	0	0	1	0
Precinct 1117 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	846	0	0	0	0	0	0
Precinct 1117	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	846	1	0	0	0	1	0
Precinct 1118 - Vote By Mail	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1,065	2	0	0	0	2	0
Precinct 1118 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,065	0	0	0	0	0	0
Precinct 1118	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1,065	2	0	0	0	2	0
Precinct 1119 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	797	0	0	0	0	0	0
Precinct 1119 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	797	0	0	0	0	0	0
Precinct 1119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	797	0	0	0	0	0	0
Precinct 1121 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	705	0	0	0	0	0	0
Precinct 1121 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	705	0	0	0	0	0	0
Precinct 1121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	705	0	0	0	0	0	0
Precinct 1122 - Vote By Mail	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	637	1	0	0	0	1	0
Precinct 1122 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	637	0	0	0	0	0	0
Precinct 1122	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	637	1	0	0	0	1	0
Precinct 1123 - Vote By Mail	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	938	2	0	0	0	2	0
Precinct 1123 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	938	0	0	0	0	0	0
Precinct 1123	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	938	2	0	0	0	2	0
Precinct 1124 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	829	0	0	0	0	0	0
Precinct 1124 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	829	0	0	0	0	0	0
Precinct 1124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	829	0	0	0	0	0	0
Precinct 1125 - Vote By Mail	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1,097	2	0	0	1	1	0
Precinct 1125 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,097	0	0	0	0	0	0
Precinct 1125	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1,097	2	0	0	1	1	0
Precinct 1126 - Vote By Mail	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,012	3	0	0	1	2	0
Precinct 1126 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,012	0	0	0	0	0	0
Precinct 1126	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,012	3	0	0	1	2	0
Precinct 1127 - Vote By Mail	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	965	1	0	0	0	1	0
Precinct 1127 - Election Day	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	965	2	0	0	0	2	0
Precinct 1127	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	965	3	0	0	0	3	0
Precinct 1128 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	879	0	0	0	0	0	0
Precinct 1128 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	879	0	0	0	0	0	0
Precinct 1128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	879	0	0	0	0	0	0
Precinct 1129 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,036	1	0	0	1	0	0
Precinct 1129 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,036	1	0	0	0	1	1
Precinct 1129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,036	2	0	0	1	1	1
Precinct 1131 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	860	1	0	0	1	0	0
Precinct 1131 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	860	0	0	0	0	0	0
Precinct 1131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	860	1	0	0	1	0	0
Precinct 1132 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,032	0	0	0	0	0	0
Precinct 1132 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,032	0	0	0	0	0	0
Precinct 1132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,032	0	0	0	0	0	0
Precinct 1133 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	875	1	0	0	1	0	0
Precinct 1133 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	875	0	0	0	0	0	0
Precinct 1133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	875	1	0	0	1	0	0
Precinct 1134 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	767	0	0	0	0	0	0
Precinct 1134 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	767	0	0	0	0	0	0
Precinct 1134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	767	0	0	0	0	0	0
Precinct 1135 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	556	0	0	0	0	0	0
Precinct 1135 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	556	0	0	0	0	0	0
Precinct 1135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	556	0	0	0	0	0	0
Precinct 1136 - Vote By Mail	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	867	1	0	0	0	1	0
Precinct 1136 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	867	0	0	0	0	0	0
Precinct 1136	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	867	1	0	0	0	1	0
Precinct 1141 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,056	0	0	0	0	0	0
Precinct 1141 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,056	0	0	0	0	0	0
Precinct 1141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,056	0	0	0	0	0	0
Precinct 1142 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	896	1	0	0	0	1	0
Precinct 1142 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	896	0	0	0	0	0	0
Precinct 1142	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	896	1	0	0	0	1	0
Precinct 1143 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,049	0	0	0	0	0	0
Precinct 1143 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,049	0	0	0	0	0	0
Precinct 1143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,049	0	0	0	0	0	0
Precinct 1144 - Vote By Mail	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	947	1	0	0	0	1	0
Precinct 1144 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	947	0	0	0	0	0	0
Precinct 1144	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	947	1	0	0	0	1	0
Precinct 1145 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	905	0	0	0	0	0	0
Precinct 1145 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	905	0	0	0	0	0	0
Precinct 1145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	905	0	0	0	0	0	0
Precinct 1146 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,054	0	0	0	0	0	0
Precinct 1146 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,054	0	0	0	0	0	0
Precinct 1146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,054	0	0	0	0	0	0
Precinct 1147 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	885	0	0	0	0	0	0
Precinct 1147 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	885	0	0	0	0	0	0
Precinct 1147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	885	0	0	0	0	0	0
Precinct 1148 - Vote By Mail	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1,028	3	0	0	0	3	0
Precinct 1148 - Election Day	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1,028	1	0	0	0	1	0
Precinct 1148	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1,028	4	0	0	0	4	0
Precinct 1149 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	939	0	0	0	0	0	0
Precinct 1149 - Election Day	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	939	2	0	0	1	1	0
Precinct 1149	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	939	2	0	0	1	1	0
Precinct 1151 MB - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Precinct 1151 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Precinct 1151 MB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Precinct 1152 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	890	0	0	0	0	0	0
Precinct 1152 - Election Day	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	890	1	0	0	0	1	0
Precinct 1152	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	890	1	0	0	0	1	0
Precinct 1153 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	940	1	0	0	1	0	0
Precinct 1153 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	940	0	0	0	0	0	0
Precinct 1153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	940	1	0	0	1	0	0
Precinct 1154 MB - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Precinct 1154 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Precinct 1154 MB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Precinct 7001 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	773	0	0	0	0	0	0
Precinct 7001 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	773	0	0	0	0	0	0
Precinct 7001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	773	0	0	0	0	0	0
Precinct 7002 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	714	1	0	0	1	0	0
Precinct 7002 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	714	0	0	0	0	0	0
Precinct 7002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	714	1	0	0	1	0	0
Precinct 7003 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	906	0	0	0	0	0	0
Precinct 7003 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	906	0	0	0	0	0	0
Precinct 7003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	906	0	0	0	0	0	0
Precinct 7004 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	913	0	0	0	0	0	0
Precinct 7004 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	913	0	0	0	0	0	0
Precinct 7004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	913	0	0	0	0	0	0
Precinct 7005 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	859	0	0	0	0	0	0
Precinct 7005 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	859	0	0	0	0	0	0
Precinct 7005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	859	0	0	0	0	0	0
Precinct 7006 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	932	0	0	0	0	0	0
Precinct 7006 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	932	0	0	0	0	0	0
Precinct 7006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	932	0	0	0	0	0	0
Precinct 7007 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	957	0	0	0	0	0	0
Precinct 7007 - Election Day	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	957	1	0	0	0	1	0
Precinct 7007	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	957	1	0	0	0	1	0
Precinct 7008 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	909	0	0	0	0	0	0
Precinct 7008 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	909	0	0	0	0	0	0
Precinct 7008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	909	0	0	0	0	0	0
Precinct 7009 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	871	0	0	0	0	0	0
Precinct 7009 - Election Day	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	871	2	0	0	0	2	0
Precinct 7009	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	871	2	0	0	0	2	0
Precinct 7011 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	973	0	0	0	0	0	0
Precinct 7011 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	973	0	0	0	0	0	0
Precinct 7011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	973	0	0	0	0	0	0
Precinct 7012 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,226	0	0	0	0	0	0
Precinct 7012 - Election Day	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1,226	2	0	0	0	2	0
Precinct 7012	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1,226	2	0	0	0	2	0
Precinct 7013 - Vote By Mail	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1,139	1	0	0	0	1	0
Precinct 7013 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,139	0	0	0	0	0	0
Precinct 7013	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1,139	1	0	0	0	1	0
Precinct 7014 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	719	0	0	0	0	0	0
Precinct 7014 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	719	0	0	0	0	0	0
Precinct 7014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	719	0	0	0	0	0	0
Precinct 7015 MB - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0
Precinct 7015 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0
Precinct 7015 MB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0
Precinct 7016 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	932	0	0	0	0	0	0
Precinct 7016 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	932	0	0	0	0	0	0
Precinct 7016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	932	0	0	0	0	0	0
Precinct 7017 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	781	0	0	0	0	0	0
Precinct 7017 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	781	0	0	0	0	0	0
Precinct 7017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	781	0	0	0	0	0	0
Precinct 7018 - Vote By Mail	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1,047	3	0	0	0	3	0
Precinct 7018 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,047	0	0	0	0	0	0
Precinct 7018	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1,047	3	0	0	0	3	0
Precinct 7019 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	0	0	0	0	0	0
Precinct 7019 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	0	0	0	0	0	0
Precinct 7019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	0	0	0	0	0	0
Precinct 7021 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	967	0	0	0	0	0	0
Precinct 7021 - Election Day	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	967	1	0	0	0	1	0
Precinct 7021	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	967	1	0	0	0	1	0
Precinct 7022 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	963	0	0	0	0	0	0
Precinct 7022 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	963	0	0	0	0	0	0
Precinct 7022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	963	0	0	0	0	0	0
Precinct 7023 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	920	1	0	0	1	0	0
Precinct 7023 - Election Day	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	920	2	0	0	1	1	0
Precinct 7023	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	920	3	0	0	2	1	0
Precinct 7024 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	0	0	0	0	0	0
Precinct 7024 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	0	0	0	0	0	0
Precinct 7024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	0	0	0	0	0	0
Precinct 7025 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	483	0	0	0	0	0	0
Precinct 7025 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	483	0	0	0	0	0	0
Precinct 7025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	483	0	0	0	0	0	0
Precinct 7026 - Vote By Mail	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1,010	1	0	0	0	1	0
Precinct 7026 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,010	0	0	0	0	0	0
Precinct 7026	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1,010	1	0	0	0	1	0
Precinct 7027 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	896	0	0	0	0	0	0
Precinct 7027 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	896	0	0	0	0	0	0
Precinct 7027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	896	0	0	0	0	0	0
Precinct 7028 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	856	0	0	0	0	0	0
Precinct 7028 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	856	0	0	0	0	0	0
Precinct 7028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	856	0	0	0	0	0	0
Precinct 7029 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	909	0	0	0	0	0	0
Precinct 7029 - Election Day	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	909	1	0	0	0	1	0
