Subtotal Area	MARIA ELENA EVANGELISTA	PANG LY	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7344	313	129	1,064	553	0	0	110	443	1
Precinct 7345 - Vote By Mail	233	118	904	432	0	0	81	351	0
Precinct 7345 - Election Day	136	34	210	214	0	0	41	173	3
Precinct 7345	369	152	1,114	646	0	0	122	524	3
Precinct 7346 - Vote By Mail	167	58	681	288	0	0	63	225	0
Precinct 7346 - Election Day	111	25	208	169	0	0	33	136	0
Precinct 7346	278	83	889	457	0	0	96	361	0
Precinct 7347 - Vote By Mail	239	66	833	370	0	0	65	305	0
Precinct 7347 - Election Day	75	10	170	109	0	0	24	85	0
Precinct 7347	314	76	1,003	479	0	0	89	390	0
Precinct 7348 - Vote By Mail	148	79	650	279	0	0	52	227	0
Precinct 7348 - Election Day	75	23	193	115	0	0	16	99	1
Precinct 7348	223	102	843	394	0	0	68	326	1
Precinct 7349 - Vote By Mail	155	100	710	315	0	0	60	255	0
Precinct 7349 - Election Day	76	32	202	143	0	0	35	108	0
Precinct 7349	231	132	912	458	0	0	95	363	0
Precinct 7501 - Vote By Mail	98	84	456	248	0	0	66	182	0
Precinct 7501 - Election Day	58	37	95	116	0	0	21	95	0
Precinct 7501	156	121	551	364	0	0	87	277	0
Precinct 7502 - Vote By Mail	158	93	668	314	0	0	63	251	0
Precinct 7502 - Election Day	66	28	121	135	0	0	41	94	0
Precinct 7502	224	121	789	449	0	0	104	345	0
Precinct 7503 - Vote By Mail	168	73	614	286	0	0	45	241	0
Precinct 7503 - Election Day	67	25	148	134	0	0	41	93	1
Precinct 7503	235	98	762	420	0	0	86	334	1
Precinct 7504 - Vote By Mail	92	57	404	175	0	0	26	149	0
Precinct 7504 - Election Day	26	14	84	57	0	0	17	40	0
Precinct 7504	118	71	488	232	0	0	43	189	0
Precinct 7505 - Vote By Mail	184	145	729	405	0	0	76	329	0
Precinct 7505 - Election Day	49	30	133	96	0	0	17	79	0
Precinct 7505	233	175	862	501	0	0	93	408	0
Precinct 7506 - Vote By Mail	193	102	842	363	0	0	68	295	0
Precinct 7506 - Election Day	73	20	158	117	0	0	22	95	2
Precinct 7506	266	122	1,000	480	0	0	90	390	2
Precinct 7507 - Vote By Mail	171	68	694	289	0	0	50	239	0
Precinct 7507 - Election Day	75	13	262	102	0	0	13	89	1
Precinct 7507	246	81	956	391	0	0	63	328	1
Precinct 7508 - Vote By Mail	186	116	618	373	0	1	70	302	0
Precinct 7508 - Election Day	63	21	126	106	0	0	21	85	1
Precinct 7508	249	137	744	479	0	1	91	387	1
Precinct 7509/7511 - Vote By Mail	208	113	756	399	0	0	78	321	0
Precinct 7509/7511 - Election Day	86	32	173	148	0	0	28	120	2
Precinct 7509/7511	294	145	929	547	0	0	106	441	2
Precinct 7512 - Vote By Mail	121	75	475	248	0	1	51	196	0
Precinct 7512 - Election Day	52	15	125	86	0	0	19	67	0
Precinct 7512	173	90	600	334	0	1	70	263	0
Precinct 7513 - Vote By Mail	148	48	575	248	0	0	52	196	0
Precinct 7513 - Election Day	73	11	231	112	0	0	27	85	1
Precinct 7513	221	59	806	360	0	0	79	281	1
Precinct 7514 - Vote By Mail	147	58	709	242	0	0	37	205	0
Precinct 7514 - Election Day	39	5	207	61	0	0	16	45	1
Precinct 7514	186	63	916	303	0	0	53	250	1
Precinct 7515 - Vote By Mail	170	84	663	321	0	0	67	254	0
Precinct 7515 - Election Day	52	13	201	90	0	0	24	66	1
Precinct 7515	222	97	864	411	0	0	91	320	1
Precinct 7516 - Vote By Mail	223	133	773	423	0	0	67	356	0
Precinct 7516 - Election Day	60	36	147	118	0	0	21	97	1
Precinct 7516	283	169	920	541	0	0	88	453	1
Precinct 7517 - Vote By Mail	221	62	645	362	0	0	79	283	0
Precinct 7517 - Election Day	118	27	223	179	0	0	34	145	0
Precinct 7517	339	89	868	541	0	0	113	428	0
Precinct 7518 - Vote By Mail	223	85	708	392	0	1	83	308	0
Precinct 7518 - Election Day	124	28	218	186	0	0	33	153	1
Precinct 7518	347	113	926	578	0	1	116	461	1
Precinct 7519 - Vote By Mail	159	54	543	259	0	0	46	213	0
Precinct 7519 - Election Day	89	24	172	136	0	0	23	113	0
Precinct 7519	248	78	715	395	0	0	69	326	0
Precinct 7521 - Vote By Mail	172	80	597	318	0	0	66	252	0
Precinct 7521 - Election Day	102	16	182	149	0	0	31	118	0
Precinct 7521	274	96	779	467	0	0	97	370	0
Precinct 7522 - Vote By Mail	178	69	588	301	0	0	54	247	0
Precinct 7522 - Election Day	112	20	171	159	0	0	25	134	2
Precinct 7522	290	89	759	460	0	0	79	381	2
Precinct 7523 - Vote By Mail	165	61	564	285	0	0	59	226	0
Precinct 7523 - Election Day	124	25	180	169	0	0	20	149	0
Precinct 7523	289	86	744	454	0	0	79	375	0
Precinct 7524 - Vote By Mail	154	36	480	228	0	0	38	190	0
Precinct 7524 - Election Day	63	22	144	102	0	0	17	85	0
Precinct 7524	217	58	624	330	0	0	55	275	0
Precinct 7525 - Vote By Mail	138	48	594	246	0	0	60	186	0
Precinct 7525 - Election Day	69	5	170	96	0	0	21	75	1
Precinct 7525	207	53	764	342	0	0	81	261	1
Precinct 7526 - Vote By Mail	205	94	826	395	0	0	96	299	0
Precinct 7526 - Election Day	86	29	162	149	0	0	34	115	0
Precinct 7526	291	123	988	544	0	0	130	414	0
Precinct 7527/7528 - Vote By Mail	172	60	538	296	0	1	63	232	0
Precinct 7527/7528 - Election Day	74	21	172	113	0	0	18	95	0
Precinct 7527/7528	246	81	710	409	0	1	81	327	0
Precinct 7529 - Vote By Mail	217	77	749	366	0	0	72	294	0
Precinct 7529 - Election Day	131	23	154	187	0	0	33	154	0
Precinct 7529	348	100	903	553	0	0	105	448	0
Precinct 7531 - Vote By Mail	219	64	714	336	0	0	53	283	0
Precinct 7531 - Election Day	97	16	159	135	0	0	22	113	0
Precinct 7531	316	80	873	471	0	0	75	396	0
Precinct 7532 - Vote By Mail	174	104	668	328	0	0	50	278	0
Precinct 7532 - Election Day	81	20	167	139	0	2	36	101	0
Precinct 7532	255	124	835	467	0	2	86	379	0
Precinct 7533 - Vote By Mail	255	66	776	405	0	1	83	321	0
Precinct 7533 - Election Day	127	22	194	189	0	0	38	151	2
Precinct 7533	382	88	970	594	0	1	121	472	2
Precinct 7534 - Vote By Mail	219	76	670	375	0	0	80	295	0
Precinct 7534 - Election Day	133	20	233	187	0	0	33	154	1
Precinct 7534	352	96	903	562	0	0	113	449	1
Precinct 7535 - Vote By Mail	185	66	606	300	0	0	49	251	0
Precinct 7535 - Election Day	109	14	139	162	0	0	39	123	0
Precinct 7535	294	80	745	462	0	0	88	374	0
Precinct 7536 - Vote By Mail	223	54	670	346	0	0	69	277	0
Precinct 7536 - Election Day	111	30	163	172	0	0	30	142	1
Precinct 7536	334	84	833	518	0	0	99	419	1
Precinct 7537 - Vote By Mail	176	63	619	301	0	0	62	239	0
Precinct 7537 - Election Day	99	20	126	150	0	0	29	121	2
Precinct 7537	275	83	745	451	0	0	91	360	2
Precinct 7538 - Vote By Mail	189	62	562	321	0	2	68	251	0
Precinct 7538 - Election Day	115	18	189	175	0	0	41	134	1
Precinct 7538	304	80	751	496	0	2	109	385	1
Precinct 7539 - Vote By Mail	235	78	696	374	0	0	61	313	0
Precinct 7539 - Election Day	142	21	225	195	0	0	32	163	0
Precinct 7539	377	99	921	569	0	0	93	476	0
Precinct 7541 - Vote By Mail	178	56	600	295	0	0	61	234	0
Precinct 7541 - Election Day	109	25	170	164	0	0	29	135	1
Precinct 7541	287	81	770	459	0	0	90	369	1
Precinct 7542 - Vote By Mail	220	48	632	323	0	0	55	268	0
Precinct 7542 - Election Day	115	30	192	171	0	0	23	148	3
Precinct 7542	335	78	824	494	0	0	78	416	3
Precinct 7543 - Vote By Mail	226	86	694	371	0	0	59	312	0
Precinct 7543 - Election Day	96	23	230	141	0	0	21	120	1
Precinct 7543	322	109	924	512	0	0	80	432	1
Precinct 7544 - Vote By Mail	249	62	731	389	0	1	77	311	0
Precinct 7544 - Election Day	103	28	168	164	0	0	32	132	1
Precinct 7544	352	90	899	553	0	1	109	443	1
Precinct 7545 - Vote By Mail	224	83	723	384	0	4	73	307	0
Precinct 7545 - Election Day	94	23	172	149	0	0	30	119	2
Precinct 7545	318	106	895	533	0	4	103	426	2
Precinct 7546 - Vote By Mail	253	90	770	417	0	0	74	343	0
Precinct 7546 - Election Day	123	44	183	219	0	0	52	167	0
Precinct 7546	376	134	953	636	0	0	126	510	0
Precinct 7547 - Vote By Mail	276	82	798	426	0	0	68	358	0
Precinct 7547 - Election Day	114	27	183	180	0	0	39	141	0
Precinct 7547	390	109	981	606	0	0	107	499	0
Precinct 7548 - Vote By Mail	261	98	802	447	0	1	87	359	0
Precinct 7548 - Election Day	121	43	249	204	0	0	39	165	1
Precinct 7548	382	141	1,051	651	0	1	126	524	1
Precinct 7549 - Vote By Mail	218	84	660	357	0	0	55	302	0
Precinct 7549 - Election Day	77	30	146	143	0	0	34	109	2
Precinct 7549	295	114	806	500	0	0	89	411	2
Precinct 7551 - Vote By Mail	176	74	587	303	0	0	53	250	0
Precinct 7551 - Election Day	105	34	136	175	0	0	36	139	0
Precinct 7551	281	108	723	478	0	0	89	389	0
Precinct 7552 - Vote By Mail	158	68	561	285	0	0	59	226	0
Precinct 7552 - Election Day	80	26	124	130	0	0	24	106	0
Precinct 7552	238	94	685	415	0	0	83	332	0
Precinct 7553 MB - Vote By Mail	55	17	211	95	0	0	23	72	0
Precinct 7553 MB - Election Day	0	0	-20	0	0	0	0	0	0
Precinct 7553 MB	55	17	191	95	0	0	23	72	0
Precinct 7554 - Vote By Mail	203	107	653	381	0	0	71	310	0
Precinct 7554 - Election Day	87	43	168	180	0	3	46	131	1
Precinct 7554	290	150	821	561	0	3	117	441	1
Precinct 7555 - Vote By Mail	207	111	662	416	0	0	98	318	0
Precinct 7555 - Election Day	124	50	210	210	0	0	36	174	0
Precinct 7555	331	161	872	626	0	0	134	492	0
Precinct 7556/7557 - Vote By Mail	256	162	812	512	0	0	94	418	0
Precinct 7556/7557 - Election Day	79	48	154	168	0	0	38	130	3
Precinct 7556/7557	335	210	966	680	0	0	132	548	3
Precinct 7601 - Vote By Mail	125	55	485	207	0	1	26	180	0
Precinct 7601 - Election Day	52	21	192	91	0	0	17	74	1
Precinct 7601	177	76	677	298	0	1	43	254	1
Precinct 7602 - Vote By Mail	171	61	654	276	0	0	44	232	0
Precinct 7602 - Election Day	71	17	232	104	0	0	16	88	0
Precinct 7602	242	78	886	380	0	0	60	320	0
Precinct 7603 - Vote By Mail	185	71	615	295	0	0	39	256	0
Precinct 7603 - Election Day	116	25	200	168	0	1	24	143	2
Precinct 7603	301	96	815	463	0	1	63	399	2
Precinct 7604 - Vote By Mail	174	54	685	270	0	0	42	228	0
Precinct 7604 - Election Day	78	32	259	135	0	0	24	111	1
Precinct 7604	252	86	944	405	0	0	66	339	1
Precinct 7605 - Vote By Mail	85	76	468	191	0	0	30	161	0
Precinct 7605 - Election Day	36	14	193	62	0	0	11	51	1
Precinct 7605	121	90	661	253	0	0	41	212	1
Precinct 7606 - Vote By Mail	146	59	673	267	0	0	62	205	0
Precinct 7606 - Election Day	51	16	210	80	0	0	13	67	0
Precinct 7606	197	75	883	347	0	0	75	272	0
Precinct 7607 - Vote By Mail	180	61	712	288	0	0	47	241	0
Precinct 7607 - Election Day	64	22	207	101	0	0	14	87	1
Precinct 7607	244	83	919	389	0	0	61	328	1
Precinct 7608 - Vote By Mail	36	53	279	96	0	1	6	89	0
Precinct 7608 - Election Day	13	4	101	19	0	0	1	18	1
Precinct 7608	49	57	380	115	0	1	7	107	1
Precinct 7609 - Vote By Mail	115	139	699	286	0	1	31	254	0
Precinct 7609 - Election Day	31	13	185	49	0	0	5	44	0
Precinct 7609	146	152	884	335	0	1	36	298	0
Precinct 7611 - Vote By Mail	120	82	586	235	0	1	32	202	0
Precinct 7611 - Election Day	27	12	202	43	0	0	3	40	1
Precinct 7611	147	94	788	278	0	1	35	242	1
Precinct 7612 - Vote By Mail	78	104	452	216	0	0	34	182	0
Precinct 7612 - Election Day	15	11	105	31	0	0	5	26	0
Precinct 7612	93	115	557	247	0	0	39	208	0
Precinct 7613 - Vote By Mail	132	68	634	244	0	2	42	200	0
Precinct 7613 - Election Day	59	18	249	89	0	1	11	77	0
Precinct 7613	191	86	883	333	0	3	53	277	0
Precinct 7614 - Vote By Mail	160	54	713	253	0	0	39	214	0
Precinct 7614 - Election Day	53	12	203	81	0	0	16	65	0
Precinct 7614	213	66	916	334	0	0	55	279	0
Precinct 7615 - Vote By Mail	72	76	510	165	0	0	17	148	0
Precinct 7615 - Election Day	38	8	240	58	0	0	11	47	1
Precinct 7615	110	84	750	223	0	0	28	195	1
Precinct 7616 - Vote By Mail	125	115	754	330	0	0	90	240	0
Precinct 7616 - Election Day	36	20	82	86	0	0	29	57	1
Precinct 7616	161	135	836	416	0	0	119	297	1
Precinct 7617 - Vote By Mail	109	70	583	222	0	1	42	179	0
Precinct 7617 - Election Day	22	10	169	42	0	0	10	32	0
Precinct 7617	131	80	752	264	0	1	52	211	0
Precinct 7618 - Vote By Mail	187	105	763	365	0	1	72	292	0
Precinct 7618 - Election Day	47	14	151	85	0	0	24	61	0
Precinct 7618	234	119	914	450	0	1	96	353	0
Precinct 7619 - Vote By Mail	210	139	937	439	0	0	90	349	0
Precinct 7619 - Election Day	77	19	170	119	0	0	23	96	0
Precinct 7619	287	158	1,107	558	0	0	113	445	0
Precinct 7621 - Vote By Mail	231	142	1,006	443	0	0	70	373	0
Precinct 7621 - Election Day	49	29	149	104	0	0	25	79	1
Precinct 7621	280	171	1,155	547	0	0	95	452	1
Precinct 7622 - Vote By Mail	132	45	697	215	0	2	36	177	0
Precinct 7622 - Election Day	43	15	263	74	0	0	16	58	0
Precinct 7622	175	60	960	289	0	2	52	235	0
Precinct 7623 - Vote By Mail	148	63	767	256	0	4	41	211	0
Precinct 7623 - Election Day	63	19	237	98	0	0	16	82	0
Precinct 7623	211	82	1,004	354	0	4	57	293	0
Precinct 7624 - Vote By Mail	121	62	652	209	0	0	26	183	0
Precinct 7624 - Election Day	42	15	223	73	0	0	15	58	1
Precinct 7624	163	77	875	282	0	0	41	241	1
Precinct 7625 - Vote By Mail	111	216	749	394	0	2	65	327	0
Precinct 7625 - Election Day	19	7	73	34	0	0	8	26	0
Precinct 7625	130	223	822	428	0	2	73	353	0
Precinct 7626 - Vote By Mail	163	147	944	401	0	0	91	310	0
Precinct 7626 - Election Day	56	33	129	108	0	0	18	90	1
Precinct 7626	219	180	1,073	509	0	0	109	400	1
Precinct 7627 - Vote By Mail	71	72	457	196	0	0	53	143	0
Precinct 7627 - Election Day	31	17	67	59	0	0	11	48	0
Precinct 7627	102	89	524	255	0	0	64	191	0
Precinct 7628 - Vote By Mail	195	67	718	331	0	0	69	262	0
Precinct 7628 - Election Day	69	20	220	111	0	0	20	91	2
Precinct 7628	264	87	938	442	0	0	89	353	2
Precinct 7629 - Vote By Mail	145	67	691	276	0	1	63	212	0
Precinct 7629 - Election Day	52	18	162	87	0	0	16	71	1
Precinct 7629	197	85	853	363	0	1	79	283	1
Precinct 7631 - Vote By Mail	206	150	1,009	440	0	0	84	356	0
Precinct 7631 - Election Day	62	29	210	111	0	0	19	92	1
Precinct 7631	268	179	1,219	551	0	0	103	448	1
Precinct 7632 - Vote By Mail	214	123	1,002	413	0	0	76	337	0
Precinct 7632 - Election Day	82	30	169	130	0	0	17	113	1
Precinct 7632	296	153	1,171	543	0	0	93	450	1
Precinct 7633 - Vote By Mail	118	121	609	278	0	0	39	239	0
Precinct 7633 - Election Day	48	23	126	97	0	0	24	73	2
Precinct 7633	166	144	735	375	0	0	63	312	2
Precinct 7634 - Vote By Mail	157	125	704	344	0	0	62	282	0
Precinct 7634 - Election Day	50	31	186	105	0	0	24	81	0
Precinct 7634	207	156	890	449	0	0	86	363	0
Precinct 7635 - Vote By Mail	130	102	665	273	0	0	41	232	0
Precinct 7635 - Election Day	39	9	188	62	0	0	13	49	1
Precinct 7635	169	111	853	335	0	0	54	281	1
Precinct 7636 - Vote By Mail	149	107	798	330	0	1	73	256	0
Precinct 7636 - Election Day	55	25	161	107	0	0	26	81	1
Precinct 7636	204	132	959	437	0	1	99	337	1
Precinct 7637 - Vote By Mail	140	127	747	344	0	0	77	267	0
Precinct 7637 - Election Day	44	31	121	99	0	0	23	76	1
Precinct 7637	184	158	868	443	0	0	100	343	1
Precinct 7638 - Vote By Mail	123	172	806	372	0	0	77	295	0
Precinct 7638 - Election Day	29	38	83	89	0	0	20	69	2
Precinct 7638	152	210	889	461	0	0	97	364	2
Precinct 7639 - Vote By Mail	144	162	889	396	0	0	90	306	0
Precinct 7639 - Election Day	42	46	133	134	0	0	46	88	0
Precinct 7639	186	208	1,022	530	0	0	136	394	0
Precinct 7641 - Vote By Mail	164	154	817	399	0	0	81	318	0
Precinct 7641 - Election Day	37	40	134	93	0	0	16	77	0
Precinct 7641	201	194	951	492	0	0	97	395	0
Precinct 7642 - Vote By Mail	144	92	647	311	0	0	75	236	0
Precinct 7642 - Election Day	34	20	118	82	0	0	28	54	0
Precinct 7642	178	112	765	393	0	0	103	290	0
Precinct 7643 - Vote By Mail	165	186	810	433	0	1	81	351	0
Precinct 7643 - Election Day	39	38	131	106	0	0	29	77	0
Precinct 7643	204	224	941	539	0	1	110	428	0
Precinct 7644 - Vote By Mail	162	164	1,014	403	0	0	77	326	0
Precinct 7644 - Election Day	91	33	162	142	0	0	17	125	1
Precinct 7644	253	197	1,176	545	0	0	94	451	1
Precinct 7645 - Vote By Mail	96	127	595	286	0	0	63	223	0
Precinct 7645 - Election Day	23	14	61	56	0	1	18	37	0
Precinct 7645	119	141	656	342	0	1	81	260	0
Precinct 7646 - Vote By Mail	189	185	1,032	484	0	0	110	374	0
Precinct 7646 - Election Day	66	32	121	134	0	0	35	99	1
Precinct 7646	255	217	1,153	618	0	0	145	473	1
Precinct 7647 - Vote By Mail	140	38	724	210	0	0	32	178	0
Precinct 7647 - Election Day	51	13	263	79	0	0	13	66	2
Precinct 7647	191	51	987	289	0	0	45	244	2
Precinct 7648 MB - Vote By Mail	0	0	2	1	0	0	1	0	0
Precinct 7648 MB	0	0	2	1	0	0	1	0	0
Precinct 7649 - Vote By Mail	141	92	723	286	0	1	52	233	0
Precinct 7649 - Election Day	52	20	177	81	0	0	8	73	1
Precinct 7649	193	112	900	367	0	1	60	306	1
Precinct 7651 - Vote By Mail	142	118	834	332	0	0	72	260	0
Precinct 7651 - Election Day	27	28	113	73	0	0	17	56	1
Precinct 7651	169	146	947	405	0	0	89	316	1
Precinct 7652 - Vote By Mail	91	65	535	207	0	0	51	156	0
Precinct 7652 - Election Day	48	16	100	87	0	0	23	64	0
Precinct 7652	139	81	635	294	0	0	74	220	0
Precinct 7653 - Vote By Mail	138	124	750	334	0	0	72	262	0
Precinct 7653 - Election Day	34	21	89	80	0	1	23	56	1
Precinct 7653	172	145	839	414	0	1	95	318	1
Precinct 7654 - Vote By Mail	101	59	413	191	0	0	31	160	0
Precinct 7654 - Election Day	43	12	53	84	0	0	29	55	0
Precinct 7654	144	71	466	275	0	0	60	215	0
Precinct 7655 - Vote By Mail	94	75	583	215	0	0	46	169	0
Precinct 7655 - Election Day	25	18	96	60	0	0	16	44	1
Precinct 7655	119	93	679	275	0	0	62	213	1
Precinct 7656 - Vote By Mail	95	128	603	308	0	0	85	223	0
Precinct 7656 - Election Day	9	18	35	40	0	0	13	27	0
Precinct 7656	104	146	638	348	0	0	98	250	0
Precinct 7657 - Vote By Mail	104	97	561	269	0	0	68	201	0
Precinct 7657 - Election Day	30	14	37	61	0	0	17	44	0
Precinct 7657	134	111	598	330	0	0	85	245	0
Precinct 7701 - Vote By Mail	244	144	868	481	0	0	93	388	0
Precinct 7701 - Election Day	100	43	196	174	0	0	31	143	0
Precinct 7701	344	187	1,064	655	0	0	124	531	0
Precinct 7702 - Vote By Mail	157	145	623	375	0	0	73	302	0
Precinct 7702 - Election Day	52	37	133	104	0	0	15	89	0
Precinct 7702	209	182	756	479	0	0	88	391	0
Precinct 7703 MB - Vote By Mail	41	17	187	71	0	0	13	58	0
Precinct 7703 MB - Election Day	0	0	-13	0	0	0	0	0	0
Precinct 7703 MB	41	17	174	71	0	0	13	58	0
Precinct 7704 - Vote By Mail	223	149	798	489	0	1	116	372	0
Precinct 7704 - Election Day	104	39	204	173	0	0	29	144	1
Precinct 7704	327	188	1,002	662	0	1	145	516	1
Precinct 7705 - Vote By Mail	123	114	470	285	0	0	48	237	0
Precinct 7705 - Election Day	49	41	125	110	0	0	20	90	0
Precinct 7705	172	155	595	395	0	0	68	327	0
Precinct 7706 - Vote By Mail	184	159	687	447	0	0	104	343	0
Precinct 7706 - Election Day	78	56	179	162	0	0	26	136	2
Precinct 7706	262	215	866	609	0	0	130	479	2
Precinct 7707 - Vote By Mail	231	129	683	432	0	0	72	360	0
Precinct 7707 - Election Day	84	65	189	179	0	0	30	149	0
Precinct 7707	315	194	872	611	0	0	102	509	0
Precinct 7708 - Vote By Mail	249	131	710	461	0	0	81	380	0
Precinct 7708 - Election Day	86	39	165	154	0	0	29	125	0
Precinct 7708	335	170	875	615	0	0	110	505	0
Precinct 7709 - Vote By Mail	122	46	324	193	0	0	25	168	0
Precinct 7709 - Election Day	58	20	82	90	0	0	11	79	1
Precinct 7709	180	66	406	283	0	0	36	247	1
Precinct 7711 - Vote By Mail	192	115	658	379	0	1	71	307	0
Precinct 7711 - Election Day	77	30	153	125	0	0	17	108	1
Precinct 7711	269	145	811	504	0	1	88	415	1
Precinct 7712 - Vote By Mail	149	72	425	258	0	1	36	221	0
Precinct 7712 - Election Day	63	23	107	106	0	0	19	87	1
Precinct 7712	212	95	532	364	0	1	55	308	1
Precinct 7801 - Vote By Mail	249	144	823	478	0	0	85	393	0
Precinct 7801 - Election Day	88	66	151	190	0	0	36	154	0
Precinct 7801	337	210	974	668	0	0	121	547	0
Precinct 7802 - Vote By Mail	201	117	646	401	0	1	82	318	0
Precinct 7802 - Election Day	95	32	152	158	0	0	31	127	0
Precinct 7802	296	149	798	559	0	1	113	445	0
Precinct 7803 - Vote By Mail	237	146	718	476	0	0	93	383	0
Precinct 7803 - Election Day	66	31	113	128	0	0	29	99	2
Precinct 7803	303	177	831	604	0	0	122	482	2
Precinct 7804 - Vote By Mail	246	130	734	463	0	0	87	376	0
Precinct 7804 - Election Day	95	42	151	181	0	0	44	137	0
Precinct 7804	341	172	885	644	0	0	131	513	0
Precinct 7805 - Vote By Mail	216	92	644	399	0	0	91	308	0
Precinct 7805 - Election Day	85	42	156	156	0	0	28	128	1
Precinct 7805	301	134	800	555	0	0	119	436	1
Precinct 7806 - Vote By Mail	198	99	602	361	0	0	64	297	0
Precinct 7806 - Election Day	80	41	153	152	0	0	30	122	1
Precinct 7806	278	140	755	513	0	0	94	419	1
Precinct 7807 - Vote By Mail	204	81	642	361	0	1	75	285	0
Precinct 7807 - Election Day	105	32	185	174	0	0	35	139	2
Precinct 7807	309	113	827	535	0	1	110	424	2
Precinct 7808 - Vote By Mail	161	81	525	296	0	0	54	242	0
Precinct 7808 - Election Day	66	38	129	129	0	0	24	105	1
Precinct 7808	227	119	654	425	0	0	78	347	1
Precinct 7809 - Vote By Mail	205	92	624	351	0	0	54	297	0
Precinct 7809 - Election Day	84	20	140	136	0	0	32	104	0
Precinct 7809	289	112	764	487	0	0	86	401	0
Precinct 7811 - Vote By Mail	202	61	582	311	0	0	48	263	0
Precinct 7811 - Election Day	95	24	176	155	0	0	35	120	1
Precinct 7811	297	85	758	466	0	0	83	383	1
Precinct 7812 - Vote By Mail	215	80	680	369	0	0	74	295	0
Precinct 7812 - Election Day	96	32	217	163	0	0	35	128	0
Precinct 7812	311	112	897	532	0	0	109	423	0
Precinct 7813 - Vote By Mail	304	91	843	483	0	0	88	395	0
Precinct 7813 - Election Day	133	37	225	215	0	0	43	172	2
Precinct 7813	437	128	1,068	698	0	0	131	567	2
Precinct 7814 - Vote By Mail	169	63	660	279	0	0	47	232	0
Precinct 7814 - Election Day	81	14	241	118	0	0	22	96	1
Precinct 7814	250	77	901	397	0	0	69	328	1
Precinct 7815 - Vote By Mail	247	118	749	465	0	1	99	365	0
Precinct 7815 - Election Day	122	27	168	179	0	0	30	149	0
Precinct 7815	369	145	917	644	0	1	129	514	0
Precinct 7816 - Vote By Mail	271	109	724	472	0	0	92	380	0
Precinct 7816 - Election Day	89	29	148	149	0	0	31	118	0
Precinct 7816	360	138	872	621	0	0	123	498	0
Precinct 7817 - Vote By Mail	244	92	652	396	0	0	60	336	0
Precinct 7817 - Election Day	119	30	186	183	0	0	34	149	0
Precinct 7817	363	122	838	579	0	0	94	485	0
Precinct 7818 - Vote By Mail	229	89	668	393	0	0	75	318	0
Precinct 7818 - Election Day	99	30	171	149	0	0	20	129	0
Precinct 7818	328	119	839	542	0	0	95	447	0
Precinct 7819 - Vote By Mail	209	89	635	352	0	0	54	298	0
Precinct 7819 - Election Day	57	19	139	89	0	0	13	76	0
Precinct 7819	266	108	774	441	0	0	67	374	0
Precinct 7821 - Vote By Mail	289	133	806	519	0	0	97	422	0
Precinct 7821 - Election Day	102	54	170	190	0	0	34	156	0
Precinct 7821	391	187	976	709	0	0	131	578	0
Precinct 7822 - Vote By Mail	219	100	673	395	0	0	76	319	0
Precinct 7822 - Election Day	136	44	219	223	0	0	43	180	0
Precinct 7822	355	144	892	618	0	0	119	499	0
Precinct 7823 - Vote By Mail	245	86	706	410	0	0	79	331	0
Precinct 7823 - Election Day	128	33	177	189	0	0	27	162	1
Precinct 7823	373	119	883	599	0	0	106	493	1
Precinct 7824 - Vote By Mail	181	90	615	334	0	0	63	271	0
Precinct 7824 - Election Day	95	25	153	158	0	0	38	120	0
Precinct 7824	276	115	768	492	0	0	101	391	0
Precinct 7825 - Vote By Mail	177	39	457	252	0	0	36	216	0
Precinct 7825 - Election Day	92	23	151	130	0	0	14	116	1
Precinct 7825	269	62	608	382	0	0	50	332	1
Precinct 7826 - Vote By Mail	152	55	486	263	0	0	56	207	0
Precinct 7826 - Election Day	103	32	204	162	0	0	27	135	0
Precinct 7826	255	87	690	425	0	0	83	342	0
Precinct 7827 - Vote By Mail	204	68	607	318	0	0	46	272	0
Precinct 7827 - Election Day	103	14	219	146	0	0	28	118	1
Precinct 7827	307	82	826	464	0	0	74	390	1
Precinct 7828 - Vote By Mail	265	126	857	477	0	0	86	391	0
Precinct 7828 - Election Day	98	45	171	179	0	0	35	144	1
Precinct 7828	363	171	1,028	656	0	0	121	535	1
Precinct 7829 - Vote By Mail	244	139	742	466	0	0	83	383	0
Precinct 7829 - Election Day	84	37	149	151	0	0	27	124	3
Precinct 7829	328	176	891	617	0	0	110	507	3
Precinct 7831 - Vote By Mail	261	122	763	485	0	0	102	383	0
Precinct 7831 - Election Day	82	32	139	138	0	0	22	116	2
Precinct 7831	343	154	902	623	0	0	124	499	2
Precinct 7832 - Vote By Mail	247	92	663	412	0	0	73	339	0
Precinct 7832 - Election Day	75	24	118	127	0	0	27	100	1
Precinct 7832	322	116	781	539	0	0	100	439	1
Precinct 7833 - Vote By Mail	190	81	587	343	0	0	72	271	0
Precinct 7833 - Election Day	94	16	146	145	0	0	35	110	0
Precinct 7833	284	97	733	488	0	0	107	381	0
Precinct 7834 - Vote By Mail	211	91	700	374	0	0	72	302	0
Precinct 7834 - Election Day	126	17	194	177	0	0	34	143	0
Precinct 7834	337	108	894	551	0	0	106	445	0
Precinct 7835 - Vote By Mail	231	119	721	427	0	0	77	350	0
Precinct 7835 - Election Day	87	31	142	147	0	0	29	118	0
