Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts	210,727	68,541	503,899	304,904	0	73	25,563	279,268
All Precincts - Election Day	76,863	20,290	101,264	107,001	0	22	9,826	97,153
All Precincts - Vote By Mail	133,864	48,251	402,635	197,903	0	51	15,737	182,115
Precinct 1101 - Vote By Mail	133	67	448	216	0	0	16	200
Precinct 1101 - Election Day	68	17	114	93	0	0	8	85
Precinct 1101	201	84	562	309	0	0	24	285
Precinct 1102 - Vote By Mail	220	129	774	370	0	0	21	349
Precinct 1102 - Election Day	147	49	230	209	0	0	13	196
Precinct 1102	367	178	1,004	579	0	0	34	545
Precinct 1103 - Vote By Mail	241	111	749	373	0	0	21	352
Precinct 1103 - Election Day	131	51	222	194	0	0	12	182
Precinct 1103	372	162	971	567	0	0	33	534
Precinct 1104/1105 - Vote By Mail	228	96	751	343	0	0	19	324
Precinct 1104/1105 - Election Day	110	42	267	169	0	0	17	152
Precinct 1104/1105	338	138	1,018	512	0	0	36	476
Precinct 1106 - Vote By Mail	148	93	598	255	0	0	14	241
Precinct 1106 - Election Day	99	36	173	149	0	0	14	135
Precinct 1106	247	129	771	404	0	0	28	376
Precinct 1107 - Vote By Mail	184	84	612	288	0	0	20	268
Precinct 1107 - Election Day	92	28	139	125	0	0	5	120
Precinct 1107	276	112	751	413	0	0	25	388
Precinct 1108 - Vote By Mail	256	84	725	360	0	0	20	340
Precinct 1108 - Election Day	111	33	198	159	0	0	15	144
Precinct 1108	367	117	923	519	0	0	35	484
Precinct 1109 - Vote By Mail	174	95	653	285	0	0	16	269
Precinct 1109 - Election Day	97	33	169	141	0	0	11	130
Precinct 1109	271	128	822	426	0	0	27	399
Precinct 1111 - Vote By Mail	222	109	849	354	0	0	23	331
Precinct 1111 - Election Day	137	37	197	189	0	0	15	174
Precinct 1111	359	146	1,046	543	0	0	38	505
Precinct 1112 - Vote By Mail	194	68	643	280	0	0	18	262
Precinct 1112 - Election Day	88	22	159	119	0	0	9	110
Precinct 1112	282	90	802	399	0	0	27	372
Precinct 1113 - Vote By Mail	166	101	675	286	0	0	19	267
Precinct 1113 - Election Day	70	25	120	108	0	0	13	95
Precinct 1113	236	126	795	394	0	0	32	362
Precinct 1114 - Vote By Mail	227	82	769	328	0	0	19	309
Precinct 1114 - Election Day	125	25	222	167	0	0	17	150
Precinct 1114	352	107	991	495	0	0	36	459
Precinct 1115 - Vote By Mail	183	92	743	295	0	0	20	275
Precinct 1115 - Election Day	95	23	193	131	0	0	13	118
Precinct 1115	278	115	936	426	0	0	33	393
Precinct 1116 - Vote By Mail	195	92	715	309	0	0	22	287
Precinct 1116 - Election Day	145	34	216	197	0	0	18	179
Precinct 1116	340	126	931	506	0	0	40	466
Precinct 1117 - Vote By Mail	164	77	665	259	0	0	18	241
Precinct 1117 - Election Day	114	26	181	152	0	0	12	140
Precinct 1117	278	103	846	411	0	0	30	381
Precinct 1118 - Vote By Mail	246	108	846	366	0	0	12	354
Precinct 1118 - Election Day	116	34	219	164	0	0	14	150
Precinct 1118	362	142	1,065	530	0	0	26	504
Precinct 1119 - Vote By Mail	214	75	659	305	0	0	16	289
Precinct 1119 - Election Day	88	19	138	117	0	0	10	107
Precinct 1119	302	94	797	422	0	0	26	396
Precinct 1121 - Vote By Mail	148	97	556	269	0	0	24	245
Precinct 1121 - Election Day	79	36	149	123	0	0	8	115
Precinct 1121	227	133	705	392	0	0	32	360
Precinct 1122 - Vote By Mail	136	92	519	247	0	0	19	228
Precinct 1122 - Election Day	62	28	118	97	0	0	7	90
Precinct 1122	198	120	637	344	0	0	26	318
Precinct 1123 - Vote By Mail	164	81	730	258	0	0	13	245
Precinct 1123 - Election Day	109	32	208	151	0	0	10	141
Precinct 1123	273	113	938	409	0	0	23	386
Precinct 1124 - Vote By Mail	157	82	631	246	0	0	7	239
Precinct 1124 - Election Day	94	23	198	125	0	0	8	117
Precinct 1124	251	105	829	371	0	0	15	356
Precinct 1125 - Vote By Mail	204	131	919	365	0	0	30	335
Precinct 1125 - Election Day	88	14	178	115	0	0	13	102
Precinct 1125	292	145	1,097	480	0	0	43	437
Precinct 1126 - Vote By Mail	198	89	812	308	0	0	21	287
Precinct 1126 - Election Day	77	29	200	108	0	0	2	106
Precinct 1126	275	118	1,012	416	0	0	23	393
Precinct 1127 - Vote By Mail	155	127	743	295	0	0	13	282
Precinct 1127 - Election Day	104	38	222	148	0	0	6	142
Precinct 1127	259	165	965	443	0	0	19	424
Precinct 1128 - Vote By Mail	158	115	734	287	0	0	14	273
Precinct 1128 - Election Day	72	27	145	108	0	1	8	99
Precinct 1128	230	142	879	395	0	1	22	372
Precinct 1129 - Vote By Mail	182	108	790	314	0	0	24	290
Precinct 1129 - Election Day	92	38	246	146	0	0	16	130
Precinct 1129	274	146	1,036	460	0	0	40	420
Precinct 1131 - Vote By Mail	149	107	694	280	0	1	23	256
Precinct 1131 - Election Day	79	21	166	111	0	0	11	100
Precinct 1131	228	128	860	391	0	1	34	356
Precinct 1132 - Vote By Mail	213	126	838	370	0	0	31	339
Precinct 1132 - Election Day	65	31	194	103	0	0	7	96
