Subtotal Area	SCOTT WIENER	ERIN SMITH	JACKIE FIELDER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7333 - Election Day	102	13	72	193	219	0	0	31	188	1
Precinct 7333	304	46	189	1,015	608	0	0	68	540	1
Precinct 7334 - Vote By Mail	165	30	86	688	306	0	0	25	281	0
Precinct 7334 - Election Day	60	7	48	131	131	0	2	13	116	1
Precinct 7334	225	37	134	819	437	0	2	38	397	1
Precinct 7335 - Vote By Mail	198	59	85	788	389	0	0	47	342	0
Precinct 7335 - Election Day	110	14	47	146	189	0	0	17	172	1
Precinct 7335	308	73	132	934	578	0	0	64	514	1
Precinct 7336 - Vote By Mail	223	63	76	779	404	0	0	42	362	0
Precinct 7336 - Election Day	93	13	45	175	174	0	0	23	151	0
Precinct 7336	316	76	121	954	578	0	0	65	513	0
Precinct 7337 - Vote By Mail	211	51	72	772	386	0	0	52	334	0
Precinct 7337 - Election Day	56	14	30	125	111	0	0	11	100	0
Precinct 7337	267	65	102	897	497	0	0	63	434	0
Precinct 7338 - Vote By Mail	222	47	46	770	360	0	1	44	315	0
Precinct 7338 - Election Day	48	8	19	125	90	0	0	15	75	0
Precinct 7338	270	55	65	895	450	0	1	59	390	0
Precinct 7339 - Vote By Mail	150	22	76	605	270	0	0	22	248	0
Precinct 7339 - Election Day	66	7	38	150	122	0	0	10	112	1
Precinct 7339	216	29	114	755	392	0	0	32	360	1
Precinct 7341 - Vote By Mail	155	19	93	675	291	0	0	24	267	0
Precinct 7341 - Election Day	70	9	65	178	159	0	0	15	144	0
Precinct 7341	225	28	158	853	450	0	0	39	411	0
Precinct 7342 - Vote By Mail	167	31	95	674	323	0	0	30	293	0
Precinct 7342 - Election Day	117	25	75	230	238	0	0	20	218	1
Precinct 7342	284	56	170	904	561	0	0	50	511	1
Precinct 7343 - Vote By Mail	129	12	88	554	251	0	0	22	229	0
Precinct 7343 - Election Day	67	4	52	150	146	0	0	23	123	0
Precinct 7343	196	16	140	704	397	0	0	45	352	0
Precinct 7344 - Vote By Mail	213	35	107	863	392	0	1	36	355	0
Precinct 7344 - Election Day	80	11	59	201	161	0	0	10	151	1
Precinct 7344	293	46	166	1,064	553	0	1	46	506	1
Precinct 7345 - Vote By Mail	218	31	147	904	432	0	0	36	396	0
Precinct 7345 - Election Day	96	14	86	210	214	0	0	16	198	2
Precinct 7345	314	45	233	1,114	646	0	0	52	594	2
Precinct 7346 - Vote By Mail	139	22	103	681	288	0	0	24	264	0
Precinct 7346 - Election Day	72	17	67	208	169	0	1	12	156	0
Precinct 7346	211	39	170	889	457	0	1	36	420	0
Precinct 7347 - Vote By Mail	177	23	133	833	370	0	0	37	333	0
Precinct 7347 - Election Day	54	6	35	170	109	0	0	14	95	0
Precinct 7347	231	29	168	1,003	479	0	0	51	428	0
Precinct 7348 - Vote By Mail	137	34	90	650	279	0	0	18	261	0
Precinct 7348 - Election Day	57	9	44	193	115	0	0	5	110	0
Precinct 7348	194	43	134	843	394	0	0	23	371	0
Precinct 7349 - Vote By Mail	166	40	78	710	315	0	0	31	284	0
Precinct 7349 - Election Day	62	12	46	202	143	0	0	23	120	0
Precinct 7349	228	52	124	912	458	0	0	54	404	0
Precinct 7501 - Vote By Mail	139	29	39	456	248	0	0	41	207	0
Precinct 7501 - Election Day	74	11	23	95	116	0	0	8	108	0
Precinct 7501	213	40	62	551	364	0	0	49	315	0
Precinct 7502 - Vote By Mail	170	41	67	668	314	0	0	36	278	0
Precinct 7502 - Election Day	76	7	36	121	135	0	0	16	119	0
Precinct 7502	246	48	103	789	449	0	0	52	397	0
Precinct 7503 - Vote By Mail	153	28	76	614	286	0	0	29	257	0
Precinct 7503 - Election Day	66	17	35	148	134	0	0	16	118	0
Precinct 7503	219	45	111	762	420	0	0	45	375	0
Precinct 7504 - Vote By Mail	100	21	42	404	175	0	1	11	163	0
Precinct 7504 - Election Day	30	3	16	84	57	0	0	7	50	1
Precinct 7504	130	24	58	488	232	0	1	18	213	1
Precinct 7505 - Vote By Mail	247	50	63	729	405	0	0	45	360	0
Precinct 7505 - Election Day	57	4	24	133	96	0	0	11	85	0
Precinct 7505	304	54	87	862	501	0	0	56	445	0
Precinct 7506 - Vote By Mail	186	43	93	842	363	0	0	41	322	0
Precinct 7506 - Election Day	62	4	41	158	117	0	0	10	107	0
Precinct 7506	248	47	134	1,000	480	0	0	51	429	0
Precinct 7507 - Vote By Mail	146	26	92	694	289	0	1	24	264	0
Precinct 7507 - Election Day	51	6	37	262	102	0	0	8	94	0
Precinct 7507	197	32	129	956	391	0	1	32	358	0
Precinct 7508 - Vote By Mail	214	39	93	618	373	0	0	27	346	0
Precinct 7508 - Election Day	53	6	34	126	106	0	0	13	93	0
Precinct 7508	267	45	127	744	479	0	0	40	439	0
Precinct 7509/7511 - Vote By Mail	226	38	105	756	399	0	0	30	369	0
Precinct 7509/7511 - Election Day	89	11	37	173	148	0	0	11	137	0
Precinct 7509/7511	315	49	142	929	547	0	0	41	506	0
Precinct 7512 - Vote By Mail	127	49	56	475	248	0	0	16	232	0
Precinct 7512 - Election Day	48	8	21	125	86	0	0	9	77	0
Precinct 7512	175	57	77	600	334	0	0	25	309	0
Precinct 7513 - Vote By Mail	113	34	78	575	248	0	1	22	225	0
Precinct 7513 - Election Day	57	3	38	231	112	0	0	14	98	0
Precinct 7513	170	37	116	806	360	0	1	36	323	0
Precinct 7514 - Vote By Mail	132	30	53	709	242	0	0	27	215	0
Precinct 7514 - Election Day	37	4	13	207	61	0	0	7	54	0
Precinct 7514	169	34	66	916	303	0	0	34	269	0
Precinct 7515 - Vote By Mail	172	26	91	663	321	0	2	30	289	0
Precinct 7515 - Election Day	52	3	22	201	90	0	0	12	78	1
Precinct 7515	224	29	113	864	411	0	2	42	367	1
Precinct 7516 - Vote By Mail	253	36	98	773	423	0	0	36	387	0
Precinct 7516 - Election Day	76	5	24	147	118	0	0	12	106	1
Precinct 7516	329	41	122	920	541	0	0	48	493	1
Precinct 7517 - Vote By Mail	175	11	136	645	362	0	0	40	322	0
Precinct 7517 - Election Day	83	7	75	223	179	0	0	14	165	0
Precinct 7517	258	18	211	868	541	0	0	54	487	0
Precinct 7518 - Vote By Mail	206	18	130	708	392	0	0	38	354	0
Precinct 7518 - Election Day	85	5	84	218	186	0	0	12	174	0
Precinct 7518	291	23	214	926	578	0	0	50	528	0
Precinct 7519 - Vote By Mail	138	13	87	543	259	0	0	21	238	0
Precinct 7519 - Election Day	60	3	59	172	136	0	0	13	123	1
Precinct 7519	198	16	146	715	395	0	0	34	361	1
Precinct 7521 - Vote By Mail	160	9	126	597	318	0	1	22	295	0
Precinct 7521 - Election Day	76	6	55	182	149	0	0	12	137	0
Precinct 7521	236	15	181	779	467	0	1	34	432	0
Precinct 7522 - Vote By Mail	171	5	104	588	301	0	0	21	280	0
Precinct 7522 - Election Day	69	5	77	171	159	0	0	7	152	1
Precinct 7522	240	10	181	759	460	0	0	28	432	1
Precinct 7523 - Vote By Mail	158	9	103	564	285	0	0	15	270	0
Precinct 7523 - Election Day	71	5	78	180	169	0	0	15	154	0
Precinct 7523	229	14	181	744	454	0	0	30	424	0
Precinct 7524 - Vote By Mail	118	4	83	480	228	0	0	23	205	0
Precinct 7524 - Election Day	63	3	28	144	102	0	0	8	94	0
Precinct 7524	181	7	111	624	330	0	0	31	299	0
Precinct 7525 - Vote By Mail	127	10	80	594	246	0	0	29	217	0
Precinct 7525 - Election Day	44	1	39	170	96	0	0	12	84	0
Precinct 7525	171	11	119	764	342	0	0	41	301	0
Precinct 7526 - Vote By Mail	240	13	93	826	395	0	0	49	346	0
Precinct 7526 - Election Day	76	7	53	162	149	0	0	13	136	0
Precinct 7526	316	20	146	988	544	0	0	62	482	0
Precinct 7527/7528 - Vote By Mail	133	22	105	538	296	0	2	34	260	0
Precinct 7527/7528 - Election Day	50	11	43	172	113	0	0	9	104	0
Precinct 7527/7528	183	33	148	710	409	0	2	43	364	0
Precinct 7529 - Vote By Mail	190	7	126	749	366	0	0	43	323	0
Precinct 7529 - Election Day	78	9	86	154	187	0	0	14	173	0
Precinct 7529	268	16	212	903	553	0	0	57	496	0
Precinct 7531 - Vote By Mail	172	11	130	714	336	0	0	23	313	0
Precinct 7531 - Election Day	59	2	66	159	135	0	0	7	128	1
Precinct 7531	231	13	196	873	471	0	0	30	441	1
Precinct 7532 - Vote By Mail	185	19	91	668	328	0	0	33	295	0
Precinct 7532 - Election Day	71	13	42	167	139	0	1	12	126	0
Precinct 7532	256	32	133	835	467	0	1	45	421	0
Precinct 7533 - Vote By Mail	188	16	165	776	405	0	1	35	369	0
Precinct 7533 - Election Day	67	7	99	194	189	0	0	16	173	0
Precinct 7533	255	23	264	970	594	0	1	51	542	0
Precinct 7534 - Vote By Mail	178	9	144	670	375	0	0	44	331	0
Precinct 7534 - Election Day	79	5	92	233	187	0	0	11	176	0
Precinct 7534	257	14	236	903	562	0	0	55	507	0
Precinct 7535 - Vote By Mail	149	10	121	606	300	0	1	19	280	0
Precinct 7535 - Election Day	76	4	70	139	162	0	0	12	150	0
Precinct 7535	225	14	191	745	462	0	1	31	430	0
Precinct 7536 - Vote By Mail	185	11	123	670	346	0	0	27	319	0
Precinct 7536 - Election Day	79	7	73	163	172	0	1	12	159	0
Precinct 7536	264	18	196	833	518	0	1	39	478	0
Precinct 7537 - Vote By Mail	170	12	104	619	301	0	0	15	286	0
Precinct 7537 - Election Day	72	6	61	126	150	0	0	9	141	2
Precinct 7537	242	18	165	745	451	0	0	24	427	2
Precinct 7538 - Vote By Mail	186	8	105	562	321	0	1	21	299	0
Precinct 7538 - Election Day	85	0	74	189	175	0	1	14	160	1
Precinct 7538	271	8	179	751	496	0	2	35	459	1
Precinct 7539 - Vote By Mail	207	9	133	696	374	0	0	25	349	0
Precinct 7539 - Election Day	76	5	99	225	195	0	0	15	180	0
Precinct 7539	283	14	232	921	569	0	0	40	529	0
Precinct 7541 - Vote By Mail	155	9	99	600	295	0	0	32	263	0
Precinct 7541 - Election Day	72	4	77	170	164	0	0	11	153	0
Precinct 7541	227	13	176	770	459	0	0	43	416	0
Precinct 7542 - Vote By Mail	168	5	130	632	323	0	0	20	303	0
Precinct 7542 - Election Day	85	5	69	192	171	0	0	8	163	4
Precinct 7542	253	10	199	824	494	0	0	28	466	4
Precinct 7543 - Vote By Mail	210	16	121	694	371	0	0	24	347	0
Precinct 7543 - Election Day	60	4	65	230	141	0	0	12	129	0
Precinct 7543	270	20	186	924	512	0	0	36	476	0
Precinct 7544 - Vote By Mail	219	10	131	731	389	0	1	28	360	0
Precinct 7544 - Election Day	82	5	65	168	164	0	0	12	152	0
Precinct 7544	301	15	196	899	553	0	1	40	512	0
Precinct 7545 - Vote By Mail	222	26	99	723	384	0	1	36	347	0
Precinct 7545 - Election Day	71	8	55	172	149	0	0	15	134	0
Precinct 7545	293	34	154	895	533	0	1	51	481	0
Precinct 7546 - Vote By Mail	223	13	149	770	417	0	0	32	385	0
Precinct 7546 - Election Day	98	10	89	183	219	0	0	22	197	0
Precinct 7546	321	23	238	953	636	0	0	54	582	0
Precinct 7547 - Vote By Mail	197	18	182	798	426	0	1	28	397	0
Precinct 7547 - Election Day	74	6	86	183	180	0	0	14	166	0
Precinct 7547	271	24	268	981	606	0	1	42	563	0
Precinct 7548 - Vote By Mail	238	22	153	802	447	0	1	33	413	0
Precinct 7548 - Election Day	107	6	76	249	204	0	0	15	189	0
Precinct 7548	345	28	229	1,051	651	0	1	48	602	0
Precinct 7549 - Vote By Mail	188	20	120	660	357	0	1	28	328	0
Precinct 7549 - Election Day	68	4	55	146	143	0	0	16	127	0
Precinct 7549	256	24	175	806	500	0	1	44	455	0
Precinct 7551 - Vote By Mail	155	5	123	587	303	0	0	20	283	0
Precinct 7551 - Election Day	78	12	70	136	175	0	0	15	160	0
Precinct 7551	233	17	193	723	478	0	0	35	443	0
Precinct 7552 - Vote By Mail	174	10	70	561	285	0	0	31	254	0
Precinct 7552 - Election Day	75	4	43	124	130	0	0	8	122	0
Precinct 7552	249	14	113	685	415	0	0	39	376	0
Precinct 7553 MB - Vote By Mail	58	7	20	211	95	0	0	10	85	0
Precinct 7553 MB - Election Day	0	0	0	-20	0	0	0	0	0	0
Precinct 7553 MB	58	7	20	191	95	0	0	10	85	0
Precinct 7554 - Vote By Mail	235	18	99	653	381	0	1	28	352	0
Precinct 7554 - Election Day	102	10	46	168	180	0	0	21	159	1
Precinct 7554	337	28	145	821	561	0	1	49	511	1
Precinct 7555 - Vote By Mail	249	12	100	662	416	0	0	55	361	0
Precinct 7555 - Election Day	134	9	54	210	210	0	0	13	197	0
Precinct 7555	383	21	154	872	626	0	0	68	558	0
Precinct 7556/7557 - Vote By Mail	338	21	111	812	512	0	1	41	470	0
Precinct 7556/7557 - Election Day	100	15	39	154	168	0	0	13	155	1
Precinct 7556/7557	438	36	150	966	680	0	1	54	625	1
Precinct 7601 - Vote By Mail	107	16	68	485	207	0	1	15	191	0
Precinct 7601 - Election Day	36	9	35	192	91	0	0	11	80	0
Precinct 7601	143	25	103	677	298	0	1	26	271	0
Precinct 7602 - Vote By Mail	129	20	112	654	276	0	0	15	261	0
Precinct 7602 - Election Day	47	5	40	232	104	0	1	11	92	0
Precinct 7602	176	25	152	886	380	0	1	26	353	0
Precinct 7603 - Vote By Mail	146	21	104	615	295	0	0	24	271	0
Precinct 7603 - Election Day	73	8	79	200	168	0	0	8	160	0
Precinct 7603	219	29	183	815	463	0	0	32	431	0
Precinct 7604 - Vote By Mail	131	16	103	685	270	0	0	20	250	0
Precinct 7604 - Election Day	62	14	46	259	135	0	0	13	122	0
Precinct 7604	193	30	149	944	405	0	0	33	372	0
Precinct 7605 - Vote By Mail	107	24	42	468	191	0	3	15	173	0
Precinct 7605 - Election Day	31	7	19	193	62	0	0	5	57	0
Precinct 7605	138	31	61	661	253	0	3	20	230	0
Precinct 7606 - Vote By Mail	128	26	88	673	267	0	0	25	242	0
Precinct 7606 - Election Day	37	6	31	210	80	0	0	6	74	0
Precinct 7606	165	32	119	883	347	0	0	31	316	0
Precinct 7607 - Vote By Mail	154	24	84	712	288	0	1	25	262	0
Precinct 7607 - Election Day	45	9	38	207	101	0	0	8	93	1
Precinct 7607	199	33	122	919	389	0	1	33	355	1
Precinct 7608 - Vote By Mail	59	16	17	279	96	0	0	4	92	0
Precinct 7608 - Election Day	10	3	6	101	19	0	0	0	19	0
Precinct 7608	69	19	23	380	115	0	0	4	111	0
Precinct 7609 - Vote By Mail	186	25	47	699	286	0	1	27	258	0
Precinct 7609 - Election Day	25	5	14	185	49	0	0	5	44	0
Precinct 7609	211	30	61	884	335	0	1	32	302	0
Precinct 7611 - Vote By Mail	131	18	61	586	235	0	1	24	210	0
Precinct 7611 - Election Day	22	2	15	202	43	0	1	2	40	1
Precinct 7611	153	20	76	788	278	0	2	26	250	1
Precinct 7612 - Vote By Mail	113	27	49	452	216	0	0	27	189	0
Precinct 7612 - Election Day	15	2	11	105	31	0	0	3	28	0
Precinct 7612	128	29	60	557	247	0	0	30	217	0
Precinct 7613 - Vote By Mail	114	24	86	634	244	0	1	19	224	0
Precinct 7613 - Election Day	44	2	36	249	89	0	0	7	82	0
Precinct 7613	158	26	122	883	333	0	1	26	306	0
Precinct 7614 - Vote By Mail	132	24	75	713	253	0	0	22	231	0
Precinct 7614 - Election Day	35	5	33	203	81	0	0	8	73	0
Precinct 7614	167	29	108	916	334	0	0	30	304	0
Precinct 7615 - Vote By Mail	81	18	55	510	165	0	0	11	154	0
Precinct 7615 - Election Day	29	2	20	240	58	0	0	7	51	0
Precinct 7615	110	20	75	750	223	0	0	18	205	0
Precinct 7616 - Vote By Mail	208	10	70	754	330	0	0	42	288	0
Precinct 7616 - Election Day	51	6	16	82	86	0	0	13	73	0
Precinct 7616	259	16	86	836	416	0	0	55	361	0
Precinct 7617 - Vote By Mail	114	33	50	583	222	0	1	24	197	0
Precinct 7617 - Election Day	24	5	10	169	42	0	0	3	39	0
Precinct 7617	138	38	60	752	264	0	1	27	236	0
Precinct 7618 - Vote By Mail	203	23	116	763	365	0	0	23	342	0
Precinct 7618 - Election Day	43	6	24	151	85	0	0	12	73	0
Precinct 7618	246	29	140	914	450	0	0	35	415	0
Precinct 7619 - Vote By Mail	242	29	133	937	439	0	0	35	404	0
Precinct 7619 - Election Day	68	5	34	170	119	0	0	12	107	0
Precinct 7619	310	34	167	1,107	558	0	0	47	511	0
Precinct 7621 - Vote By Mail	250	37	118	1,006	443	0	1	37	405	0
Precinct 7621 - Election Day	51	8	34	149	104	0	0	11	93	0
Precinct 7621	301	45	152	1,155	547	0	1	48	498	0
Precinct 7622 - Vote By Mail	108	21	70	697	215	0	0	16	199	0
Precinct 7622 - Election Day	27	5	32	263	74	0	0	9	65	1
Precinct 7622	135	26	102	960	289	0	0	25	264	1
Precinct 7623 - Vote By Mail	132	14	88	767	256	0	2	20	234	0
Precinct 7623 - Election Day	43	5	40	237	98	0	0	10	88	0
Precinct 7623	175	19	128	1,004	354	0	2	30	322	0
Precinct 7624 - Vote By Mail	128	17	47	652	209	0	0	17	192	0
Precinct 7624 - Election Day	39	5	17	223	73	0	0	11	62	1
Precinct 7624	167	22	64	875	282	0	0	28	254	1
Precinct 7625 - Vote By Mail	238	60	49	749	394	0	5	42	347	0
Precinct 7625 - Election Day	19	1	10	73	34	0	0	4	30	0
Precinct 7625	257	61	59	822	428	0	5	46	377	0
Precinct 7626 - Vote By Mail	261	38	55	944	401	0	0	47	354	0
Precinct 7626 - Election Day	68	10	26	129	108	0	0	4	104	0
Precinct 7626	329	48	81	1,073	509	0	0	51	458	0
Precinct 7627 - Vote By Mail	112	33	25	457	196	0	0	26	170	0
Precinct 7627 - Election Day	35	5	10	67	59	0	0	9	50	0
Precinct 7627	147	38	35	524	255	0	0	35	220	0
Precinct 7628 - Vote By Mail	169	22	116	718	331	0	0	24	307	0
Precinct 7628 - Election Day	62	6	39	220	111	0	0	3	108	1
Precinct 7628	231	28	155	938	442	0	0	27	415	1
Precinct 7629 - Vote By Mail	144	15	88	691	276	0	1	28	247	0
Precinct 7629 - Election Day	54	3	26	162	87	0	0	4	83	0
Precinct 7629	198	18	114	853	363	0	1	32	330	0
Precinct 7631 - Vote By Mail	272	20	112	1,009	440	0	0	36	404	0
Precinct 7631 - Election Day	65	9	30	210	111	0	0	6	105	1
Precinct 7631	337	29	142	1,219	551	0	0	42	509	1
Precinct 7632 - Vote By Mail	231	18	129	1,002	413	0	2	33	378	0
Precinct 7632 - Election Day	63	5	54	169	130	0	0	8	122	0
Precinct 7632	294	23	183	1,171	543	0	2	41	500	0
Precinct 7633 - Vote By Mail	184	27	51	609	278	0	2	14	262	0
Precinct 7633 - Election Day	60	2	27	126	97	0	0	8	89	0
Precinct 7633	244	29	78	735	375	0	2	22	351	0
Precinct 7634 - Vote By Mail	189	37	77	704	344	0	2	39	303	0
Precinct 7634 - Election Day	52	15	22	186	105	0	0	15	90	1
Precinct 7634	241	52	99	890	449	0	2	54	393	1
Precinct 7635 - Vote By Mail	174	11	64	665	273	0	1	23	249	0
Precinct 7635 - Election Day	33	6	19	188	62	0	0	4	58	0
Precinct 7635	207	17	83	853	335	0	1	27	307	0
Precinct 7636 - Vote By Mail	188	20	89	798	330	0	1	32	297	0
Precinct 7636 - Election Day	68	9	23	161	107	0	0	7	100	0
Precinct 7636	256	29	112	959	437	0	1	39	397	0
Precinct 7637 - Vote By Mail	213	37	59	747	344	0	0	35	309	0
Precinct 7637 - Election Day	50	13	22	121	99	0	0	14	85	0
Precinct 7637	263	50	81	868	443	0	0	49	394	0
Precinct 7638 - Vote By Mail	212	51	59	806	372	0	0	50	322	0
Precinct 7638 - Election Day	46	18	14	83	89	0	0	9	80	2
Precinct 7638	258	69	73	889	461	0	0	59	402	2
Precinct 7639 - Vote By Mail	243	32	75	889	396	0	0	46	350	0
Precinct 7639 - Election Day	74	10	29	133	134	0	0	21	113	0
Precinct 7639	317	42	104	1,022	530	0	0	67	463	0
Precinct 7641 - Vote By Mail	230	64	73	817	399	0	0	32	367	0
Precinct 7641 - Election Day	57	11	17	134	93	0	0	7	86	1
Precinct 7641	287	75	90	951	492	0	0	39	453	1
Precinct 7642 - Vote By Mail	153	35	77	647	311	0	0	46	265	0
Precinct 7642 - Election Day	40	5	18	118	82	0	0	19	63	0
Precinct 7642	193	40	95	765	393	0	0	65	328	0
Precinct 7643 - Vote By Mail	263	39	81	810	433	0	0	50	383	0
Precinct 7643 - Election Day	64	6	22	131	106	0	0	11	95	3
Precinct 7643	327	45	103	941	539	0	0	61	478	3
Precinct 7644 - Vote By Mail	244	30	87	1,014	403	0	0	42	361	0
Precinct 7644 - Election Day	77	6	46	162	142	0	0	13	129	0
Precinct 7644	321	36	133	1,176	545	0	0	55	490	0
Precinct 7645 - Vote By Mail	173	49	32	595	286	0	0	32	254	0
Precinct 7645 - Election Day	33	4	10	61	56	0	0	9	47	0
Precinct 7645	206	53	42	656	342	0	0	41	301	0
Precinct 7646 - Vote By Mail	274	41	108	1,032	484	0	0	61	423	0
Precinct 7646 - Election Day	74	7	40	121	134	0	0	12	122	1
Precinct 7646	348	48	148	1,153	618	0	0	73	545	1
Precinct 7647 - Vote By Mail	104	15	75	724	210	0	1	15	194	0
Precinct 7647 - Election Day	33	8	33	263	79	0	0	4	75	1
Precinct 7647	137	23	108	987	289	0	1	19	269	1
Precinct 7648 MB - Vote By Mail	0	0	1	2	1	0	0	0	1	0
Precinct 7648 MB	0	0	1	2	1	0	0	0	1	0
Precinct 7649 - Vote By Mail	159	37	69	723	286	0	0	21	265	0
Precinct 7649 - Election Day	44	10	22	177	81	0	0	5	76	0
Precinct 7649	203	47	91	900	367	0	0	26	341	0
Precinct 7651 - Vote By Mail	193	27	74	834	332	0	0	38	294	0
Precinct 7651 - Election Day	43	5	16	113	73	0	0	9	64	0
Precinct 7651	236	32	90	947	405	0	0	47	358	0
Precinct 7652 - Vote By Mail	121	24	39	535	207	0	0	23	184	0
Precinct 7652 - Election Day	47	6	23	100	87	0	0	11	76	0
Precinct 7652	168	30	62	635	294	0	0	34	260	0
Precinct 7653 - Vote By Mail	211	23	70	750	334	0	0	30	304	0
Precinct 7653 - Election Day	47	6	15	89	80	0	0	12	68	0
Precinct 7653	258	29	85	839	414	0	0	42	372	0
Precinct 7654 - Vote By Mail	118	14	46	413	191	0	0	13	178	0
Precinct 7654 - Election Day	45	1	23	53	84	0	0	14	70	1
Precinct 7654	163	15	69	466	275	0	0	27	248	1
Precinct 7655 - Vote By Mail	113	23	53	583	215	0	0	26	189	0
Precinct 7655 - Election Day	36	5	15	96	60	0	0	4	56	0
Precinct 7655	149	28	68	679	275	0	0	30	245	0
Precinct 7656 - Vote By Mail	191	39	35	603	308	0	0	43	265	0
Precinct 7656 - Election Day	24	7	3	35	40	0	0	5	35	1
Precinct 7656	215	46	38	638	348	0	0	48	300	1
Precinct 7657 - Vote By Mail	163	24	53	561	269	0	0	29	240	0
Precinct 7657 - Election Day	35	6	11	37	61	0	0	9	52	0
Precinct 7657	198	30	64	598	330	0	0	38	292	0
Precinct 7701 - Vote By Mail	259	36	142	868	481	0	0	44	437	0
Precinct 7701 - Election Day	87	16	60	196	174	0	0	11	163	0
Precinct 7701	346	52	202	1,064	655	0	0	55	600	0
Precinct 7702 - Vote By Mail	226	50	70	623	375	0	0	29	346	0
Precinct 7702 - Election Day	60	14	22	133	104	0	0	7	97	1
Precinct 7702	286	64	92	756	479	0	0	36	443	1
Precinct 7703 MB - Vote By Mail	41	5	16	187	71	0	0	9	62	0
Precinct 7703 MB - Election Day	0	0	0	-13	0	0	0	0	0	0
Precinct 7703 MB	41	5	16	174	71	0	0	9	62	0
Precinct 7704 - Vote By Mail	273	63	97	798	489	0	0	56	433	0
Precinct 7704 - Election Day	84	19	51	204	173	0	0	19	154	0
Precinct 7704	357	82	148	1,002	662	0	0	75	587	0
Precinct 7705 - Vote By Mail	173	40	50	470	285	0	1	21	263	0
Precinct 7705 - Election Day	61	12	28	125	110	0	0	9	101	0
Precinct 7705	234	52	78	595	395	0	1	30	364	0
Precinct 7706 - Vote By Mail	222	58	106	687	447	0	0	61	386	0
Precinct 7706 - Election Day	73	23	46	179	162	0	0	14	148	6
Precinct 7706	295	81	152	866	609	0	0	75	534	6
Precinct 7707 - Vote By Mail	255	32	97	683	432	0	0	48	384	0
Precinct 7707 - Election Day	94	23	51	189	179	0	0	11	168	0
Precinct 7707	349	55	148	872	611	0	0	59	552	0
Precinct 7708 - Vote By Mail	254	59	103	710	461	0	0	45	416	0
Precinct 7708 - Election Day	78	13	49	165	154	0	0	14	140	0
Precinct 7708	332	72	152	875	615	0	0	59	556	0
Precinct 7709 - Vote By Mail	96	19	69	324	193	0	0	9	184	0
Precinct 7709 - Election Day	39	6	39	82	90	0	0	6	84	0
Precinct 7709	135	25	108	406	283	0	0	15	268	0
Precinct 7711 - Vote By Mail	227	36	84	658	379	0	1	31	347	0
Precinct 7711 - Election Day	56	7	56	153	125	0	0	6	119	0
Precinct 7711	283	43	140	811	504	0	1	37	466	0
Precinct 7712 - Vote By Mail	125	28	80	425	258	0	0	25	233	0
Precinct 7712 - Election Day	54	5	41	107	106	0	0	6	100	0
Precinct 7712	179	33	121	532	364	0	0	31	333	0
Precinct 7801 - Vote By Mail	304	26	118	823	478	0	0	30	448	0
Precinct 7801 - Election Day	112	11	63	151	190	0	0	4	186	0
Precinct 7801	416	37	181	974	668	0	0	34	634	0
Precinct 7802 - Vote By Mail	245	22	107	646	401	0	1	26	374	0
Precinct 7802 - Election Day	95	4	53	152	158	0	0	6	152	0
Precinct 7802	340	26	160	798	559	0	1	32	526	0
Precinct 7803 - Vote By Mail	325	20	101	718	476	0	0	30	446	0
Precinct 7803 - Election Day	72	6	38	113	128	0	0	12	116	0
Precinct 7803	397	26	139	831	604	0	0	42	562	0
Precinct 7804 - Vote By Mail	302	17	109	734	463	0	0	35	428	0
Precinct 7804 - Election Day	115	5	43	151	181	0	0	18	163	0
Precinct 7804	417	22	152	885	644	0	0	53	591	0
Precinct 7805 - Vote By Mail	241	11	121	644	399	0	0	26	373	0
Precinct 7805 - Election Day	83	4	56	156	156	0	0	13	143	0
Precinct 7805	324	15	177	800	555	0	0	39	516	0
Precinct 7806 - Vote By Mail	211	12	121	602	361	0	0	17	344	0
Precinct 7806 - Election Day	94	3	46	153	152	0	0	8	144	1
Precinct 7806	305	15	167	755	513	0	0	25	488	1
Precinct 7807 - Vote By Mail	221	10	100	642	361	0	0	30	331	0
Precinct 7807 - Election Day	87	4	71	185	174	0	0	12	162	0
Precinct 7807	308	14	171	827	535	0	0	42	493	0
Precinct 7808 - Vote By Mail	160	10	103	525	296	0	0	23	273	0
Precinct 7808 - Election Day	66	4	46	129	129	0	0	13	116	0
Precinct 7808	226	14	149	654	425	0	0	36	389	0
Precinct 7809 - Vote By Mail	197	12	114	624	351	0	0	28	323	0
Precinct 7809 - Election Day	74	5	49	140	136	0	0	8	128	0
Precinct 7809	271	17	163	764	487	0	0	36	451	0
Precinct 7811 - Vote By Mail	156	7	128	582	311	0	0	20	291	0
Precinct 7811 - Election Day	83	6	60	176	155	0	0	5	150	1
Precinct 7811	239	13	188	758	466	0	0	25	441	1
Precinct 7812 - Vote By Mail	218	13	104	680	369	0	1	33	335	0
Precinct 7812 - Election Day	72	12	68	217	163	0	0	11	152	0
Precinct 7812	290	25	172	897	532	0	1	44	487	0
Precinct 7813 - Vote By Mail	273	15	171	843	483	0	0	24	459	0
Precinct 7813 - Election Day	92	2	107	225	215	0	0	14	201	0
Precinct 7813	365	17	278	1,068	698	0	0	38	660	0
