Subtotal Area	DOROTHY CHOU PROUDFOOT	MICHELLE TONG	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7041 MB - Vote By Mail	12	11	70	29	0	0	6	23	0
Precinct 7041 MB - Election Day	0	0	-4	0	0	0	0	0	0
Precinct 7041 MB	12	11	66	29	0	0	6	23	0
Precinct 7042 - Vote By Mail	69	114	514	222	0	0	39	183	0
Precinct 7042 - Election Day	16	37	146	62	0	0	9	53	0
Precinct 7042	85	151	660	284	0	0	48	236	0
Precinct 7043 - Vote By Mail	112	138	754	295	0	0	45	250	0
Precinct 7043 - Election Day	20	45	224	79	0	0	14	65	0
Precinct 7043	132	183	978	374	0	0	59	315	0
Precinct 7044 - Vote By Mail	59	75	586	149	0	1	14	134	0
Precinct 7044 - Election Day	7	18	266	36	0	0	10	26	1
Precinct 7044	66	93	852	185	0	1	24	160	1
Precinct 7045 - Vote By Mail	95	124	632	267	0	0	48	219	0
Precinct 7045 - Election Day	15	23	154	53	0	0	15	38	0
Precinct 7045	110	147	786	320	0	0	63	257	0
Precinct 7046 - Vote By Mail	55	55	334	132	0	0	22	110	0
Precinct 7046 - Election Day	12	27	96	48	0	0	8	40	1
Precinct 7046	67	82	430	180	0	0	30	150	1
Precinct 7047 - Vote By Mail	109	150	733	315	0	1	55	259	0
Precinct 7047 - Election Day	18	26	150	62	0	0	17	45	1
Precinct 7047	127	176	883	377	0	1	72	304	1
Precinct 7048 - Vote By Mail	90	129	685	267	0	0	48	219	0
Precinct 7048 - Election Day	14	29	196	59	0	0	16	43	0
Precinct 7048	104	158	881	326	0	0	64	262	0
Precinct 7049 - Vote By Mail	85	118	616	247	0	0	44	203	0
Precinct 7049 - Election Day	23	31	210	71	0	0	16	55	1
Precinct 7049	108	149	826	318	0	0	60	258	1
Precinct 7051 - Vote By Mail	105	130	715	306	0	1	70	235	0
Precinct 7051 - Election Day	16	39	165	70	0	0	14	56	1
Precinct 7051	121	169	880	376	0	1	84	291	1
Precinct 7052 - Vote By Mail	101	149	722	296	0	0	46	250	0
Precinct 7052 - Election Day	28	43	184	88	0	0	17	71	0
Precinct 7052	129	192	906	384	0	0	63	321	0
Precinct 7053 - Vote By Mail	90	91	542	227	0	0	46	181	0
Precinct 7053 - Election Day	15	17	43	42	0	0	10	32	0
Precinct 7053	105	108	585	269	0	0	56	213	0
Precinct 7054 - Vote By Mail	88	155	863	310	0	0	67	243	0
Precinct 7054 - Election Day	32	49	273	109	0	0	27	82	1
Precinct 7054	120	204	1,136	419	0	0	94	325	1
Precinct 7055 - Vote By Mail	97	145	732	292	0	0	50	242	0
Precinct 7055 - Election Day	15	41	94	78	0	0	21	57	1
Precinct 7055	112	186	826	370	0	0	71	299	1
Precinct 7056 - Vote By Mail	118	104	618	275	0	0	53	222	0
Precinct 7056 - Election Day	35	66	87	122	0	0	20	102	1
Precinct 7056	153	170	705	397	0	0	73	324	1
Precinct 7101 MB - Vote By Mail	37	42	162	99	0	0	20	79	0
Precinct 7101 MB - Election Day	1	3	-15	4	0	0	0	4	0
Precinct 7101 MB	38	45	147	103	0	0	20	83	0
Precinct 7201 - Vote By Mail	168	145	788	383	0	0	70	313	0
Precinct 7201 - Election Day	59	62	147	170	0	0	48	122	1
Precinct 7201	227	207	935	553	0	0	118	435	1
Precinct 7202 - Vote By Mail	122	115	708	308	0	0	71	237	0
Precinct 7202 - Election Day	50	67	143	158	0	0	41	117	0
Precinct 7202	172	182	851	466	0	0	112	354	0
Precinct 7203 - Vote By Mail	109	116	693	321	0	0	96	225	0
Precinct 7203 - Election Day	58	73	186	187	0	0	56	131	0
Precinct 7203	167	189	879	508	0	0	152	356	0
Precinct 7204 - Vote By Mail	176	154	773	422	0	0	92	330	0
Precinct 7204 - Election Day	49	62	126	157	0	0	46	111	0
Precinct 7204	225	216	899	579	0	0	138	441	0
Precinct 7205 - Vote By Mail	156	123	724	360	0	0	81	279	0
Precinct 7205 - Election Day	56	83	147	177	0	0	37	140	1
Precinct 7205	212	206	871	537	0	0	118	419	1
Precinct 7206 - Vote By Mail	53	46	299	129	0	0	30	99	0
Precinct 7206 - Election Day	40	37	78	106	0	0	29	77	0
Precinct 7206	93	83	377	235	0	0	59	176	0
Precinct 7207 - Vote By Mail	133	132	744	333	0	0	68	265	0
Precinct 7207 - Election Day	35	73	123	154	0	0	46	108	0
Precinct 7207	168	205	867	487	0	0	114	373	0
Precinct 7208 - Vote By Mail	97	104	492	253	0	0	52	201	0
Precinct 7208 - Election Day	26	44	78	97	0	0	26	71	1
Precinct 7208	123	148	570	350	0	0	78	272	1
Precinct 7209 - Vote By Mail	142	117	595	341	0	0	82	259	0
Precinct 7209 - Election Day	19	37	52	75	0	0	19	56	0
Precinct 7209	161	154	647	416	0	0	101	315	0
Precinct 7301 - Vote By Mail	124	140	813	319	0	1	54	264	0
Precinct 7301 - Election Day	54	56	201	143	0	0	33	110	0
Precinct 7301	178	196	1,014	462	0	1	87	374	0
Precinct 7302 - Vote By Mail	160	116	713	352	0	1	75	276	0
Precinct 7302 - Election Day	56	49	136	140	0	0	34	106	1
Precinct 7302	216	165	849	492	0	1	109	382	1
Precinct 7303 - Vote By Mail	136	153	869	376	0	0	87	289	0
Precinct 7303 - Election Day	62	60	199	172	0	0	48	124	2
Precinct 7303	198	213	1,068	548	0	0	135	413	2
Precinct 7304 - Vote By Mail	168	119	802	366	0	0	79	287	0
Precinct 7304 - Election Day	65	74	199	185	0	0	46	139	0
Precinct 7304	233	193	1,001	551	0	0	125	426	0
Precinct 7305 - Vote By Mail	173	119	713	386	0	0	94	292	0
Precinct 7305 - Election Day	66	49	154	155	0	0	40	115	0
Precinct 7305	239	168	867	541	0	0	134	407	0
Precinct 7306 - Vote By Mail	157	130	801	374	0	0	87	287	0
Precinct 7306 - Election Day	60	81	243	194	0	0	51	143	2
Precinct 7306	217	211	1,044	568	0	0	138	430	2
Precinct 7307 - Vote By Mail	121	103	605	272	0	0	48	224	0
Precinct 7307 - Election Day	43	47	169	130	0	0	39	91	1
Precinct 7307	164	150	774	402	0	0	87	315	1
Precinct 7308 - Vote By Mail	102	99	520	257	0	1	55	201	0
Precinct 7308 - Election Day	58	61	105	158	0	0	39	119	0
Precinct 7308	160	160	625	415	0	1	94	320	0
Precinct 7309 - Vote By Mail	133	114	691	324	0	0	77	247	0
Precinct 7309 - Election Day	60	69	167	191	0	0	60	131	2
Precinct 7309	193	183	858	515	0	0	137	378	2
Precinct 7311 - Vote By Mail	141	122	698	333	0	0	70	263	0
Precinct 7311 - Election Day	65	93	208	218	0	0	59	159	1
Precinct 7311	206	215	906	551	0	0	129	422	1
Precinct 7312 - Vote By Mail	194	112	700	395	0	0	89	306	0
Precinct 7312 - Election Day	69	53	110	162	0	1	38	123	1
Precinct 7312	263	165	810	557	0	1	127	429	1
Precinct 7313 - Vote By Mail	154	143	819	373	0	1	75	297	0
Precinct 7313 - Election Day	39	72	184	163	0	1	49	113	2
Precinct 7313	193	215	1,003	536	0	2	124	410	2
Precinct 7314 - Vote By Mail	104	88	612	226	0	0	34	192	0
Precinct 7314 - Election Day	40	25	147	85	0	0	19	66	1
Precinct 7314	144	113	759	311	0	0	53	258	1
Precinct 7315 - Vote By Mail	83	92	570	206	0	0	31	175	0
Precinct 7315 - Election Day	34	72	195	135	0	0	29	106	0
Precinct 7315	117	164	765	341	0	0	60	281	0
Precinct 7316 - Vote By Mail	89	118	654	261	0	0	54	207	0
Precinct 7316 - Election Day	27	68	178	131	0	0	36	95	0
Precinct 7316	116	186	832	392	0	0	90	302	0
Precinct 7317 - Vote By Mail	155	127	744	350	0	0	68	282	0
Precinct 7317 - Election Day	44	39	146	114	0	0	30	84	1
Precinct 7317	199	166	890	464	0	0	98	366	1
Precinct 7318 - Vote By Mail	129	103	605	293	0	0	61	232	0
Precinct 7318 - Election Day	35	39	118	108	0	0	34	74	0
Precinct 7318	164	142	723	401	0	0	95	306	0
Precinct 7319 - Vote By Mail	124	142	861	345	0	0	79	266	0
Precinct 7319 - Election Day	61	72	188	185	0	0	51	134	1
Precinct 7319	185	214	1,049	530	0	0	130	400	1
Precinct 7321 - Vote By Mail	78	86	557	202	0	4	34	164	0
Precinct 7321 - Election Day	22	36	102	85	0	0	27	58	0
Precinct 7321	100	122	659	287	0	4	61	222	0
Precinct 7322 - Vote By Mail	114	118	742	294	0	2	60	232	0
Precinct 7322 - Election Day	11	29	146	50	0	1	9	40	0
Precinct 7322	125	147	888	344	0	3	69	272	0
Precinct 7323 - Vote By Mail	168	122	790	368	0	0	78	290	0
Precinct 7323 - Election Day	50	69	166	160	0	0	41	119	0
Precinct 7323	218	191	956	528	0	0	119	409	0
Precinct 7324 - Vote By Mail	98	108	587	260	0	0	54	206	0
Precinct 7324 - Election Day	22	34	150	89	0	1	31	57	1
Precinct 7324	120	142	737	349	0	1	85	263	1
Precinct 7325 - Vote By Mail	112	137	714	327	0	0	78	249	0
Precinct 7325 - Election Day	35	60	172	124	0	0	28	96	1
Precinct 7325	147	197	886	451	0	0	106	345	1
Precinct 7326 - Vote By Mail	125	121	685	304	0	2	56	246	0
Precinct 7326 - Election Day	51	61	174	159	0	0	46	113	1
Precinct 7326	176	182	859	463	0	2	102	359	1
Precinct 7327 - Vote By Mail	103	90	561	230	0	2	35	193	0
Precinct 7327 - Election Day	15	23	126	49	0	0	11	38	0
Precinct 7327	118	113	687	279	0	2	46	231	0
Precinct 7328 - Vote By Mail	144	124	829	333	0	0	65	268	0
Precinct 7328 - Election Day	15	33	173	67	0	0	18	49	1
Precinct 7328	159	157	1,002	400	0	0	83	317	1
Precinct 7329 - Vote By Mail	111	65	556	227	0	0	51	176	0
Precinct 7329 - Election Day	31	21	95	78	0	0	24	54	2
Precinct 7329	142	86	651	305	0	0	75	230	2
Precinct 7331 - Vote By Mail	174	109	710	361	0	3	75	283	0
Precinct 7331 - Election Day	67	42	160	162	0	0	52	110	1
Precinct 7331	241	151	870	523	0	3	127	393	1
Precinct 7332 - Vote By Mail	94	115	654	264	0	2	53	209	0
Precinct 7332 - Election Day	41	80	136	149	0	1	27	121	0
Precinct 7332	135	195	790	413	0	3	80	330	0
Precinct 7333 - Vote By Mail	153	166	822	390	0	1	70	319	0
Precinct 7333 - Election Day	86	74	193	224	0	0	63	161	1
Precinct 7333	239	240	1,015	614	0	1	133	480	1
Precinct 7334 - Vote By Mail	119	133	688	307	0	0	55	252	0
Precinct 7334 - Election Day	40	56	131	135	0	0	38	97	1
Precinct 7334	159	189	819	442	0	0	93	349	1
Precinct 7335 - Vote By Mail	164	135	788	389	0	0	90	299	0
Precinct 7335 - Election Day	66	71	146	191	0	0	53	138	1
Precinct 7335	230	206	934	580	0	0	143	437	1
Precinct 7336 - Vote By Mail	164	143	779	405	0	0	98	307	0
Precinct 7336 - Election Day	48	75	175	178	0	0	55	123	0
Precinct 7336	212	218	954	583	0	0	153	430	0
Precinct 7337 - Vote By Mail	163	141	772	386	0	0	82	304	0
Precinct 7337 - Election Day	52	40	125	112	0	0	20	92	0
Precinct 7337	215	181	897	498	0	0	102	396	0
Precinct 7338 - Vote By Mail	156	119	770	360	0	1	84	275	0
Precinct 7338 - Election Day	27	46	125	91	0	0	18	73	0
Precinct 7338	183	165	895	451	0	1	102	348	0
Precinct 7339 - Vote By Mail	106	115	605	270	0	0	49	221	0
Precinct 7339 - Election Day	54	47	150	122	0	0	21	101	0
Precinct 7339	160	162	755	392	0	0	70	322	0
Precinct 7341 - Vote By Mail	87	141	675	291	0	0	63	228	0
Precinct 7341 - Election Day	54	70	178	160	0	0	34	126	2
Precinct 7341	141	211	853	451	0	0	97	354	2
Precinct 7342 - Vote By Mail	121	147	674	324	0	0	56	268	0
Precinct 7342 - Election Day	84	102	230	245	0	0	57	188	2
Precinct 7342	205	249	904	569	0	0	113	456	2
Precinct 7343 - Vote By Mail	86	117	554	252	0	0	49	203	0
Precinct 7343 - Election Day	40	75	150	150	0	0	34	116	1
Precinct 7343	126	192	704	402	0	0	83	319	1
Precinct 7344 - Vote By Mail	141	158	863	392	0	0	93	299	0
Precinct 7344 - Election Day	60	100	201	211	0	0	50	161	1
Precinct 7344	201	258	1,064	603	0	0	143	460	1
Precinct 7345 - Vote By Mail	156	191	904	434	0	1	86	347	0
Precinct 7345 - Election Day	64	96	210	217	0	0	53	164	4
Precinct 7345	220	287	1,114	651	0	1	139	511	4
Precinct 7346 - Vote By Mail	105	116	681	288	0	0	67	221	0
Precinct 7346 - Election Day	50	84	208	174	0	0	40	134	0
Precinct 7346	155	200	889	462	0	0	107	355	0
Precinct 7347 - Vote By Mail	118	182	833	371	0	0	71	300	0
Precinct 7347 - Election Day	31	63	170	123	0	0	29	94	0
Precinct 7347	149	245	1,003	494	0	0	100	394	0
Precinct 7348 - Vote By Mail	95	128	650	279	0	0	56	223	0
Precinct 7348 - Election Day	38	56	193	116	0	0	19	97	3
Precinct 7348	133	184	843	395	0	0	75	320	3
Precinct 7349 - Vote By Mail	117	133	710	316	0	2	64	250	0
Precinct 7349 - Election Day	43	59	202	145	0	0	43	102	0
Precinct 7349	160	192	912	461	0	2	107	352	0
Precinct 7501 - Vote By Mail	104	81	456	248	0	0	63	185	0
Precinct 7501 - Election Day	43	51	95	116	0	0	22	94	0
Precinct 7501	147	132	551	364	0	0	85	279	0
Precinct 7502 - Vote By Mail	137	122	668	315	0	0	56	259	0
Precinct 7502 - Election Day	37	59	121	143	0	0	47	96	0
Precinct 7502	174	181	789	458	0	0	103	355	0
Precinct 7503 - Vote By Mail	129	109	614	286	0	0	48	238	0
Precinct 7503 - Election Day	44	51	148	138	0	0	42	96	1
Precinct 7503	173	160	762	424	0	0	90	334	1
Precinct 7504 - Vote By Mail	72	78	404	175	0	0	25	150	0
Precinct 7504 - Election Day	29	30	84	84	0	0	24	60	1
Precinct 7504	101	108	488	259	0	0	49	210	1
Precinct 7505 - Vote By Mail	182	140	729	405	0	1	82	322	0
Precinct 7505 - Election Day	46	51	133	130	0	1	32	97	0
Precinct 7505	228	191	862	535	0	2	114	419	0
Precinct 7506 - Vote By Mail	125	159	842	364	0	0	80	284	0
Precinct 7506 - Election Day	44	82	158	162	0	1	33	128	2
Precinct 7506	169	241	1,000	526	0	1	113	412	2
Precinct 7507 - Vote By Mail	85	152	694	289	0	0	52	237	0
Precinct 7507 - Election Day	38	70	262	133	0	1	23	109	1
Precinct 7507	123	222	956	422	0	1	75	346	1
Precinct 7508 - Vote By Mail	137	163	618	373	0	0	73	300	0
Precinct 7508 - Election Day	37	49	126	118	0	0	30	88	2
Precinct 7508	174	212	744	491	0	0	103	388	2
Precinct 7509/7511 - Vote By Mail	140	175	756	399	0	1	83	315	0
Precinct 7509/7511 - Election Day	63	69	173	169	0	0	36	133	1
Precinct 7509/7511	203	244	929	568	0	1	119	448	1
Precinct 7512 - Vote By Mail	97	95	475	248	0	0	56	192	0
Precinct 7512 - Election Day	27	39	125	89	0	0	22	67	1
Precinct 7512	124	134	600	337	0	0	78	259	1
Precinct 7513 - Vote By Mail	73	117	575	248	0	1	57	190	0
Precinct 7513 - Election Day	34	71	231	143	0	0	37	106	1
Precinct 7513	107	188	806	391	0	1	94	296	1
Precinct 7514 - Vote By Mail	76	121	709	242	0	0	45	197	0
Precinct 7514 - Election Day	14	38	207	76	0	0	24	52	0
Precinct 7514	90	159	916	318	0	0	69	249	0
Precinct 7515 - Vote By Mail	99	159	663	322	0	0	64	258	0
Precinct 7515 - Election Day	31	50	201	114	0	0	32	82	1
Precinct 7515	130	209	864	436	0	0	96	340	1
Precinct 7516 - Vote By Mail	169	180	773	423	0	0	74	349	0
Precinct 7516 - Election Day	52	49	147	131	0	0	29	102	1
Precinct 7516	221	229	920	554	0	0	103	451	1
Precinct 7517 - Vote By Mail	94	184	645	362	0	1	83	278	0
Precinct 7517 - Election Day	72	109	223	234	0	0	53	181	0
Precinct 7517	166	293	868	596	0	1	136	459	0
Precinct 7518 - Vote By Mail	125	176	708	392	0	0	91	301	0
Precinct 7518 - Election Day	77	116	218	247	0	0	51	196	3
Precinct 7518	202	292	926	639	0	0	142	497	3
Precinct 7519 - Vote By Mail	83	124	543	260	0	0	53	207	0
Precinct 7519 - Election Day	53	83	172	172	0	0	36	136	0
Precinct 7519	136	207	715	432	0	0	89	343	0
Precinct 7521 - Vote By Mail	107	149	597	319	0	0	63	256	0
Precinct 7521 - Election Day	60	95	182	205	0	0	50	155	0
Precinct 7521	167	244	779	524	0	0	113	411	0
Precinct 7522 - Vote By Mail	101	145	588	301	0	0	55	246	0
Precinct 7522 - Election Day	49	105	171	192	0	0	36	156	2
Precinct 7522	150	250	759	493	0	0	91	402	2
Precinct 7523 - Vote By Mail	81	144	564	285	0	0	60	225	0
Precinct 7523 - Election Day	57	120	180	221	0	0	43	178	1
Precinct 7523	138	264	744	506	0	0	103	403	1
Precinct 7524 - Vote By Mail	68	120	480	228	0	0	40	188	0
Precinct 7524 - Election Day	50	52	144	130	0	0	28	102	0
Precinct 7524	118	172	624	358	0	0	68	290	0
Precinct 7525 - Vote By Mail	78	106	594	246	0	0	62	184	0
Precinct 7525 - Election Day	33	64	170	130	0	0	32	98	1
Precinct 7525	111	170	764	376	0	0	94	282	1
Precinct 7526 - Vote By Mail	120	180	826	395	0	0	95	300	0
Precinct 7526 - Election Day	63	102	162	219	0	0	54	165	0
Precinct 7526	183	282	988	614	0	0	149	465	0
Precinct 7527/7528 - Vote By Mail	79	151	538	296	0	2	64	230	0
Precinct 7527/7528 - Election Day	35	67	172	126	0	0	23	103	1
Precinct 7527/7528	114	218	710	422	0	2	87	333	1
Precinct 7529 - Vote By Mail	116	174	749	366	0	0	76	290	0
Precinct 7529 - Election Day	51	130	154	231	0	1	49	181	0
Precinct 7529	167	304	903	597	0	1	125	471	0
Precinct 7531 - Vote By Mail	88	192	714	336	0	0	56	280	0
Precinct 7531 - Election Day	46	95	159	179	0	0	38	141	0
Precinct 7531	134	287	873	515	0	0	94	421	0
Precinct 7532 - Vote By Mail	119	151	668	329	0	0	59	270	0
Precinct 7532 - Election Day	45	88	167	185	0	0	52	133	0
Precinct 7532	164	239	835	514	0	0	111	403	0
Precinct 7533 - Vote By Mail	115	201	776	405	0	1	88	316	0
Precinct 7533 - Election Day	56	148	194	252	0	0	48	204	0
Precinct 7533	171	349	970	657	0	1	136	520	0
Precinct 7534 - Vote By Mail	123	178	670	376	0	2	73	301	0
Precinct 7534 - Election Day	50	134	233	231	0	0	46	185	1
Precinct 7534	173	312	903	607	0	2	119	486	1
Precinct 7535 - Vote By Mail	92	148	606	300	0	1	59	240	0
Precinct 7535 - Election Day	42	99	139	199	0	0	58	141	0
Precinct 7535	134	247	745	499	0	1	117	381	0
Precinct 7536 - Vote By Mail	111	167	670	346	0	0	68	278	0
Precinct 7536 - Election Day	53	105	163	216	0	0	57	159	1
Precinct 7536	164	272	833	562	0	0	125	437	1
Precinct 7537 - Vote By Mail	89	151	619	301	0	0	61	240	0
Precinct 7537 - Election Day	59	91	126	197	0	0	45	152	2
Precinct 7537	148	242	745	498	0	0	106	392	2
Precinct 7538 - Vote By Mail	111	148	562	322	0	0	63	259	0
Precinct 7538 - Election Day	47	103	189	212	0	0	61	151	1
Precinct 7538	158	251	751	534	0	0	124	410	1
Precinct 7539 - Vote By Mail	126	177	696	374	0	0	71	303	0
Precinct 7539 - Election Day	44	128	225	215	0	0	42	173	1
Precinct 7539	170	305	921	589	0	0	113	476	1
Precinct 7541 - Vote By Mail	96	145	600	295	0	0	54	241	0
Precinct 7541 - Election Day	46	116	170	214	0	0	51	163	1
Precinct 7541	142	261	770	509	0	0	105	404	1
Precinct 7542 - Vote By Mail	96	165	632	324	0	0	63	261	0
Precinct 7542 - Election Day	53	112	192	200	0	0	32	168	3
Precinct 7542	149	277	824	524	0	0	95	429	3
Precinct 7543 - Vote By Mail	120	184	694	371	0	0	67	304	0
Precinct 7543 - Election Day	42	95	230	173	0	0	35	138	1
Precinct 7543	162	279	924	544	0	0	102	442	1
Precinct 7544 - Vote By Mail	139	170	731	389	0	1	79	309	0
Precinct 7544 - Election Day	53	102	168	207	0	0	52	155	0
Precinct 7544	192	272	899	596	0	1	131	464	0
Precinct 7545 - Vote By Mail	125	183	723	385	0	2	75	308	0
Precinct 7545 - Election Day	41	105	172	192	0	0	45	147	1
Precinct 7545	166	288	895	577	0	2	120	455	1
Precinct 7546 - Vote By Mail	125	207	770	418	0	0	86	332	0
Precinct 7546 - Election Day	75	114	183	255	0	0	66	189	0
Precinct 7546	200	321	953	673	0	0	152	521	0
Precinct 7547 - Vote By Mail	126	227	798	427	0	0	74	353	0
Precinct 7547 - Election Day	53	126	183	227	0	0	48	179	0
Precinct 7547	179	353	981	654	0	0	122	532	0
Precinct 7548 - Vote By Mail	162	200	802	450	0	1	87	362	0
Precinct 7548 - Election Day	75	122	249	259	0	0	61	198	1
Precinct 7548	237	322	1,051	709	0	1	148	560	1
Precinct 7549 - Vote By Mail	115	176	660	358	0	0	67	291	0
Precinct 7549 - Election Day	47	80	146	170	0	0	42	128	1
Precinct 7549	162	256	806	528	0	0	109	419	1
Precinct 7551 - Vote By Mail	110	142	587	304	0	0	52	252	0
Precinct 7551 - Election Day	57	87	136	178	0	0	34	144	0
Precinct 7551	167	229	723	482	0	0	86	396	0
Precinct 7552 - Vote By Mail	101	126	561	285	0	0	58	227	0
Precinct 7552 - Election Day	51	77	124	168	0	0	39	129	1
Precinct 7552	152	203	685	453	0	0	97	356	1
Precinct 7553 MB - Vote By Mail	34	40	211	95	0	0	21	74	0
Precinct 7553 MB - Election Day	3	1	-20	7	0	0	3	4	0
Precinct 7553 MB	37	41	191	102	0	0	24	78	0
Precinct 7554 - Vote By Mail	136	171	653	381	0	0	74	307	0
Precinct 7554 - Election Day	73	85	168	216	0	0	58	158	0
Precinct 7554	209	256	821	597	0	0	132	465	0
Precinct 7555 - Vote By Mail	129	183	662	416	0	0	104	312	0
Precinct 7555 - Election Day	95	98	210	244	0	0	51	193	0
Precinct 7555	224	281	872	660	0	0	155	505	0
Precinct 7556/7557 - Vote By Mail	224	190	812	513	0	0	99	414	0
Precinct 7556/7557 - Election Day	85	67	154	214	0	0	59	155	3
Precinct 7556/7557	309	257	966	727	0	0	158	569	3
Precinct 7601 - Vote By Mail	61	111	485	207	0	2	33	172	0
Precinct 7601 - Election Day	29	60	192	112	0	1	21	90	1
Precinct 7601	90	171	677	319	0	3	54	262	1
Precinct 7602 - Vote By Mail	91	140	654	276	0	0	45	231	0
Precinct 7602 - Election Day	35	68	232	128	0	0	25	103	0
Precinct 7602	126	208	886	404	0	0	70	334	0
Precinct 7603 - Vote By Mail	90	159	615	295	0	1	45	249	0
Precinct 7603 - Election Day	37	105	200	174	0	1	28	145	3
Precinct 7603	127	264	815	469	0	2	73	394	3
Precinct 7604 - Vote By Mail	73	156	685	270	0	0	41	229	0
Precinct 7604 - Election Day	39	81	259	164	0	0	43	121	1
Precinct 7604	112	237	944	434	0	0	84	350	1
Precinct 7605 - Vote By Mail	59	94	468	192	0	0	39	153	0
Precinct 7605 - Election Day	22	44	193	84	0	0	17	67	1
Precinct 7605	81	138	661	276	0	0	56	220	1
Precinct 7606 - Vote By Mail	70	136	673	267	0	0	61	206	0
Precinct 7606 - Election Day	21	61	210	99	0	0	17	82	0
Precinct 7606	91	197	883	366	0	0	78	288	0
Precinct 7607 - Vote By Mail	70	169	712	288	0	0	49	239	0
Precinct 7607 - Election Day	37	68	207	127	0	0	21	106	1
Precinct 7607	107	237	919	415	0	0	70	345	1
Precinct 7608 - Vote By Mail	30	54	279	96	0	2	10	84	0
Precinct 7608 - Election Day	7	14	101	26	0	0	5	21	0
Precinct 7608	37	68	380	122	0	2	15	105	0
Precinct 7609 - Vote By Mail	89	162	699	286	0	2	33	251	0
Precinct 7609 - Election Day	21	34	185	69	0	0	14	55	0
Precinct 7609	110	196	884	355	0	2	47	306	0
Precinct 7611 - Vote By Mail	79	110	586	235	0	1	45	189	0
Precinct 7611 - Election Day	13	22	202	47	0	0	11	36	1
Precinct 7611	92	132	788	282	0	1	56	225	1
Precinct 7612 - Vote By Mail	87	91	452	216	0	0	38	178	0
Precinct 7612 - Election Day	15	23	105	47	0	0	9	38	0
Precinct 7612	102	114	557	263	0	0	47	216	0
Precinct 7613 - Vote By Mail	56	135	634	244	0	1	52	191	0
Precinct 7613 - Election Day	32	59	249	107	0	0	16	91	0
Precinct 7613	88	194	883	351	0	1	68	282	0
Precinct 7614 - Vote By Mail	68	144	713	254	0	0	42	212	0
Precinct 7614 - Election Day	28	59	203	114	0	0	26	88	1
Precinct 7614	96	203	916	368	0	0	68	300	1
Precinct 7615 - Vote By Mail	63	83	510	165	0	0	19	146	0
Precinct 7615 - Election Day	21	44	240	81	0	1	15	65	0
Precinct 7615	84	127	750	246	0	1	34	211	0
Precinct 7616 - Vote By Mail	112	124	754	330	0	0	94	236	0
Precinct 7616 - Election Day	37	53	82	144	0	0	53	91	1
Precinct 7616	149	177	836	474	0	0	147	327	1
Precinct 7617 - Vote By Mail	64	110	583	222	0	2	46	174	0
Precinct 7617 - Election Day	18	34	169	67	0	0	15	52	0
Precinct 7617	82	144	752	289	0	2	61	226	0
Precinct 7618 - Vote By Mail	108	183	763	365	0	1	73	291	0
Precinct 7618 - Election Day	28	52	151	114	0	0	33	81	1
Precinct 7618	136	235	914	479	0	1	106	372	1
Precinct 7619 - Vote By Mail	152	201	937	439	0	0	86	353	0
Precinct 7619 - Election Day	35	89	170	169	0	1	44	124	0
Precinct 7619	187	290	1,107	608	0	1	130	477	0
Precinct 7621 - Vote By Mail	149	221	1,006	443	0	0	73	370	0
Precinct 7621 - Election Day	34	81	149	150	0	0	34	116	1
Precinct 7621	183	302	1,155	593	0	0	107	486	1
Precinct 7622 - Vote By Mail	74	95	697	215	0	1	45	169	0
Precinct 7622 - Election Day	22	44	263	98	0	0	32	66	0
Precinct 7622	96	139	960	313	0	1	77	235	0
Precinct 7623 - Vote By Mail	88	125	767	256	0	4	39	213	0
Precinct 7623 - Election Day	34	73	237	143	0	0	35	108	1
Precinct 7623	122	198	1,004	399	0	4	74	321	1
Precinct 7624 - Vote By Mail	73	98	652	209	0	0	38	171	0
Precinct 7624 - Election Day	28	40	223	97	0	0	28	69	1
Precinct 7624	101	138	875	306	0	0	66	240	1
Precinct 7625 - Vote By Mail	145	166	749	394	0	2	81	311	0
Precinct 7625 - Election Day	16	15	73	39	0	0	8	31	0
Precinct 7625	161	181	822	433	0	2	89	342	0
Precinct 7626 - Vote By Mail	147	158	944	401	0	0	96	305	0
Precinct 7626 - Election Day	40	58	129	134	0	0	36	98	0
Precinct 7626	187	216	1,073	535	0	0	132	403	0
Precinct 7627 - Vote By Mail	90	50	457	196	0	2	54	140	0
Precinct 7627 - Election Day	21	25	67	65	0	0	19	46	0
Precinct 7627	111	75	524	261	0	2	73	186	0
Precinct 7628 - Vote By Mail	95	165	718	332	0	0	72	260	0
Precinct 7628 - Election Day	41	82	220	156	0	0	31	125	2
Precinct 7628	136	247	938	488	0	0	103	385	2
Precinct 7629 - Vote By Mail	80	128	691	276	0	0	68	208	0
Precinct 7629 - Election Day	30	74	162	131	0	0	26	105	1
Precinct 7629	110	202	853	407	0	0	94	313	1
Precinct 7631 - Vote By Mail	154	201	1,009	441	0	0	86	355	0
Precinct 7631 - Election Day	44	76	210	159	0	0	37	122	2
Precinct 7631	198	277	1,219	600	0	0	123	477	2
Precinct 7632 - Vote By Mail	129	207	1,002	414	0	1	77	336	0
Precinct 7632 - Election Day	40	113	169	188	0	0	33	155	2
Precinct 7632	169	320	1,171	602	0	1	110	491	2
Precinct 7633 - Vote By Mail	101	129	609	278	0	1	47	230	0
