Subtotal Area	DIANNE FEINSTEIN	KEVIN DE LEON	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
Precinct 7616 - Vote By Mail	404	260	1,203	686	0	1	21	664
Precinct 7617 - Election Day	63	27	768	102	0	1	11	90
Precinct 7617 - Vote By Mail	174	61	768	261	0	0	26	235
Precinct 7618 - Election Day	85	75	862	168	0	0	8	160
Precinct 7618 - Vote By Mail	235	158	862	407	0	1	13	393
Precinct 7619 - Election Day	110	100	1,063	219	0	0	9	210
Precinct 7619 - Vote By Mail	333	208	1,063	563	0	0	22	541
Precinct 7621 - Election Day	174	97	1,320	287	0	0	16	271
Precinct 7621 - Vote By Mail	375	257	1,320	668	0	0	36	632
Precinct 7622 - Election Day	98	56	988	170	0	0	16	154
Precinct 7622 - Vote By Mail	179	98	988	301	0	2	22	277
Precinct 7623 - Election Day	106	62	746	184	0	0	16	168
Precinct 7623 - Vote By Mail	160	121	746	297	0	1	15	281
Precinct 7624 - Election Day	88	44	859	142	0	1	9	132
Precinct 7624 - Vote By Mail	158	114	859	290	0	1	17	272
Precinct 7625 - Election Day	38	17	822	66	0	0	11	55
Precinct 7625 - Vote By Mail	344	81	822	475	0	4	46	425
Precinct 7626 - Election Day	151	67	1,114	227	0	0	9	218
Precinct 7626 - Vote By Mail	383	198	1,114	612	0	0	31	581
Precinct 7627 - Election Day	161	88	1,187	267	0	0	18	249
Precinct 7627 - Vote By Mail	361	187	1,187	582	0	0	34	548
Precinct 7628 - Election Day	128	104	960	241	0	1	8	232
Precinct 7628 - Vote By Mail	212	192	960	428	0	1	23	404
Precinct 7629 - Election Day	110	88	809	208	0	1	9	198
Precinct 7629 - Vote By Mail	191	137	809	343	0	0	15	328
Precinct 7631 - Election Day	138	106	1,155	270	0	1	25	244
Precinct 7631 - Vote By Mail	336	209	1,155	577	0	2	30	545
Precinct 7632 - Election Day	145	118	1,124	289	0	1	25	263
Precinct 7632 - Vote By Mail	306	239	1,124	561	0	1	15	545
Precinct 7633 - Election Day	67	60	741	137	0	0	10	127
Precinct 7633 - Vote By Mail	241	125	741	392	0	1	25	366
Precinct 7634 - Election Day	113	63	900	195	0	1	18	176
Precinct 7634 - Vote By Mail	255	128	900	421	0	0	38	383
Precinct 7635 - Election Day	84	67	840	158	0	0	7	151
Precinct 7635 - Vote By Mail	207	153	840	382	0	1	21	360
Precinct 7636 - Election Day	155	84	938	251	0	0	12	239
Precinct 7636 - Vote By Mail	289	156	938	465	0	0	20	445
Precinct 7637 - Election Day	116	66	809	193	0	0	11	182
Precinct 7637 - Vote By Mail	261	119	809	404	0	1	23	380
Precinct 7638 - Election Day	199	75	1,467	295	0	0	21	274
Precinct 7638 - Vote By Mail	565	253	1,467	871	1	0	52	818
Precinct 7639 - Election Day	154	74	1,011	242	0	1	13	228
Precinct 7639 - Vote By Mail	350	181	1,011	559	0	2	26	531
Precinct 7641 - Election Day	135	56	972	205	0	0	14	191
Precinct 7641 - Vote By Mail	354	166	972	549	0	4	25	520
Precinct 7642 - Election Day	102	44	937	153	0	0	7	146
Precinct 7642 - Vote By Mail	268	106	937	394	0	1	19	374
Precinct 7643 - Election Day	120	42	920	169	0	0	7	162
Precinct 7643 - Vote By Mail	333	151	920	507	0	1	22	484
Precinct 7644 - Election Day	219	96	1,175	330	0	0	15	315
Precinct 7644 - Vote By Mail	325	199	1,175	554	0	1	29	524
Precinct 7645 - Election Day	72	45	640	120	0	0	3	117
Precinct 7645 - Vote By Mail	254	101	640	377	0	0	22	355
Precinct 7646 - Election Day	153	99	1,100	267	0	0	15	252
Precinct 7646 - Vote By Mail	400	160	1,100	592	0	0	32	560
Precinct 7647 - Election Day	118	75	1,075	205	0	1	11	193
Precinct 7647 - Vote By Mail	161	110	1,075	283	0	0	12	271
Precinct 7648 MB - Vote By Mail	0	0	1	0	0	0	0	0
Precinct 7649 - Election Day	105	70	891	178	0	0	3	175
Precinct 7649 - Vote By Mail	239	126	891	395	0	0	30	365
Precinct 7651 - Election Day	108	46	677	166	1	0	11	154
Precinct 7651 - Vote By Mail	228	106	677	351	0	1	16	334
Precinct 7652 - Election Day	87	43	628	135	0	0	5	130
Precinct 7652 - Vote By Mail	185	101	628	301	0	1	14	286
Precinct 7653 - Election Day	194	90	1,280	300	0	0	16	284
Precinct 7653 - Vote By Mail	439	192	1,280	673	0	0	42	631
Precinct 7701 - Election Day	164	118	1,064	296	0	0	14	282
Precinct 7701 - Vote By Mail	354	216	1,064	597	0	0	27	570
Precinct 7702 - Election Day	118	51	748	180	0	1	10	169
Precinct 7702 - Vote By Mail	278	109	748	415	0	0	28	387
Precinct 7703 MB - Vote By Mail	63	8	171	79	0	0	8	71
Precinct 7704 - Election Day	165	72	1,008	257	0	0	20	237
Precinct 7704 - Vote By Mail	359	174	1,008	557	0	0	24	533
Precinct 7705 - Election Day	106	33	568	149	0	0	10	139
Precinct 7705 - Vote By Mail	231	87	568	335	0	0	17	318
Precinct 7706 - Election Day	173	69	840	252	0	0	10	242
Precinct 7706 - Vote By Mail	304	133	840	467	0	1	29	437
Precinct 7707 - Election Day	167	69	857	241	1	0	4	236
Precinct 7707 - Vote By Mail	304	160	857	495	0	0	31	464
Precinct 7708 - Election Day	131	64	871	205	0	0	10	195
Precinct 7708 - Vote By Mail	360	160	871	540	0	0	20	520
Precinct 7709 - Election Day	52	40	391	102	0	0	10	92
Precinct 7709 - Vote By Mail	122	81	391	222	0	0	19	203
Precinct 7711 - Election Day	118	69	766	198	0	1	10	187
Precinct 7711 - Vote By Mail	265	138	766	422	0	0	19	403
Precinct 7712 - Election Day	89	54	529	149	0	0	6	143
Precinct 7712 - Vote By Mail	164	123	529	296	0	0	9	287
Precinct 7801 - Election Day	172	87	1,001	264	1	0	4	259
Precinct 7801 - Vote By Mail	372	207	1,001	596	0	0	17	579
Precinct 7802 - Election Day	150	74	788	230	0	0	6	224
Precinct 7802 - Vote By Mail	292	153	788	458	0	0	13	445
Precinct 7803 - Election Day	110	56	828	174	0	0	8	166
Precinct 7803 - Vote By Mail	379	157	828	552	0	0	16	536
Precinct 7804 - Election Day	172	78	893	257	0	0	7	250
Precinct 7804 - Vote By Mail	333	184	893	533	0	0	16	517
Precinct 7805 - Election Day	139	83	825	228	0	0	6	222
Precinct 7805 - Vote By Mail	313	158	825	484	0	0	13	471
Precinct 7806 - Election Day	109	95	716	208	2	0	2	204
Precinct 7806 - Vote By Mail	239	153	716	407	0	0	15	392
Precinct 7807 - Election Day	164	104	844	276	0	0	8	268
Precinct 7807 - Vote By Mail	231	172	844	417	0	0	14	403
Precinct 7808 - Election Day	117	85	655	211	0	0	9	202
Precinct 7808 - Vote By Mail	197	127	655	333	0	0	9	324
Precinct 7809 - Election Day	144	80	781	238	0	1	13	224
Precinct 7809 - Vote By Mail	246	151	781	405	0	0	8	397
Precinct 7811 - Election Day	136	108	783	249	0	0	5	244
Precinct 7811 - Vote By Mail	214	175	783	404	0	0	15	389
Precinct 7812 - Election Day	140	99	877	257	0	0	18	239
Precinct 7812 - Vote By Mail	271	163	877	454	0	0	20	434
Precinct 7813 - Election Day	188	111	1,064	308	1	0	8	299
Precinct 7813 - Vote By Mail	346	221	1,064	585	0	0	18	567
Precinct 7814 - Election Day	102	113	936	228	0	1	12	215
Precinct 7814 - Vote By Mail	190	142	936	341	0	2	7	332
Precinct 7815 - Election Day	152	79	954	238	0	0	7	231
Precinct 7815 - Vote By Mail	372	189	954	573	0	0	12	561
Precinct 7816 - Election Day	139	92	865	236	0	0	5	231
Precinct 7816 - Vote By Mail	347	166	865	531	1	0	17	513
Precinct 7817 - Election Day	147	119	823	277	0	0	11	266
Precinct 7817 - Vote By Mail	265	170	823	439	0	1	3	435
Precinct 7818 - Election Day	129	97	860	234	0	0	8	226
Precinct 7818 - Vote By Mail	263	177	860	452	2	1	9	440
Precinct 7819 - Election Day	110	76	793	191	0	1	4	186
Precinct 7819 - Vote By Mail	260	150	793	420	0	0	10	410
Precinct 7821 - Election Day	149	91	985	248	0	0	8	240
Precinct 7821 - Vote By Mail	394	221	985	630	0	0	15	615
Precinct 7822 - Election Day	174	92	908	275	0	0	9	266
Precinct 7822 - Vote By Mail	291	172	908	480	0	1	16	463
Precinct 7823 - Election Day	162	102	879	270	6	0	0	264
Precinct 7823 - Vote By Mail	301	188	879	501	0	0	12	489
Precinct 7824 - Election Day	158	83	768	247	0	0	6	241
Precinct 7824 - Vote By Mail	227	139	768	383	0	0	17	366
Precinct 7825 - Election Day	111	73	597	191	0	0	7	184
Precinct 7825 - Vote By Mail	168	123	597	302	0	0	11	291
Precinct 7826 - Election Day	157	94	684	258	0	0	7	251
Precinct 7826 - Vote By Mail	169	139	684	319	0	0	11	308
Precinct 7827 - Election Day	132	121	831	261	0	0	8	253
Precinct 7827 - Vote By Mail	183	164	831	361	0	0	14	347
Precinct 7828 - Election Day	157	92	1,018	261	0	0	12	249
Precinct 7828 - Vote By Mail	353	183	1,018	549	0	0	13	536
Precinct 7829 - Election Day	155	77	907	237	1	0	4	232
Precinct 7829 - Vote By Mail	376	166	907	557	0	0	15	542
Precinct 7831 - Election Day	152	77	882	233	0	0	4	229
Precinct 7831 - Vote By Mail	359	172	882	544	0	0	13	531
Precinct 7832 - Election Day	126	60	780	188	0	0	2	186
Precinct 7832 - Vote By Mail	307	170	780	488	0	0	11	477
Precinct 7833 - Election Day	124	98	747	230	0	0	8	222
Precinct 7833 - Vote By Mail	222	180	747	412	0	0	10	402
Precinct 7834 - Election Day	141	127	867	277	0	0	9	268
Precinct 7834 - Vote By Mail	213	215	867	439	0	0	11	428
Precinct 7835 - Election Day	129	72	847	211	0	0	10	201
Precinct 7835 - Vote By Mail	316	167	847	505	1	0	21	483
Precinct 7836 - Election Day	148	104	1,023	260	0	0	8	252
Precinct 7836 - Vote By Mail	393	215	1,023	623	0	0	15	608
Precinct 7837 - Election Day	181	73	911	260	0	0	6	254
Precinct 7837 - Vote By Mail	338	153	911	509	2	0	16	491
Precinct 7838 - Election Day	150	83	926	239	0	0	6	233
Precinct 7838 - Vote By Mail	329	203	926	546	0	0	14	532
Precinct 7839 - Election Day	138	60	842	205	0	0	7	198
Precinct 7839 - Vote By Mail	346	156	842	515	0	0	13	502
Precinct 7841 - Election Day	162	124	937	291	0	0	5	286
Precinct 7841 - Vote By Mail	344	171	937	526	0	1	10	515
Precinct 7842 - Election Day	162	105	903	283	0	0	16	267
Precinct 7842 - Vote By Mail	240	173	903	434	0	0	21	413
Precinct 7843 - Election Day	132	94	767	232	0	0	6	226
Precinct 7843 - Vote By Mail	227	143	767	380	0	0	10	370
Precinct 7844 - Election Day	107	80	663	196	0	0	9	187
Precinct 7844 - Vote By Mail	178	145	663	329	0	0	6	323
Precinct 7845 - Election Day	156	75	849	241	0	0	10	231
Precinct 7845 - Vote By Mail	348	108	849	469	0	0	13	456
Precinct 7846 - Election Day	161	90	904	262	0	0	11	251
Precinct 7846 - Vote By Mail	332	157	904	509	0	1	19	489
Precinct 7847 - Election Day	169	80	929	261	0	0	12	249
Precinct 7847 - Vote By Mail	341	172	929	529	0	0	16	513
Precinct 7848 - Election Day	147	76	834	233	0	0	10	223
Precinct 7848 - Vote By Mail	330	150	834	491	0	0	11	480
Precinct 7849 - Election Day	164	91	929	264	0	0	9	255
Precinct 7849 - Vote By Mail	344	166	929	522	0	0	12	510
Precinct 7851 - Election Day	101	26	513	136	0	0	9	127
Precinct 7851 - Vote By Mail	206	71	513	298	0	0	21	277
Precinct 7852 - Election Day	101	36	647	143	0	1	5	137
Precinct 7852 - Vote By Mail	247	127	647	394	0	0	20	374
Precinct 7853 - Election Day	144	66	850	214	0	0	4	210
Precinct 7853 - Vote By Mail	318	149	850	479	0	1	11	467
Precinct 7854 - Election Day	153	86	894	248	0	1	8	239
Precinct 7854 - Vote By Mail	310	173	894	500	0	0	17	483
Precinct 7855 - Election Day	175	121	986	301	0	0	5	296
Precinct 7855 - Vote By Mail	327	174	986	522	0	0	21	501
Precinct 7856 - Election Day	168	92	800	265	0	0	5	260
Precinct 7856 - Vote By Mail	259	144	800	425	0	0	22	403
Precinct 7857 - Election Day	148	113	933	276	0	0	15	261
Precinct 7857 - Vote By Mail	325	171	933	517	0	0	21	496
Precinct 7858 - Election Day	119	118	775	245	0	0	8	237
Precinct 7858 - Vote By Mail	214	165	775	394	0	0	15	379
Precinct 7859 - Election Day	172	72	891	250	0	0	6	244
Precinct 7859 - Vote By Mail	335	159	891	513	0	0	19	494
Precinct 7861 - Election Day	141	71	859	217	0	1	4	212
Precinct 7861 - Vote By Mail	319	168	859	510	0	0	23	487
Precinct 7862 - Election Day	191	98	866	302	0	0	13	289
Precinct 7862 - Vote By Mail	297	160	866	472	0	0	15	457
Precinct 7863 - Election Day	186	117	907	311	0	0	8	303
Precinct 7863 - Vote By Mail	258	160	907	440	0	0	22	418
Precinct 7864 - Election Day	134	91	807	232	0	0	7	225
Precinct 7864 - Vote By Mail	245	167	807	427	0	0	15	412
Precinct 7865 - Election Day	139	93	823	241	0	0	9	232
Precinct 7865 - Vote By Mail	258	186	823	463	0	0	19	444
Precinct 7866 - Election Day	142	62	836	209	0	0	5	204
Precinct 7866 - Vote By Mail	327	142	836	491	0	0	22	469
Precinct 7867 - Election Day	171	85	955	266	0	0	10	256
Precinct 7867 - Vote By Mail	320	169	955	512	0	0	23	489
Precinct 7868 - Election Day	170	62	881	242	0	1	9	232
Precinct 7868 - Vote By Mail	294	132	881	449	1	2	20	426
Precinct 7869 - Election Day	151	81	867	239	0	0	7	232
Precinct 7869 - Vote By Mail	322	157	867	489	0	0	10	479
Precinct 7871 - Election Day	170	73	900	259	0	0	16	243
Precinct 7871 - Vote By Mail	329	156	900	502	2	0	15	485
Precinct 7872 - Election Day	183	94	862	288	0	0	11	277
Precinct 7872 - Vote By Mail	283	167	862	472	0	1	21	450
Precinct 7873 - Election Day	162	90	861	257	0	1	4	252
Precinct 7873 - Vote By Mail	322	163	861	502	0	1	16	485
Precinct 7874 - Election Day	81	48	477	137	0	0	8	129
Precinct 7874 - Vote By Mail	144	95	477	256	1	1	15	239
Precinct 7875 - Election Day	96	73	623	180	0	0	11	169
Precinct 7875 - Vote By Mail	134	128	623	285	0	3	20	262
Precinct 7876 - Election Day	88	51	498	154	10	0	5	139
Precinct 7876 - Vote By Mail	162	99	498	269	0	0	8	261
Precinct 7901 - Election Day	63	63	522	136	0	2	8	126
Precinct 7901 - Vote By Mail	100	89	522	198	0	0	9	189
Precinct 7902 - Election Day	126	117	968	258	0	0	15	243
Precinct 7902 - Vote By Mail	196	190	968	401	0	0	15	386
Precinct 7903 - Election Day	98	89	840	201	0	0	14	187
Precinct 7903 - Vote By Mail	179	158	840	350	0	2	11	337
Precinct 7904 - Election Day	95	104	877	212	0	0	13	199
Precinct 7904 - Vote By Mail	200	188	877	403	0	0	15	388
Precinct 7905 - Election Day	131	111	851	254	0	0	12	242
Precinct 7905 - Vote By Mail	207	188	851	409	1	0	13	395
Precinct 7906 - Election Day	128	109	787	245	0	0	8	237
Precinct 7906 - Vote By Mail	176	151	787	335	0	0	8	327
Precinct 7907 - Election Day	130	130	950	278	0	0	18	260
Precinct 7907 - Vote By Mail	231	180	950	425	0	0	14	411
Precinct 7908 - Election Day	135	121	949	284	0	1	27	256
Precinct 7908 - Vote By Mail	197	181	949	408	0	0	30	378
Precinct 7909 - Election Day	113	130	733	251	0	0	8	243
Precinct 7909 - Vote By Mail	147	147	733	303	0	0	9	294
Precinct 7911 - Election Day	120	116	860	244	0	1	7	236
Precinct 7911 - Vote By Mail	210	172	860	395	0	0	13	382
Precinct 7912 - Election Day	139	134	1,065	291	0	0	18	273
Precinct 7912 - Vote By Mail	244	199	1,065	463	0	0	20	443
Precinct 7913 - Election Day	154	149	913	312	0	0	9	303
Precinct 7913 - Vote By Mail	183	177	913	378	0	0	18	360
Precinct 7914 - Election Day	118	146	883	278	0	0	14	264
Precinct 7914 - Vote By Mail	197	210	883	425	0	0	18	407
Precinct 7915 - Election Day	133	123	831	266	0	1	9	256
Precinct 7915 - Vote By Mail	188	158	831	351	0	0	5	346
Precinct 7916 - Election Day	121	149	888	284	0	0	14	270
Precinct 7916 - Vote By Mail	207	204	888	421	0	0	10	411
Precinct 7917 - Election Day	153	149	1,015	315	0	2	11	302
Precinct 7917 - Vote By Mail	210	205	1,015	428	0	2	11	415
Precinct 7918 - Election Day	124	122	836	253	0	1	6	246
Precinct 7918 - Vote By Mail	196	174	836	379	0	0	9	370
Precinct 7919 - Election Day	134	163	895	309	0	1	11	297
Precinct 7919 - Vote By Mail	176	180	895	376	0	2	18	356
Precinct 7921 - Election Day	112	107	917	232	0	1	12	219
Precinct 7921 - Vote By Mail	195	155	917	366	0	1	15	350
Precinct 7922 - Election Day	118	123	831	250	0	0	9	241
Precinct 7922 - Vote By Mail	201	168	831	383	0	0	14	369
Precinct 7923 - Election Day	109	152	885	262	0	0	1	261
Precinct 7923 - Vote By Mail	197	193	885	403	0	1	12	390
Precinct 7924 - Election Day	102	127	842	238	0	1	8	229
Precinct 7924 - Vote By Mail	180	186	842	382	0	0	16	366
Precinct 7925 - Election Day	64	90	567	156	0	0	2	154
Precinct 7925 - Vote By Mail	153	127	567	293	0	1	12	280
Precinct 7926 - Election Day	131	90	795	229	0	0	8	221
Precinct 7926 - Vote By Mail	203	178	795	390	0	0	9	381
Precinct 7927 - Election Day	135	101	747	241	0	0	5	236
Precinct 7927 - Vote By Mail	204	177	747	392	0	2	9	381
Precinct 7928 - Election Day	155	123	931	284	0	0	6	278
Precinct 7928 - Vote By Mail	268	206	931	489	0	0	15	474
Precinct 7929 - Election Day	131	109	864	248	0	0	8	240
Precinct 7929 - Vote By Mail	291	201	864	509	1	0	16	492
Precinct 7931 - Election Day	136	76	738	219	0	0	7	212
Precinct 7931 - Vote By Mail	254	140	738	408	0	0	14	394
Precinct 7932 - Election Day	93	59	551	157	1	0	4	152
Precinct 7932 - Vote By Mail	174	106	551	285	0	0	5	280
Precinct 7933 MB - Vote By Mail	2	2	6	4	0	0	0	4
Precinct 7934 - Election Day	120	120	890	250	0	0	10	240
Precinct 7934 - Vote By Mail	243	218	890	472	0	1	10	461
Precinct 7935 - Election Day	174	120	970	305	0	0	11	294
Precinct 7935 - Vote By Mail	302	203	970	519	0	0	14	505
Precinct 7936 - Election Day	153	124	856	287	0	1	9	277
Precinct 7936 - Vote By Mail	236	184	856	428	0	1	7	420
Precinct 7937 - Election Day	150	108	886	267	0	1	8	258
Precinct 7937 - Vote By Mail	253	166	886	435	0	0	16	419
Precinct 7938 - Election Day	113	91	788	213	0	0	9	204
Precinct 7938 - Vote By Mail	196	131	788	337	0	1	9	327
Precinct 7939 - Election Day	150	100	688	254	0	0	4	250
Precinct 7939 - Vote By Mail	193	120	688	326	0	1	12	313
Precinct 7941 - Election Day	119	93	751	218	0	0	6	212
Precinct 7941 - Vote By Mail	175	167	751	348	0	0	6	342
Precinct 7942 - Election Day	155	92	914	259	1	0	11	247
Precinct 7942 - Vote By Mail	247	144	914	412	0	1	20	391
Precinct 7943 - Election Day	146	93	872	258	4	2	13	239
Precinct 7943 - Vote By Mail	250	164	872	439	0	1	24	414
Precinct 7944 - Election Day	126	109	801	243	0	0	8	235
Precinct 7944 - Vote By Mail	212	158	801	381	0	0	11	370
Precinct 7945 - Election Day	107	64	915	186	0	0	15	171
Precinct 7945 - Vote By Mail	231	168	915	414	0	0	15	399
Precinct 7946 - Election Day	110	62	945	183	0	0	11	172
Precinct 7946 - Vote By Mail	273	137	945	451	0	2	39	410
Precinct 7947 - Election Day	113	53	946	182	0	1	15	166
Precinct 7947 - Vote By Mail	262	141	946	430	0	1	26	403
Precinct 7948 - Election Day	118	80	928	210	0	0	12	198
Precinct 7948 - Vote By Mail	250	146	928	422	0	2	24	396
Precinct 7949 - Election Day	50	40	569	100	0	0	10	90
Precinct 7949 - Vote By Mail	182	84	569	292	0	1	25	266
Precinct 7951 - Election Day	98	54	854	166	0	0	14	152
Precinct 7951 - Vote By Mail	215	165	854	425	0	0	45	380
Precinct 7952 - Election Day	79	74	866	167	0	0	14	153
Precinct 7952 - Vote By Mail	230	105	866	359	0	1	23	335
Precinct 7953 - Election Day	107	65	824	186	2	0	12	172
Precinct 7953 - Vote By Mail	243	128	824	402	0	0	31	371
Precinct 7955 - Election Day	102	74	902	199	0	1	22	176
Precinct 7955 - Vote By Mail	256	144	902	435	0	1	34	400
Precinct 7956 - Election Day	76	40	823	136	0	1	19	116
Precinct 7956 - Vote By Mail	197	120	823	353	0	2	34	317
Precinct 7957 - Election Day	96	41	646	147	0	1	9	137
Precinct 7957 - Vote By Mail	188	96	646	298	0	0	14	284
Precinct 7958 MB - Vote By Mail	82	41	290	141	0	0	18	123
Precinct 7959 - Election Day	74	73	727	160	0	0	13	147
Precinct 7959 - Vote By Mail	174	139	727	326	0	2	11	313
Precinct 9001 MB - Vote By Mail	92	38	273	142	0	0	12	130
Precinct 9101 - Election Day	154	97	888	260	0	0	9	251
Precinct 9101 - Vote By Mail	265	136	888	438	0	0	37	401
Precinct 9102 - Election Day	146	88	985	257	0	0	23	234
Precinct 9102 - Vote By Mail	276	164	985	471	0	0	31	440
Precinct 9103 - Election Day	183	76	954	273	0	2	12	259
Precinct 9103 - Vote By Mail	260	134	954	431	0	0	37	394
Precinct 9104 - Election Day	114	104	988	239	0	0	21	218
Precinct 9104 - Vote By Mail	253	183	988	465	0	0	29	436
Precinct 9105 - Election Day	156	72	919	247	0	0	19	228
Precinct 9105 - Vote By Mail	311	141	919	488	0	0	36	452
Precinct 9106 - Election Day	173	83	937	268	1	2	9	256
Precinct 9106 - Vote By Mail	306	160	937	497	0	0	31	466
Precinct 9107 - Election Day	131	77	849	219	0	1	10	208
Precinct 9107 - Vote By Mail	210	140	849	372	0	0	22	350
Precinct 9108 - Election Day	148	92	790	247	0	0	7	240
Precinct 9108 - Vote By Mail	225	129	790	373	1	1	17	354
Precinct 9109 - Election Day	149	95	884	263	0	1	18	244
Precinct 9109 - Vote By Mail	267	144	884	428	0	0	17	411
Precinct 9111 - Election Day	138	82	779	229	0	0	9	220
Precinct 9111 - Vote By Mail	210	110	779	346	0	0	26	320
Precinct 9112 - Election Day	169	95	976	284	0	0	20	264
Precinct 9112 - Vote By Mail	290	149	976	467	0	2	26	439
Precinct 9113 - Election Day	197	103	999	311	0	0	11	300
Precinct 9113 - Vote By Mail	297	184	999	505	0	0	24	481
Precinct 9114 - Election Day	152	99	877	263	0	0	12	251
Precinct 9114 - Vote By Mail	226	165	877	405	0	0	14	391
Precinct 9115 - Election Day	154	95	911	258	0	0	9	249
Precinct 9115 - Vote By Mail	260	143	911	429	0	0	26	403
Precinct 9116 - Election Day	166	105	944	281	1	0	9	271
Precinct 9116 - Vote By Mail	277	163	944	473	0	0	33	440
Precinct 9117 - Election Day	137	80	783	222	0	0	5	217
Precinct 9117 - Vote By Mail	272	104	783	398	0	0	22	376
Precinct 9118 - Election Day	164	100	974	286	0	0	22	264
Precinct 9118 - Vote By Mail	237	157	974	426	0	0	32	394
Precinct 9119 - Election Day	136	83	891	237	0	0	18	219
Precinct 9119 - Vote By Mail	256	169	891	447	0	0	22	425
Precinct 9121 - Election Day	149	85	930	256	0	0	22	234
Precinct 9121 - Vote By Mail	266	138	930	434	0	0	30	404
Precinct 9122 - Election Day	128	61	953	210	0	0	21	189
Precinct 9122 - Vote By Mail	266	146	953	454	0	1	41	412
Precinct 9123 - Election Day	133	87	858	232	0	0	12	220
Precinct 9123 - Vote By Mail	233	155	858	418	0	0	30	388
Precinct 9124 - Election Day	118	75	874	202	0	0	9	193
Precinct 9124 - Vote By Mail	251	142	874	438	0	0	45	393
Precinct 9125 - Election Day	135	65	861	210	0	0	10	200
Precinct 9125 - Vote By Mail	279	141	861	437	0	0	17	420
Precinct 9126 - Election Day	138	89	1,015	245	0	1	17	227
Precinct 9126 - Vote By Mail	311	186	1,015	533	0	0	36	497
Precinct 9127 - Election Day	162	83	960	269	0	0	24	245
Precinct 9127 - Vote By Mail	291	181	960	498	0	0	26	472
Precinct 9128 - Election Day	150	87	828	248	0	0	11	237
Precinct 9128 - Vote By Mail	243	142	828	412	0	1	26	385
Precinct 9129 - Election Day	138	95	741	243	0	0	10	233
Precinct 9129 - Vote By Mail	218	108	741	348	0	0	22	326
Precinct 9131 - Election Day	115	68	759	193	0	0	10	183
Precinct 9131 - Vote By Mail	237	137	759	403	0	0	29	374
Precinct 9132 - Election Day	123	111	837	248	0	0	14	234
Precinct 9132 - Vote By Mail	205	148	837	371	0	0	18	353
Precinct 9133 - Election Day	148	109	1,021	271	0	0	14	257
Precinct 9133 - Vote By Mail	299	182	1,021	503	0	1	21	481
Precinct 9134 - Election Day	131	68	893	210	0	0	11	199
Precinct 9134 - Vote By Mail	263	166	893	469	0	1	39	429
Precinct 9135 - Election Day	124	77	808	215	0	0	14	201
Precinct 9135 - Vote By Mail	234	112	808	389	0	1	42	346
Precinct 9136 - Election Day	150	87	929	253	0	0	16	237
Precinct 9136 - Vote By Mail	266	151	929	439	0	0	22	417
Precinct 9137 - Election Day	133	111	1,006	260	0	0	16	244
Precinct 9137 - Vote By Mail	293	143	1,006	467	0	1	30	436
Precinct 9138 - Election Day	128	83	943	226	1	0	14	211
Precinct 9138 - Vote By Mail	313	135	943	477	1	0	28	448
Precinct 9139 - Election Day	140	90	975	243	0	0	13	230
Precinct 9139 - Vote By Mail	298	170	975	510	0	0	42	468
Precinct 9141 - Election Day	155	81	953	252	0	0	16	236
Precinct 9141 - Vote By Mail	270	170	953	477	0	1	36	440
Precinct 9142 - Election Day	151	107	966	276	0	0	18	258
Precinct 9142 - Vote By Mail	282	151	966	459	0	0	26	433
Precinct 9143 - Election Day	162	79	920	251	0	0	10	241
Precinct 9143 - Vote By Mail	277	156	920	463	0	0	30	433
Precinct 9144 - Election Day	173	111	962	293	0	0	9	284
Precinct 9144 - Vote By Mail	286	163	962	482	0	0	33	449
Precinct 9145 - Election Day	149	90	861	249	1	1	8	239
Precinct 9145 - Vote By Mail	258	142	861	423	0	0	23	400
Precinct 9146 - Election Day	138	92	885	245	0	0	15	230
Precinct 9146 - Vote By Mail	256	189	885	464	0	1	18	445
Precinct 9147 - Election Day	167	96	971	281	0	0	18	263
Precinct 9147 - Vote By Mail	296	177	971	492	0	0	19	473
Precinct 9148 - Election Day	197	118	1,034	325	0	0	10	315
Precinct 9148 - Vote By Mail	301	196	1,034	513	0	0	16	497
Precinct 9149 - Election Day	155	101	948	264	0	0	8	256
Precinct 9149 - Vote By Mail	276	186	948	478	0	0	16	462
Precinct 9151 - Election Day	130	88	872	227	0	0	9	218
Precinct 9151 - Vote By Mail	274	131	872	418	0	0	13	405
Precinct 9152 - Election Day	152	103	721	270	0	0	15	255
Precinct 9152 - Vote By Mail	154	115	721	279	0	0	10	269
Precinct 9201 - Election Day	177	117	1,004	300	0	0	6	294
Precinct 9201 - Vote By Mail	271	190	1,004	475	0	0	14	461
Precinct 9202 - Election Day	180	102	971	294	0	0	12	282
Precinct 9202 - Vote By Mail	247	159	971	426	0	0	20	406
Precinct 9203 - Election Day	155	70	1,002	239	0	0	14	225
Precinct 9203 - Vote By Mail	343	154	1,002	536	0	0	39	497
Precinct 9204 - Election Day	157	94	873	273	0	0	22	251
Precinct 9204 - Vote By Mail	236	113	873	393	0	0	44	349
Precinct 9205 - Election Day	131	66	728	208	0	0	11	197
Precinct 9205 - Vote By Mail	263	95	728	376	0	0	18	358
Precinct 9206 - Election Day	136	96	931	249	0	0	17	232
Precinct 9206 - Vote By Mail	297	137	931	479	0	0	45	434
Precinct 9207 - Election Day	164	74	981	262	0	0	24	238
Precinct 9207 - Vote By Mail	326	141	981	502	0	0	35	467
