Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts	36,666	164,885	495,050	206,340	0	119	4,670	201,551
All Precincts - None	10,092	47,989	495,050	59,414	0	32	1,301	58,081
All Precincts - None	26,574	116,896	495,050	146,926	0	87	3,369	143,470
Precinct 1101 - None	14	39	557	54	0	0	1	53
Precinct 1101 - None	44	121	557	166	0	0	1	165
Precinct 1101	58	160	557	220	0	0	2	218
Precinct 1102 - None	29	114	994	145	0	0	2	143
Precinct 1102 - None	75	224	994	304	0	0	5	299
Precinct 1102	104	338	994	449	0	0	7	442
Precinct 1103 - None	18	92	962	111	0	0	1	110
Precinct 1103 - None	74	206	962	283	0	0	3	280
Precinct 1103	92	298	962	394	0	0	4	390
Precinct 1104/1105 - None	20	85	1,012	109	0	0	4	105
Precinct 1104/1105 - None	65	202	1,012	271	0	0	4	267
Precinct 1104/1105	85	287	1,012	380	0	0	8	372
Precinct 1106/1107 - None	42	124	1,505	168	0	0	2	166
Precinct 1106/1107 - None	97	329	1,505	435	0	0	9	426
Precinct 1106/1107	139	453	1,505	603	0	0	11	592
Precinct 1108 - None	13	82	908	95	0	0	0	95
Precinct 1108 - None	34	230	908	272	0	0	8	264
Precinct 1108	47	312	908	367	0	0	8	359
Precinct 1109 - None	20	71	805	93	0	0	2	91
Precinct 1109 - None	41	186	805	233	0	0	6	227
Precinct 1109	61	257	805	326	0	0	8	318
Precinct 1111 - None	24	81	1,025	106	0	0	1	105
Precinct 1111 - None	87	208	1,025	303	0	0	8	295
Precinct 1111	111	289	1,025	409	0	0	9	400
Precinct 1112 - None	16	48	770	65	0	0	1	64
Precinct 1112 - None	51	163	770	217	0	1	2	214
Precinct 1112	67	211	770	282	0	1	3	278
Precinct 1114/1113 - None	31	94	1,741	129	0	0	4	125
Precinct 1114/1113 - None	109	377	1,741	501	0	1	14	486
Precinct 1114/1113	140	471	1,741	630	0	1	18	611
Precinct 1115/1116 - None	34	127	1,838	165	0	0	4	161
Precinct 1115/1116 - None	136	323	1,838	467	0	0	8	459
Precinct 1115/1116	170	450	1,838	632	0	0	12	620
Precinct 1117/1123 - None	42	109	1,771	155	0	0	4	151
Precinct 1117/1123 - None	90	340	1,771	443	0	0	13	430
Precinct 1117/1123	132	449	1,771	598	0	0	17	581
Precinct 1118 - None	13	84	1,057	99	0	0	2	97
Precinct 1118 - None	58	251	1,057	319	0	0	10	309
Precinct 1118	71	335	1,057	418	0	0	12	406
Precinct 1119 - None	9	56	771	66	0	1	0	65
Precinct 1119 - None	42	174	771	226	0	0	10	216
Precinct 1119	51	230	771	292	0	1	10	281
Precinct 1122 - None	12	34	638	48	0	0	2	46
Precinct 1122 - None	41	145	638	188	0	0	2	186
Precinct 1122	53	179	638	236	0	0	4	232
Precinct 1124 - None	14	48	812	64	0	0	2	62
Precinct 1124 - None	60	125	812	188	0	0	3	185
Precinct 1124	74	173	812	252	0	0	5	247
Precinct 1125 - None	16	32	1,064	48	0	0	0	48
Precinct 1125 - None	70	195	1,064	271	0	0	6	265
Precinct 1125	86	227	1,064	319	0	0	6	313
Precinct 1126/1121 - None	24	96	1,676	121	0	0	1	120
Precinct 1126/1121 - None	113	322	1,676	442	0	0	7	435
Precinct 1126/1121	137	418	1,676	563	0	0	8	555
Precinct 1127/1128 - None	35	119	1,827	157	0	0	3	154
Precinct 1127/1128 - None	109	365	1,827	488	0	0	14	474
Precinct 1127/1128	144	484	1,827	645	0	0	17	628
Precinct 1129 - None	27	52	1,018	85	0	1	5	79
Precinct 1129 - None	59	190	1,018	253	0	0	4	249
Precinct 1129	86	242	1,018	338	0	1	9	328
Precinct 1131 - None	13	34	836	49	0	0	2	47
Precinct 1131 - None	60	163	836	226	0	0	3	223
Precinct 1131	73	197	836	275	0	0	5	270
Precinct 1132 - None	10	36	1,010	47	0	0	1	46
Precinct 1132 - None	89	216	1,010	312	0	0	7	305
Precinct 1132	99	252	1,010	359	0	0	8	351
Precinct 1133 - None	8	41	857	49	0	0	0	49
Precinct 1133 - None	48	200	857	255	0	0	7	248
Precinct 1133	56	241	857	304	0	0	7	297
Precinct 1134 - None	9	59	762	70	0	0	2	68
Precinct 1134 - None	40	169	762	215	0	0	6	209
Precinct 1134	49	228	762	285	0	0	8	277
Precinct 1135 - None	8	37	554	46	0	0	1	45
Precinct 1135 - None	50	137	554	195	0	1	7	187
Precinct 1135	58	174	554	241	0	1	8	232
Precinct 1136 - None	12	40	847	53	0	0	1	52
Precinct 1136 - None	60	186	847	248	0	0	2	246
Precinct 1136	72	226	847	301	0	0	3	298
Precinct 1141 - None	27	75	1,042	103	0	0	1	102
Precinct 1141 - None	66	231	1,042	306	0	0	9	297
Precinct 1141	93	306	1,042	409	0	0	10	399
Precinct 1143 - None	22	85	1,024	109	0	0	2	107
Precinct 1143 - None	62	184	1,024	254	0	0	8	246
Precinct 1143	84	269	1,024	363	0	0	10	353
Precinct 1144/1142 - None	32	141	1,804	177	0	0	4	173
Precinct 1144/1142 - None	97	402	1,804	514	0	0	15	499
Precinct 1144/1142	129	543	1,804	691	0	0	19	672
Precinct 1145 - None	7	73	894	83	0	0	3	80
Precinct 1145 - None	52	239	894	297	0	0	6	291
Precinct 1145	59	312	894	380	0	0	9	371
Precinct 1146 - None	17	65	1,008	83	0	0	1	82
Precinct 1146 - None	62	208	1,008	275	0	0	5	270
Precinct 1146	79	273	1,008	358	0	0	6	352
Precinct 1147 - None	20	65	868	89	0	0	4	85
Precinct 1147 - None	72	158	868	235	0	0	5	230
Precinct 1147	92	223	868	324	0	0	9	315
Precinct 1148 - None	18	77	1,002	100	0	0	5	95
Precinct 1148 - None	88	171	1,002	269	0	0	10	259
Precinct 1148	106	248	1,002	369	0	0	15	354
Precinct 1149 - None	18	70	911	90	0	0	2	88
Precinct 1149 - None	49	183	911	237	0	1	4	232
Precinct 1149	67	253	911	327	0	1	6	320
