Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
Precinct 7007/7008 - Vote By Mail	418	180	1,821	608	0	0	10	598
Precinct 7007/7008	624	235	1,821	877	0	0	18	859
Precinct 7009 - Election Day	37	35	874	74	0	0	2	72
Precinct 7009 - Vote By Mail	228	84	874	317	0	0	5	312
Precinct 7009	265	119	874	391	0	0	7	384
Precinct 7011 - Election Day	50	31	951	87	0	0	6	81
Precinct 7011 - Vote By Mail	110	54	951	168	0	0	4	164
Precinct 7011	160	85	951	255	0	0	10	245
Precinct 7012 - Election Day	105	43	1,165	149	0	0	1	148
Precinct 7012 - Vote By Mail	248	113	1,165	365	0	0	4	361
Precinct 7012	353	156	1,165	514	0	0	5	509
Precinct 7013 - Election Day	62	28	1,033	93	0	0	3	90
Precinct 7013 - Vote By Mail	194	82	1,033	283	0	0	7	276
Precinct 7013	256	110	1,033	376	0	0	10	366
Precinct 7014/7056 - Election Day	102	33	1,388	136	0	0	1	135
Precinct 7014/7056 - Vote By Mail	288	125	1,388	417	0	0	4	413
Precinct 7014/7056	390	158	1,388	553	0	0	5	548
Precinct 7015 MB - Election Day	0	1	104	1	0	0	0	1
Precinct 7015 MB - Vote By Mail	18	6	104	25	0	0	1	24
Precinct 7015 MB	18	7	104	26	0	0	1	25
Precinct 7016 - Election Day	44	30	912	75	0	0	1	74
Precinct 7016 - Vote By Mail	107	57	912	174	0	0	10	164
Precinct 7016	151	87	912	249	0	0	11	238
Precinct 7017 - Election Day	20	24	781	50	0	0	6	44
Precinct 7017 - Vote By Mail	90	50	781	143	0	0	3	140
Precinct 7017	110	74	781	193	0	0	9	184
Precinct 7019/7018 - Election Day	69	44	1,908	121	0	0	8	113
Precinct 7019/7018 - Vote By Mail	325	216	1,908	558	0	0	17	541
Precinct 7019/7018	394	260	1,908	679	0	0	25	654
Precinct 7021 - Election Day	63	26	955	96	0	0	7	89
Precinct 7021 - Vote By Mail	130	75	955	212	0	0	7	205
Precinct 7021	193	101	955	308	0	0	14	294
Precinct 7022 - Election Day	67	23	943	94	0	0	4	90
Precinct 7022 - Vote By Mail	135	73	943	215	0	0	7	208
Precinct 7022	202	96	943	309	0	0	11	298
Precinct 7024 - Election Day	14	21	448	39	0	0	4	35
Precinct 7024 - Vote By Mail	22	11	448	34	0	0	1	33
Precinct 7024	36	32	448	73	0	0	5	68
Precinct 7025 - Election Day	20	12	473	34	0	0	2	32
Precinct 7025 - Vote By Mail	38	20	473	58	0	0	0	58
Precinct 7025	58	32	473	92	0	0	2	90
Precinct 7026 - Election Day	37	17	1,009	56	0	0	2	54
Precinct 7026 - Vote By Mail	173	126	1,009	303	0	0	4	299
Precinct 7026	210	143	1,009	359	0	0	6	353
Precinct 7027 - Election Day	53	31	883	86	0	0	2	84
Precinct 7027 - Vote By Mail	125	95	883	230	0	0	10	220
Precinct 7027	178	126	883	316	0	0	12	304
Precinct 7028 - Election Day	72	38	849	114	0	0	4	110
Precinct 7028 - Vote By Mail	102	63	849	168	0	0	3	165
Precinct 7028	174	101	849	282	0	0	7	275
Precinct 7029/7023 - Election Day	70	68	1,812	146	0	0	8	138
Precinct 7029/7023 - Vote By Mail	247	125	1,812	385	0	0	13	372
Precinct 7029/7023	317	193	1,812	531	0	0	21	510
Precinct 7030 - Election Day	29	24	787	54	0	0	1	53
Precinct 7030 - Vote By Mail	138	95	787	243	0	0	10	233
Precinct 7030	167	119	787	297	0	0	11	286
Precinct 7031 - Election Day	23	14	680	37	0	0	0	37
Precinct 7031 - Vote By Mail	118	81	680	210	0	1	10	199
Precinct 7031	141	95	680	247	0	1	10	236
Precinct 7032 - Election Day	34	32	876	70	0	0	4	66
Precinct 7032 - Vote By Mail	131	77	876	212	0	0	4	208
Precinct 7032	165	109	876	282	0	0	8	274
Precinct 7033 - Election Day	47	36	770	88	0	0	5	83
Precinct 7033 - Vote By Mail	91	65	770	164	0	0	8	156
Precinct 7033	138	101	770	252	0	0	13	239
Precinct 7034 - Election Day	28	31	954	61	0	0	2	59
Precinct 7034 - Vote By Mail	53	57	954	119	0	0	9	110
Precinct 7034	81	88	954	180	0	0	11	169
Precinct 7035 - Election Day	26	18	681	46	0	0	2	44
Precinct 7035 - Vote By Mail	114	63	681	181	0	0	4	177
Precinct 7035	140	81	681	227	0	0	6	221
Precinct 7037/7036 - Election Day	39	36	1,676	80	0	0	5	75
Precinct 7037/7036 - Vote By Mail	149	115	1,676	268	0	0	4	264
Precinct 7037/7036	188	151	1,676	348	0	0	9	339
Precinct 7038 - Election Day	29	18	924	49	0	0	2	47
Precinct 7038 - Vote By Mail	136	99	924	244	0	0	9	235
Precinct 7038	165	117	924	293	0	0	11	282
Precinct 7039 - Election Day	55	28	830	84	0	0	1	83
Precinct 7039 - Vote By Mail	120	70	830	197	0	0	7	190
Precinct 7039	175	98	830	281	0	0	8	273
Precinct 7041 MB - Election Day	0	0	60	0	0	0	0	0
Precinct 7041 MB - Vote By Mail	9	4	60	13	0	0	0	13
Precinct 7041 MB	9	4	60	13	0	0	0	13
Precinct 7042/7046 - Election Day	51	37	1,069	92	0	0	4	88
Precinct 7042/7046 - Vote By Mail	148	105	1,069	266	0	0	13	253
Precinct 7042/7046	199	142	1,069	358	0	0	17	341
Precinct 7043 - Election Day	45	15	961	61	0	0	1	60
Precinct 7043 - Vote By Mail	143	78	961	228	0	0	7	221
Precinct 7043	188	93	961	289	0	0	8	281
Precinct 7044 - Election Day	16	25	844	42	0	0	1	41
Precinct 7044 - Vote By Mail	62	49	844	115	0	0	4	111
Precinct 7044	78	74	844	157	0	0	5	152
Precinct 7045 - Election Day	24	21	783	49	0	0	4	45
Precinct 7045 - Vote By Mail	127	106	783	243	0	0	10	233
Precinct 7045	151	127	783	292	0	0	14	278
Precinct 7047/7051 - Election Day	64	32	1,727	102	0	0	6	96
Precinct 7047/7051 - Vote By Mail	265	223	1,727	509	0	0	21	488
Precinct 7047/7051	329	255	1,727	611	0	0	27	584
Precinct 7048 - Election Day	32	19	870	53	0	0	2	51
Precinct 7048 - Vote By Mail	117	84	870	209	0	0	8	201
Precinct 7048	149	103	870	262	0	0	10	252
Precinct 7049 - Election Day	38	26	815	68	0	0	4	64
Precinct 7049 - Vote By Mail	93	94	815	200	0	1	12	187
Precinct 7049	131	120	815	268	0	1	16	251
Precinct 7052 - Election Day	57	27	878	87	0	0	3	84
Precinct 7052 - Vote By Mail	159	80	878	247	0	0	8	239
Precinct 7052	216	107	878	334	0	0	11	323
Precinct 7053 - Election Day	20	17	568	38	0	0	1	37
Precinct 7053 - Vote By Mail	95	47	568	146	0	0	4	142
Precinct 7053	115	64	568	184	0	0	5	179
Precinct 7054 - Election Day	54	31	1,111	87	0	0	2	85
Precinct 7054 - Vote By Mail	141	96	1,111	243	0	0	6	237
Precinct 7054	195	127	1,111	330	0	0	8	322
Precinct 7055 - Election Day	28	9	799	37	0	0	0	37
Precinct 7055 - Vote By Mail	131	93	799	228	0	0	4	224
Precinct 7055	159	102	799	265	0	0	4	261
Precinct 7101 MB - Election Day	1	0	152	1	0	0	0	1
Precinct 7101 MB - Vote By Mail	62	11	152	77	0	1	3	73
Precinct 7101 MB	63	11	152	78	0	1	3	74
Precinct 7202/7201 - Election Day	105	48	1,747	156	0	0	3	153
Precinct 7202/7201 - Vote By Mail	291	185	1,747	485	0	0	9	476
Precinct 7202/7201	396	233	1,747	641	0	0	12	629
Precinct 7203 - Election Day	67	33	867	103	0	0	3	100
Precinct 7203 - Vote By Mail	118	81	867	203	0	0	4	199
Precinct 7203	185	114	867	306	0	0	7	299
Precinct 7204 - Election Day	64	32	890	100	0	0	4	96
Precinct 7204 - Vote By Mail	187	105	890	296	0	0	4	292
Precinct 7204	251	137	890	396	0	0	8	388
Precinct 7205 - Election Day	66	41	862	108	0	0	1	107
Precinct 7205 - Vote By Mail	173	89	862	269	0	0	7	262
Precinct 7205	239	130	862	377	0	0	8	369
Precinct 7207/7209 - Election Day	85	37	1,483	126	0	0	4	122
Precinct 7207/7209 - Vote By Mail	354	183	1,483	552	0	0	15	537
Precinct 7207/7209	439	220	1,483	678	0	0	19	659
Precinct 7208 - Election Day	31	14	560	48	0	0	3	45
Precinct 7208 - Vote By Mail	90	65	560	159	0	0	4	155
Precinct 7208	121	79	560	207	0	0	7	200
Precinct 7301/7304 - Election Day	134	60	1,993	200	0	0	6	194
Precinct 7301/7304 - Vote By Mail	341	195	1,993	554	0	0	18	536
Precinct 7301/7304	475	255	1,993	754	0	0	24	730
Precinct 7302 - Election Day	67	27	838	98	0	0	4	94
Precinct 7302 - Vote By Mail	208	94	838	312	0	0	10	302
Precinct 7302	275	121	838	410	0	0	14	396
Precinct 7305/7307 - Election Day	156	63	1,633	223	0	0	4	219
Precinct 7305/7307 - Vote By Mail	286	190	1,633	493	0	0	17	476
Precinct 7305/7307	442	253	1,633	716	0	0	21	695
Precinct 7306/7303 - Election Day	133	65	2,083	208	0	0	10	198
Precinct 7306/7303 - Vote By Mail	297	208	2,083	532	0	0	27	505
Precinct 7306/7303	430	273	2,083	740	0	0	37	703
Precinct 7308 - Election Day	67	27	614	98	0	0	4	94
Precinct 7308 - Vote By Mail	112	65	614	180	0	0	3	177
Precinct 7308	179	92	614	278	0	0	7	271
Precinct 7311 - Election Day	92	28	866	124	0	0	4	120
Precinct 7311 - Vote By Mail	156	83	866	247	0	0	8	239
Precinct 7311	248	111	866	371	0	0	12	359
Precinct 7312 - Election Day	57	31	801	91	0	0	3	88
Precinct 7312 - Vote By Mail	170	102	801	289	0	0	17	272
Precinct 7312	227	133	801	380	0	0	20	360
Precinct 7314/7313 - Election Day	97	34	1,749	142	0	0	11	131
Precinct 7314/7313 - Vote By Mail	316	146	1,749	501	0	1	38	462
Precinct 7314/7313	413	180	1,749	643	0	1	49	593
Precinct 7315/7316 - Election Day	122	49	1,584	175	0	0	4	171
Precinct 7315/7316 - Vote By Mail	232	115	1,584	360	0	0	13	347
Precinct 7315/7316	354	164	1,584	535	0	0	17	518
Precinct 7317 - Election Day	57	22	875	83	0	0	4	79
Precinct 7317 - Vote By Mail	182	106	875	300	0	0	12	288
Precinct 7317	239	128	875	383	0	0	16	367
Precinct 7318/7309 - Election Day	93	45	1,567	142	0	0	4	138
Precinct 7318/7309 - Vote By Mail	261	155	1,567	433	0	0	17	416
Precinct 7318/7309	354	200	1,567	575	0	0	21	554
Precinct 7321/7322 - Election Day	60	20	1,533	86	0	0	6	80
Precinct 7321/7322 - Vote By Mail	309	118	1,533	456	0	0	29	427
Precinct 7321/7322	369	138	1,533	542	0	0	35	507
Precinct 7323/7319 - Election Day	118	68	1,967	190	0	0	4	186
Precinct 7323/7319 - Vote By Mail	319	168	1,967	498	0	0	11	487
Precinct 7323/7319	437	236	1,967	688	0	0	15	673
Precinct 7325/7324 - Election Day	86	55	1,588	145	0	0	4	141
Precinct 7325/7324 - Vote By Mail	269	143	1,588	427	0	1	14	412
Precinct 7325/7324	355	198	1,588	572	0	1	18	553
Precinct 7326/7337 - Election Day	110	46	1,709	164	0	0	8	156
Precinct 7326/7337 - Vote By Mail	318	192	1,709	527	0	0	17	510
Precinct 7326/7337	428	238	1,709	691	0	0	25	666
Precinct 7327 - Election Day	28	7	668	40	0	0	5	35
Precinct 7327 - Vote By Mail	122	78	668	217	0	0	17	200
Precinct 7327	150	85	668	257	0	0	22	235
Precinct 7328 - Election Day	31	8	985	42	0	0	3	39
Precinct 7328 - Vote By Mail	227	75	985	328	0	0	26	302
Precinct 7328	258	83	985	370	0	0	29	341
Precinct 7329 - Election Day	32	18	638	52	0	0	2	50
Precinct 7329 - Vote By Mail	108	74	638	196	0	0	14	182
Precinct 7329	140	92	638	248	0	0	16	232
Precinct 7331 - Election Day	73	40	850	113	0	0	0	113
Precinct 7331 - Vote By Mail	179	113	850	302	0	0	10	292
Precinct 7331	252	153	850	415	0	0	10	405
Precinct 7332/7334 - Election Day	131	48	1,601	185	0	0	6	179
Precinct 7332/7334 - Vote By Mail	299	138	1,601	441	0	0	4	437
Precinct 7332/7334	430	186	1,601	626	0	0	10	616
Precinct 7333/7335 - Election Day	130	50	1,930	190	0	0	10	180
Precinct 7333/7335 - Vote By Mail	330	197	1,930	541	0	0	14	527
Precinct 7333/7335	460	247	1,930	731	0	0	24	707
Precinct 7336/7345 - Election Day	134	78	2,021	214	0	0	2	212
Precinct 7336/7345 - Vote By Mail	343	203	2,021	558	0	0	12	546
Precinct 7336/7345	477	281	2,021	772	0	0	14	758
Precinct 7338/7349 - Election Day	98	43	1,783	150	0	0	9	141
Precinct 7338/7349 - Vote By Mail	337	177	1,783	543	0	0	29	514
Precinct 7338/7349	435	220	1,783	693	0	0	38	655
Precinct 7339/7341 - Election Day	97	56	1,588	158	0	1	4	153
Precinct 7339/7341 - Vote By Mail	266	134	1,588	412	0	0	12	400
Precinct 7339/7341	363	190	1,588	570	0	1	16	553
Precinct 7342 - Election Day	116	40	909	158	0	0	2	156
Precinct 7342 - Vote By Mail	157	73	909	234	0	0	4	230
Precinct 7342	273	113	909	392	0	0	6	386
Precinct 7343 - Election Day	65	21	706	89	0	0	3	86
Precinct 7343 - Vote By Mail	95	43	706	144	0	0	6	138
Precinct 7343	160	64	706	233	0	0	9	224
Precinct 7344 - Election Day	80	32	1,052	113	0	0	1	112
Precinct 7344 - Vote By Mail	180	107	1,052	290	0	0	3	287
Precinct 7344	260	139	1,052	403	0	0	4	399
Precinct 7346 - Election Day	55	32	879	88	0	0	1	87
Precinct 7346 - Vote By Mail	110	50	879	170	0	0	10	160
Precinct 7346	165	82	879	258	0	0	11	247
Precinct 7348/7347 - Election Day	102	43	1,826	152	0	0	7	145
Precinct 7348/7347 - Vote By Mail	296	126	1,826	433	0	0	11	422
Precinct 7348/7347	398	169	1,826	585	0	0	18	567
Precinct 7502 - Election Day	43	25	779	70	0	0	2	68
Precinct 7502 - Vote By Mail	145	92	779	247	0	0	10	237
Precinct 7502	188	117	779	317	0	0	12	305
Precinct 7503 - Election Day	44	32	725	79	0	0	3	76
Precinct 7503 - Vote By Mail	154	49	725	204	0	1	0	203
Precinct 7503	198	81	725	283	0	1	3	279
Precinct 7504/7501 - Election Day	82	35	1,019	121	0	1	3	117
Precinct 7504/7501 - Vote By Mail	195	105	1,019	308	0	0	8	300
Precinct 7504/7501	277	140	1,019	429	0	1	11	417
Precinct 7505 - Election Day	69	24	851	101	0	0	8	93
Precinct 7505 - Vote By Mail	262	87	851	363	0	0	14	349
Precinct 7505	331	111	851	464	0	0	22	442
Precinct 7506/7507 - Election Day	131	49	1,913	188	0	0	8	180
Precinct 7506/7507 - Vote By Mail	356	145	1,913	516	0	0	15	501
Precinct 7506/7507	487	194	1,913	704	0	0	23	681
Precinct 7508 - Election Day	62	30	720	96	0	0	4	92
Precinct 7508 - Vote By Mail	192	83	720	288	0	0	13	275
Precinct 7508	254	113	720	384	0	0	17	367
Precinct 7509/7511 - Election Day	87	35	914	128	0	0	6	122
Precinct 7509/7511 - Vote By Mail	184	97	914	287	0	0	6	281
Precinct 7509/7511	271	132	914	415	0	0	12	403
Precinct 7512 - Election Day	38	32	588	78	0	0	8	70
Precinct 7512 - Vote By Mail	128	69	588	207	0	0	10	197
Precinct 7512	166	101	588	285	0	0	18	267
Precinct 7513 - Election Day	69	22	784	101	0	0	10	91
Precinct 7513 - Vote By Mail	131	57	784	193	0	0	5	188
Precinct 7513	200	79	784	294	0	0	15	279
Precinct 7514 - Election Day	45	34	901	87	0	0	8	79
Precinct 7514 - Vote By Mail	142	77	901	235	0	0	16	219
Precinct 7514	187	111	901	322	0	0	24	298
Precinct 7515 - Election Day	67	27	852	97	0	0	3	94
Precinct 7515 - Vote By Mail	161	70	852	242	0	0	11	231
Precinct 7515	228	97	852	339	0	0	14	325
Precinct 7516 - Election Day	79	30	906	111	0	0	2	109
Precinct 7516 - Vote By Mail	244	103	906	359	0	0	12	347
Precinct 7516	323	133	906	470	0	0	14	456
Precinct 7518/7517 - Election Day	257	65	1,754	329	0	0	7	322
Precinct 7518/7517 - Vote By Mail	445	101	1,754	563	0	0	17	546
Precinct 7518/7517	702	166	1,754	892	0	0	24	868
Precinct 7519 - Election Day	92	21	709	116	0	0	3	113
Precinct 7519 - Vote By Mail	141	61	709	204	0	0	2	202
Precinct 7519	233	82	709	320	0	0	5	315
Precinct 7521 - Election Day	102	28	761	136	0	0	6	130
Precinct 7521 - Vote By Mail	193	48	761	248	0	0	7	241
Precinct 7521	295	76	761	384	0	0	13	371
Precinct 7522/7523 - Election Day	230	51	1,464	290	0	0	9	281
Precinct 7522/7523 - Vote By Mail	336	81	1,464	424	0	0	7	417
Precinct 7522/7523	566	132	1,464	714	0	0	16	698
Precinct 7524 - Election Day	80	15	606	97	0	0	2	95
Precinct 7524 - Vote By Mail	119	38	606	165	0	0	8	157
Precinct 7524	199	53	606	262	0	0	10	252
Precinct 7525 - Election Day	71	23	762	97	0	0	3	94
Precinct 7525 - Vote By Mail	123	57	762	191	0	0	11	180
Precinct 7525	194	80	762	288	0	0	14	274
Precinct 7526 - Election Day	88	34	974	125	0	0	3	122
Precinct 7526 - Vote By Mail	218	65	974	297	0	0	14	283
Precinct 7526	306	99	974	422	0	0	17	405
Precinct 7527/7528 - Election Day	86	30	689	123	0	0	7	116
Precinct 7527/7528 - Vote By Mail	154	46	689	212	0	0	12	200
Precinct 7527/7528	240	76	689	335	0	0	19	316
Precinct 7529 - Election Day	141	26	906	172	0	0	5	167
Precinct 7529 - Vote By Mail	210	73	906	294	0	0	11	283
Precinct 7529	351	99	906	466	0	0	16	450
Precinct 7531 - Election Day	94	19	839	116	0	0	3	113
Precinct 7531 - Vote By Mail	230	34	839	275	0	0	11	264
Precinct 7531	324	53	839	391	0	0	14	377
Precinct 7532 - Election Day	85	29	792	114	0	0	0	114
Precinct 7532 - Vote By Mail	148	72	792	222	0	0	2	220
Precinct 7532	233	101	792	336	0	0	2	334
Precinct 7533 - Election Day	147	48	936	202	0	0	7	195
Precinct 7533 - Vote By Mail	207	65	936	275	0	0	3	272
Precinct 7533	354	113	936	477	0	0	10	467
Precinct 7534 - Election Day	127	19	881	153	0	0	7	146
Precinct 7534 - Vote By Mail	168	61	881	237	0	0	8	229
Precinct 7534	295	80	881	390	0	0	15	375
Precinct 7536/7535 - Election Day	262	51	1,594	319	0	0	6	313
Precinct 7536/7535 - Vote By Mail	379	106	1,594	496	0	0	11	485
Precinct 7536/7535	641	157	1,594	815	0	0	17	798
Precinct 7537/7538 - Election Day	245	52	1,472	302	0	0	5	297
Precinct 7537/7538 - Vote By Mail	338	95	1,472	438	0	0	5	433
Precinct 7537/7538	583	147	1,472	740	0	0	10	730
Precinct 7539 - Election Day	187	36	906	233	0	1	9	223
Precinct 7539 - Vote By Mail	223	55	906	279	0	0	1	278
Precinct 7539	410	91	906	512	0	1	10	501
Precinct 7541 - Election Day	108	28	769	136	0	0	0	136
Precinct 7541 - Vote By Mail	178	66	769	248	0	0	4	244
Precinct 7541	286	94	769	384	0	0	4	380
Precinct 7543/7542 - Election Day	188	55	1,718	252	0	0	9	243
Precinct 7543/7542 - Vote By Mail	395	141	1,718	549	0	0	13	536
Precinct 7543/7542	583	196	1,718	801	0	0	22	779
Precinct 7544 - Election Day	114	34	892	152	0	0	4	148
Precinct 7544 - Vote By Mail	216	62	892	283	0	0	5	278
Precinct 7544	330	96	892	435	0	0	9	426
Precinct 7545 - Election Day	101	33	877	139	0	0	5	134
Precinct 7545 - Vote By Mail	190	83	877	277	0	0	4	273
Precinct 7545	291	116	877	416	0	0	9	407
Precinct 7546/7547 - Election Day	262	67	1,900	340	0	0	11	329
Precinct 7546/7547 - Vote By Mail	521	137	1,900	672	0	0	14	658
Precinct 7546/7547	783	204	1,900	1,012	0	0	25	987
Precinct 7548 - Election Day	154	37	1,027	197	0	0	6	191
Precinct 7548 - Vote By Mail	241	75	1,027	322	0	0	6	316
Precinct 7548	395	112	1,027	519	0	0	12	507
