Subtotal Area	JOEL VENTRESCA	WILMA PANG	ROBERT L. JORDAN, JR.	PAUL YBARRA ROBERTSON	ELLEN LEE ZHOU	LONDON N. BREED	MARC ROTH	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Ballots Counted	Writein Votes
Precinct 1132 - Election Day	5	0	1	2	3	29	0	1,010	47	0	0	7	0	40	0
Precinct 1132 - Vote By Mail	16	10	5	4	86	145	0	1,010	312	0	7	39	0	266	0
Precinct 1132	21	10	6	6	89	174	0	1,010	359	0	7	46	0	306	0
Precinct 1133 - Election Day	5	0	2	1	7	30	0	857	49	0	0	4	0	45	0
Precinct 1133 - Vote By Mail	10	7	3	9	55	143	0	857	255	0	1	27	0	227	0
Precinct 1133	15	7	5	10	62	173	0	857	304	0	1	31	0	272	0
Precinct 1134 - Election Day	8	3	1	3	9	35	0	762	70	0	1	10	0	59	0
Precinct 1134 - Vote By Mail	14	3	7	4	61	108	0	762	215	0	0	18	0	197	0
Precinct 1134	22	6	8	7	70	143	0	762	285	0	1	28	0	256	0
Precinct 1135 - Election Day	5	0	0	3	6	28	0	554	46	0	1	3	0	42	0
Precinct 1135 - Vote By Mail	3	0	3	9	69	87	0	554	195	0	0	24	0	171	0
Precinct 1135	8	0	3	12	75	115	0	554	241	0	1	27	0	213	0
Precinct 1136 - Election Day	2	1	1	1	11	31	0	847	53	0	0	6	0	47	0
Precinct 1136 - Vote By Mail	8	4	2	13	57	135	0	847	246	0	0	27	0	219	0
Precinct 1136	10	5	3	14	68	166	0	847	299	0	0	33	0	266	0
Precinct 1141 - Election Day	8	3	2	4	19	50	0	1,042	103	0	1	16	0	86	0
Precinct 1141 - Vote By Mail	18	9	7	11	65	163	0	1,042	308	0	2	33	0	273	0
Precinct 1141	26	12	9	15	84	213	0	1,042	411	0	3	49	0	359	0
Precinct 1143 - Election Day	7	4	1	3	16	62	0	1,024	110	0	0	17	0	93	0
Precinct 1143 - Vote By Mail	11	5	5	10	64	128	0	1,024	256	0	2	31	0	223	0
Precinct 1143	18	9	6	13	80	190	0	1,024	366	0	2	48	0	316	0
Precinct 1144/1142 - Election Day	12	4	2	6	22	107	0	1,804	177	0	0	24	0	153	0
Precinct 1144/1142 - Vote By Mail	24	9	5	20	108	274	0	1,804	513	0	2	71	0	440	0
Precinct 1144/1142	36	13	7	26	130	381	0	1,804	690	0	2	95	0	593	0
Precinct 1145 - Election Day	7	0	0	0	9	48	0	894	83	0	0	19	0	64	0
Precinct 1145 - Vote By Mail	19	7	3	6	56	169	0	894	296	0	0	36	0	260	0
Precinct 1145	26	7	3	6	65	217	0	894	379	0	0	55	0	324	0
Precinct 1146 - Election Day	4	2	1	3	15	43	0	1,008	84	0	1	15	0	68	0
Precinct 1146 - Vote By Mail	18	9	1	12	46	161	0	1,008	275	0	0	28	0	247	0
Precinct 1146	22	11	2	15	61	204	0	1,008	359	0	1	43	0	315	0
Precinct 1147 - Election Day	9	2	1	4	8	54	0	868	89	0	1	10	0	78	0
Precinct 1147 - Vote By Mail	7	9	1	8	54	133	0	868	235	0	0	23	0	212	0
Precinct 1147	16	11	2	12	62	187	0	868	324	0	1	33	0	290	0
Precinct 1148 - Election Day	7	1	3	4	15	49	0	1,002	100	0	0	21	0	79	0
Precinct 1148 - Vote By Mail	16	7	1	12	57	145	0	1,002	268	0	5	25	0	238	0
Precinct 1148	23	8	4	16	72	194	0	1,002	368	0	5	46	0	317	0
Precinct 1149 - Election Day	11	3	1	2	15	49	0	911	90	0	0	9	0	81	0
Precinct 1149 - Vote By Mail	11	4	5	9	51	139	0	911	239	0	0	20	0	219	0
Precinct 1149	22	7	6	11	66	188	0	911	329	0	0	29	0	300	0
Precinct 1152/1153 - Election Day	6	6	6	14	24	75	0	1,815	155	0	0	24	0	131	0
Precinct 1152/1153 - Vote By Mail	31	6	7	18	115	279	0	1,815	497	0	3	38	0	456	0
Precinct 1152/1153	37	12	13	32	139	354	0	1,815	652	0	3	62	0	587	0
Precinct 7001 - Election Day	1	0	1	3	3	44	0	752	59	0	0	7	0	52	0
Precinct 7001 - Vote By Mail	17	0	1	6	16	161	0	752	230	0	0	29	0	201	0
Precinct 7001	18	0	2	9	19	205	0	752	289	0	0	36	0	253	0
Precinct 7002 - Election Day	6	1	0	1	3	36	0	659	61	0	0	14	0	47	0
Precinct 7002 - Vote By Mail	14	3	6	9	10	90	0	659	151	0	0	19	0	132	0
Precinct 7002	20	4	6	10	13	126	0	659	212	0	0	33	0	179	0
Precinct 7003/7004 - Election Day	23	8	3	10	16	132	0	1,755	233	0	0	41	0	192	0
Precinct 7003/7004 - Vote By Mail	51	6	0	23	33	396	0	1,755	606	0	0	97	0	509	0
Precinct 7003/7004	74	14	3	33	49	528	0	1,755	839	0	0	138	0	701	0
Precinct 7005 - Election Day	9	3	1	2	9	67	0	850	124	0	0	33	0	91	0
Precinct 7005 - Vote By Mail	24	6	5	6	10	184	0	850	280	0	1	44	0	235	0
Precinct 7005	33	9	6	8	19	251	0	850	404	0	1	77	0	326	0
Precinct 7006 - Election Day	11	5	1	6	6	69	0	921	135	0	0	37	0	98	0
Precinct 7006 - Vote By Mail	24	8	2	8	26	143	0	921	264	0	1	52	0	211	0
Precinct 7006	35	13	3	14	32	212	0	921	399	0	1	89	0	309	0
Precinct 7007/7008 - Election Day	20	3	3	14	13	172	0	1,821	269	0	0	44	0	225	0
Precinct 7007/7008 - Vote By Mail	28	3	4	20	29	437	0	1,821	607	0	1	85	0	521	0
Precinct 7007/7008	48	6	7	34	42	609	0	1,821	876	0	1	129	0	746	0
Precinct 7009 - Election Day	6	5	1	6	6	42	0	874	74	0	1	7	0	66	0
Precinct 7009 - Vote By Mail	22	3	3	15	29	187	0	874	316	0	0	57	0	259	0
Precinct 7009	28	8	4	21	35	229	0	874	390	0	1	64	0	325	0
Precinct 7011 - Election Day	5	2	1	2	7	60	0	951	85	0	0	8	0	77	0
Precinct 7011 - Vote By Mail	6	2	0	6	4	133	0	951	168	0	1	16	0	151	0
Precinct 7011	11	4	1	8	11	193	0	951	253	0	1	24	0	228	0
Precinct 7012 - Election Day	4	4	0	9	18	87	0	1,165	149	0	0	27	0	122	0
Precinct 7012 - Vote By Mail	19	3	3	14	27	243	0	1,165	362	0	0	53	0	309	0
Precinct 7012	23	7	3	23	45	330	0	1,165	511	0	0	80	0	431	0
Precinct 7013 - Election Day	4	0	0	0	8	69	0	1,033	93	0	0	12	0	81	0
Precinct 7013 - Vote By Mail	16	1	2	5	21	204	0	1,033	283	0	0	34	0	249	0
Precinct 7013	20	1	2	5	29	273	0	1,033	376	0	0	46	0	330	0
Precinct 7014/7056 - Election Day	12	0	1	7	7	101	0	1,388	136	0	0	8	0	128	0
Precinct 7014/7056 - Vote By Mail	17	5	0	16	22	304	0	1,388	416	0	2	50	0	364	0
Precinct 7014/7056	29	5	1	23	29	405	0	1,388	552	0	2	58	0	492	0
Precinct 7015 MB - Election Day	0	0	0	0	0	1	0	104	1	0	0	0	0	1	0
Precinct 7015 MB - Vote By Mail	0	3	3	1	4	12	0	104	25	0	0	2	0	23	0
Precinct 7015 MB	0	3	3	1	4	13	0	104	26	0	0	2	0	24	0
Precinct 7016 - Election Day	5	1	0	5	8	49	0	912	75	0	0	7	0	68	0
Precinct 7016 - Vote By Mail	4	1	1	11	40	101	0	912	173	0	0	15	0	158	0
Precinct 7016	9	2	1	16	48	150	0	912	248	0	0	22	0	226	0
Precinct 7017 - Election Day	1	0	0	2	0	43	0	781	49	0	2	1	0	46	0
Precinct 7017 - Vote By Mail	4	1	1	4	12	115	0	781	142	0	1	4	0	137	0
Precinct 7017	5	1	1	6	12	158	0	781	191	0	3	5	0	183	0
Precinct 7019/7018 - Election Day	3	2	1	5	10	91	0	1,908	121	0	0	9	0	112	0
Precinct 7019/7018 - Vote By Mail	25	11	7	26	121	320	0	1,908	554	0	2	42	0	510	0
Precinct 7019/7018	28	13	8	31	131	411	0	1,908	675	0	2	51	0	622	0
Precinct 7021 - Election Day	6	4	2	3	6	68	0	955	96	0	1	6	0	89	0
Precinct 7021 - Vote By Mail	8	4	2	11	25	142	0	955	212	0	1	19	0	192	0
Precinct 7021	14	8	4	14	31	210	0	955	308	0	2	25	0	281	0
Precinct 7022 - Election Day	4	0	0	1	3	79	0	943	94	0	0	7	0	87	0
Precinct 7022 - Vote By Mail	9	8	4	8	28	144	0	943	216	0	1	14	0	201	0
Precinct 7022	13	8	4	9	31	223	0	943	310	0	1	21	0	288	0
Precinct 7024 - Election Day	0	0	0	0	4	33	0	448	39	0	0	2	0	37	0
Precinct 7024 - Vote By Mail	2	0	0	1	4	25	0	448	34	0	1	1	0	32	0
Precinct 7024	2	0	0	1	8	58	0	448	73	0	1	3	0	69	0
Precinct 7025 - Election Day	1	0	1	5	2	23	0	473	34	0	0	2	0	32	0
Precinct 7025 - Vote By Mail	1	0	2	4	6	43	0	473	58	0	0	2	0	56	0
Precinct 7025	2	0	3	9	8	66	0	473	92	0	0	4	0	88	0
Precinct 7026 - Election Day	3	1	1	2	10	38	0	1,009	57	0	0	2	0	55	0
Precinct 7026 - Vote By Mail	11	11	1	10	92	148	0	1,009	301	0	1	27	0	273	0
Precinct 7026	14	12	2	12	102	186	0	1,009	358	0	1	29	0	328	0
Precinct 7027 - Election Day	6	0	0	3	7	60	0	883	85	0	3	6	0	76	0
Precinct 7027 - Vote By Mail	5	7	4	4	58	136	0	883	230	0	2	14	0	214	0
Precinct 7027	11	7	4	7	65	196	0	883	315	0	5	20	0	290	0
Precinct 7028 - Election Day	3	4	1	1	2	93	0	849	114	0	0	10	0	104	0
Precinct 7028 - Vote By Mail	5	1	0	6	31	108	0	849	169	0	0	18	0	151	0
Precinct 7028	8	5	1	7	33	201	0	849	283	0	0	28	0	255	0
Precinct 7029/7023 - Election Day	4	1	2	3	5	124	0	1,812	146	0	0	7	0	139	0
Precinct 7029/7023 - Vote By Mail	10	3	3	10	32	300	0	1,812	385	0	3	24	0	358	0
Precinct 7029/7023	14	4	5	13	37	424	0	1,812	531	0	3	31	0	497	0
Precinct 7030 - Election Day	1	1	3	2	18	27	0	787	54	0	0	2	0	52	0
Precinct 7030 - Vote By Mail	8	4	3	9	90	113	0	787	242	0	1	14	0	227	0
Precinct 7030	9	5	6	11	108	140	0	787	296	0	1	16	0	279	0
Precinct 7031 - Election Day	0	2	0	0	4	30	0	680	37	0	0	1	0	36	0
Precinct 7031 - Vote By Mail	9	6	7	7	52	116	0	680	211	0	1	13	0	197	0
Precinct 7031	9	8	7	7	56	146	0	680	248	0	1	14	0	233	0
Precinct 7032 - Election Day	1	3	5	6	3	48	0	876	70	0	0	4	0	66	0
Precinct 7032 - Vote By Mail	6	3	3	10	44	125	0	876	212	0	2	19	0	191	0
Precinct 7032	7	6	8	16	47	173	0	876	282	0	2	23	0	257	0
Precinct 7033 - Election Day	3	0	0	5	3	73	0	770	88	0	0	4	0	84	0
Precinct 7033 - Vote By Mail	4	1	1	6	19	125	0	770	164	0	1	7	0	156	0
Precinct 7033	7	1	1	11	22	198	0	770	252	0	1	11	0	240	0
Precinct 7034 - Election Day	0	1	0	2	4	54	0	954	64	0	0	3	0	61	0
Precinct 7034 - Vote By Mail	0	0	1	7	9	100	0	954	119	0	0	2	0	117	0
Precinct 7034	0	1	1	9	13	154	0	954	183	0	0	5	0	178	0
Precinct 7035 - Election Day	1	1	1	1	3	37	0	681	46	0	1	1	0	44	0
Precinct 7035 - Vote By Mail	5	5	2	9	18	124	0	681	180	0	1	16	0	163	0
Precinct 7035	6	6	3	10	21	161	0	681	226	0	2	17	0	207	0
Precinct 7037/7036 - Election Day	4	3	1	4	3	59	0	1,676	80	0	0	6	0	74	0
Precinct 7037/7036 - Vote By Mail	6	5	7	8	67	151	0	1,676	268	0	3	21	0	244	0
Precinct 7037/7036	10	8	8	12	70	210	0	1,676	348	0	3	27	0	318	0
Precinct 7038 - Election Day	2	1	0	1	6	37	0	924	49	0	0	2	0	47	0
Precinct 7038 - Vote By Mail	3	3	4	18	68	121	0	924	243	0	3	23	0	217	0
Precinct 7038	5	4	4	19	74	158	0	924	292	0	3	25	0	264	0
Precinct 7039 - Election Day	7	5	2	2	15	42	0	830	84	0	0	11	0	73	0
Precinct 7039 - Vote By Mail	6	10	1	13	44	111	0	830	197	0	1	11	0	185	0
Precinct 7039	13	15	3	15	59	153	0	830	281	0	1	22	0	258	0
Precinct 7041 MB - Election Day	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0
Precinct 7041 MB - Vote By Mail	0	1	0	1	4	7	0	60	13	0	0	0	0	13	0
Precinct 7041 MB	0	1	0	1	4	7	0	60	13	0	0	0	0	13	0
Precinct 7042/7046 - Election Day	4	2	2	6	18	54	0	1,069	92	0	0	6	0	86	0
Precinct 7042/7046 - Vote By Mail	10	5	5	14	51	157	0	1,069	265	0	2	21	0	242	0
Precinct 7042/7046	14	7	7	20	69	211	0	1,069	357	0	2	27	0	328	0
Precinct 7043 - Election Day	4	1	0	1	6	41	0	961	61	0	0	8	0	53	0
Precinct 7043 - Vote By Mail	14	7	2	5	51	122	0	961	226	0	1	24	0	201	0
Precinct 7043	18	8	2	6	57	163	0	961	287	0	1	32	0	254	0
Precinct 7044 - Election Day	1	0	0	0	1	39	0	844	42	0	0	1	0	41	0
Precinct 7044 - Vote By Mail	3	2	3	9	18	70	0	844	115	0	3	7	0	105	0
Precinct 7044	4	2	3	9	19	109	0	844	157	0	3	8	0	146	0
Precinct 7045 - Election Day	3	2	1	2	8	28	0	783	49	0	0	5	0	44	0
Precinct 7045 - Vote By Mail	6	11	6	7	81	116	0	783	242	0	0	15	0	227	0
Precinct 7045	9	13	7	9	89	144	0	783	291	0	0	20	0	271	0
Precinct 7047/7051 - Election Day	8	1	1	4	17	59	0	1,727	102	0	0	12	0	90	0
Precinct 7047/7051 - Vote By Mail	26	15	13	23	178	219	0	1,727	507	0	4	29	0	474	0
Precinct 7047/7051	34	16	14	27	195	278	0	1,727	609	0	4	41	0	564	0
Precinct 7048 - Election Day	1	1	0	0	4	43	0	870	53	0	0	4	0	49	0
Precinct 7048 - Vote By Mail	8	4	5	9	38	133	0	870	209	0	0	12	0	197	0
Precinct 7048	9	5	5	9	42	176	0	870	262	0	0	16	0	246	0
Precinct 7049 - Election Day	1	4	0	5	15	41	0	815	68	0	0	2	0	66	0
Precinct 7049 - Vote By Mail	8	7	1	14	64	98	0	815	200	0	0	8	0	192	0
Precinct 7049	9	11	1	19	79	139	0	815	268	0	0	10	0	258	0
Precinct 7052 - Election Day	7	2	2	5	12	54	0	878	87	0	0	5	0	82	0
Precinct 7052 - Vote By Mail	13	5	4	7	84	121	0	878	247	0	0	13	0	234	0
Precinct 7052	20	7	6	12	96	175	0	878	334	0	0	18	0	316	0
Precinct 7053 - Election Day	0	1	0	1	6	29	0	568	38	0	0	1	0	37	0
Precinct 7053 - Vote By Mail	6	4	1	3	27	91	0	568	145	0	0	13	0	132	0
Precinct 7053	6	5	1	4	33	120	0	568	183	0	0	14	0	169	0
Precinct 7054 - Election Day	0	3	1	1	3	71	0	1,111	87	0	0	8	0	79	0
Precinct 7054 - Vote By Mail	6	2	3	5	32	174	0	1,111	243	0	1	20	0	222	0
Precinct 7054	6	5	4	6	35	245	0	1,111	330	0	1	28	0	301	0
Precinct 7055 - Election Day	3	0	1	1	5	23	0	799	37	0	0	4	0	33	0
Precinct 7055 - Vote By Mail	17	7	1	6	68	106	0	799	227	0	0	22	0	205	0
Precinct 7055	20	7	2	7	73	129	0	799	264	0	0	26	0	238	0
Precinct 7101 MB - Election Day	0	0	0	0	0	1	0	152	1	0	0	0	0	1	0
Precinct 7101 MB - Vote By Mail	4	2	0	2	4	54	0	152	77	0	1	10	0	66	0
Precinct 7101 MB	4	2	0	2	4	55	0	152	78	0	1	10	0	67	0
Precinct 7202/7201 - Election Day	8	8	2	8	13	102	0	1,747	156	0	0	15	0	141	0
Precinct 7202/7201 - Vote By Mail	21	10	6	22	47	327	0	1,747	482	0	2	47	0	433	0
Precinct 7202/7201	29	18	8	30	60	429	0	1,747	638	0	2	62	0	574	0
Precinct 7203 - Election Day	10	1	2	6	10	64	0	867	103	0	0	10	0	93	0
Precinct 7203 - Vote By Mail	11	2	0	8	17	140	0	867	203	0	0	25	0	178	0
Precinct 7203	21	3	2	14	27	204	0	867	306	0	0	35	0	271	0
Precinct 7204 - Election Day	12	1	0	5	8	59	0	890	100	0	0	15	0	85	0
Precinct 7204 - Vote By Mail	10	7	3	14	19	223	0	890	294	0	0	18	0	276	0
Precinct 7204	22	8	3	19	27	282	0	890	394	0	0	33	0	361	0
Precinct 7205 - Election Day	6	4	2	6	7	71	0	862	108	0	0	12	0	96	0
Precinct 7205 - Vote By Mail	19	10	4	12	16	174	0	862	268	0	0	33	0	235	0
Precinct 7205	25	14	6	18	23	245	0	862	376	0	0	45	0	331	0
Precinct 7207/7209 - Election Day	8	4	0	3	9	95	0	1,483	126	0	0	7	0	119	0
Precinct 7207/7209 - Vote By Mail	36	12	5	25	41	381	0	1,483	551	0	2	49	0	500	0
Precinct 7207/7209	44	16	5	28	50	476	0	1,483	677	0	2	56	0	619	0
Precinct 7208 - Election Day	1	4	0	1	2	30	0	560	48	0	0	10	0	38	0
Precinct 7208 - Vote By Mail	14	3	2	8	13	108	0	560	159	0	0	11	0	148	0
Precinct 7208	15	7	2	9	15	138	0	560	207	0	0	21	0	186	0
Precinct 7301/7304 - Election Day	14	11	6	6	22	120	0	1,993	200	0	0	21	0	179	0
Precinct 7301/7304 - Vote By Mail	23	13	18	26	79	328	0	1,993	553	0	1	65	0	487	0
Precinct 7301/7304	37	24	24	32	101	448	0	1,993	753	0	1	86	0	666	0
Precinct 7302 - Election Day	2	2	1	5	11	67	0	838	98	0	0	10	0	88	0
Precinct 7302 - Vote By Mail	14	7	4	10	38	215	0	838	312	0	0	24	0	288	0
Precinct 7302	16	9	5	15	49	282	0	838	410	0	0	34	0	376	0
Precinct 7305/7307 - Election Day	18	10	8	8	28	117	0	1,633	223	0	0	34	0	189	0
Precinct 7305/7307 - Vote By Mail	28	16	6	26	46	319	0	1,633	494	0	0	53	0	441	0
Precinct 7305/7307	46	26	14	34	74	436	0	1,633	717	0	0	87	0	630	0
Precinct 7306/7303 - Election Day	10	4	3	4	25	131	0	2,083	208	0	1	30	0	177	0
Precinct 7306/7303 - Vote By Mail	23	7	11	28	76	331	0	2,083	533	0	2	55	0	476	0
Precinct 7306/7303	33	11	14	32	101	462	0	2,083	741	0	3	85	0	653	0
Precinct 7308 - Election Day	12	1	2	3	9	61	0	614	98	0	0	10	0	88	0
Precinct 7308 - Vote By Mail	9	5	3	10	15	110	0	614	181	0	0	29	0	152	0
Precinct 7308	21	6	5	13	24	171	0	614	279	0	0	39	0	240	0
Precinct 7311 - Election Day	7	2	0	5	6	82	0	866	124	0	0	22	0	102	0
Precinct 7311 - Vote By Mail	12	6	4	14	20	161	0	866	246	0	0	29	0	217	0
Precinct 7311	19	8	4	19	26	243	0	866	370	0	0	51	0	319	0
Precinct 7312 - Election Day	4	4	2	8	8	54	0	801	91	0	1	10	0	80	0
Precinct 7312 - Vote By Mail	11	3	3	9	29	206	0	801	288	0	0	27	0	261	0
Precinct 7312	15	7	5	17	37	260	0	801	379	0	1	37	0	341	0
Precinct 7314/7313 - Election Day	13	9	1	6	24	77	0	1,749	142	0	1	11	0	130	0
Precinct 7314/7313 - Vote By Mail	27	22	5	13	106	263	0	1,749	501	0	1	64	0	436	0
Precinct 7314/7313	40	31	6	19	130	340	0	1,749	643	0	2	75	0	566	0
Precinct 7315/7316 - Election Day	18	10	5	7	15	94	0	1,584	175	0	0	26	0	149	0
Precinct 7315/7316 - Vote By Mail	11	9	10	15	67	202	0	1,584	359	0	2	43	0	314	0
Precinct 7315/7316	29	19	15	22	82	296	0	1,584	534	0	2	69	0	463	0
Precinct 7317 - Election Day	10	1	1	2	6	53	0	875	83	0	0	10	0	73	0
Precinct 7317 - Vote By Mail	15	4	2	17	38	193	0	875	299	0	0	30	0	269	0
Precinct 7317	25	5	3	19	44	246	0	875	382	0	0	40	0	342	0
Precinct 7318/7309 - Election Day	11	9	1	6	15	87	0	1,567	142	0	0	13	0	129	0
Precinct 7318/7309 - Vote By Mail	22	12	4	29	45	273	0	1,567	427	0	1	41	0	385	0
Precinct 7318/7309	33	21	5	35	60	360	0	1,567	569	0	1	54	0	514	0
Precinct 7321/7322 - Election Day	3	1	4	0	32	36	0	1,533	86	0	0	10	0	76	0
Precinct 7321/7322 - Vote By Mail	11	22	2	9	132	216	0	1,533	455	0	5	58	0	392	0
Precinct 7321/7322	14	23	6	9	164	252	0	1,533	541	0	5	68	0	468	0
Precinct 7323/7319 - Election Day	14	9	4	8	21	112	0	1,967	190	0	0	22	0	168	0
Precinct 7323/7319 - Vote By Mail	29	8	5	28	71	305	0	1,967	498	0	0	52	0	446	0
Precinct 7323/7319	43	17	9	36	92	417	0	1,967	688	0	0	74	0	614	0
Precinct 7325/7324 - Election Day	8	8	2	6	16	88	0	1,588	145	0	0	17	0	128	0
Precinct 7325/7324 - Vote By Mail	24	14	5	11	58	264	0	1,588	425	0	1	48	0	376	0
Precinct 7325/7324	32	22	7	17	74	352	0	1,588	570	0	1	65	0	504	0
Precinct 7326/7337 - Election Day	7	8	5	6	22	98	0	1,709	164	0	0	18	0	146	0
