Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts	152,456	41,775	495,050	206,340	0	35	12,074	194,231
All Precincts - Election Day	45,329	10,685	495,050	59,414	0	7	3,393	56,014
All Precincts - Vote By Mail	107,127	31,090	495,050	146,926	0	28	8,681	138,217
Precinct 1101 - Election Day	35	13	557	54	0	0	6	48
Precinct 1101 - Vote By Mail	123	37	557	166	0	0	6	160
Precinct 1101	158	50	557	220	0	0	12	208
Precinct 1102 - Election Day	105	32	994	145	0	0	8	137
Precinct 1102 - Vote By Mail	212	86	994	304	0	0	6	298
Precinct 1102	317	118	994	449	0	0	14	435
Precinct 1103 - Election Day	79	27	962	111	0	0	5	106
Precinct 1103 - Vote By Mail	190	86	962	283	0	0	7	276
Precinct 1103	269	113	962	394	0	0	12	382
Precinct 1104/1105 - Election Day	76	25	1,012	109	0	0	8	101
Precinct 1104/1105 - Vote By Mail	200	61	1,012	271	0	0	10	261
Precinct 1104/1105	276	86	1,012	380	0	0	18	362
Precinct 1106/1107 - Election Day	116	46	1,505	168	0	0	6	162
Precinct 1106/1107 - Vote By Mail	283	124	1,505	435	0	0	28	407
Precinct 1106/1107	399	170	1,505	603	0	0	34	569
Precinct 1108 - Election Day	74	15	908	95	0	0	6	89
Precinct 1108 - Vote By Mail	187	62	908	272	0	0	23	249
Precinct 1108	261	77	908	367	0	0	29	338
Precinct 1109 - Election Day	70	16	805	93	0	0	7	86
Precinct 1109 - Vote By Mail	149	64	805	233	0	0	20	213
Precinct 1109	219	80	805	326	0	0	27	299
Precinct 1111 - Election Day	76	25	1,025	106	0	0	5	101
Precinct 1111 - Vote By Mail	199	84	1,025	303	0	0	20	283
Precinct 1111	275	109	1,025	409	0	0	25	384
Precinct 1112 - Election Day	46	12	770	65	0	0	7	58
Precinct 1112 - Vote By Mail	150	62	770	217	0	0	5	212
Precinct 1112	196	74	770	282	0	0	12	270
Precinct 1114/1113 - Election Day	87	30	1,741	129	0	0	12	117
Precinct 1114/1113 - Vote By Mail	344	130	1,741	501	0	0	27	474
Precinct 1114/1113	431	160	1,741	630	0	0	39	591
Precinct 1115/1116 - Election Day	120	35	1,838	165	0	0	10	155
Precinct 1115/1116 - Vote By Mail	295	146	1,838	467	0	0	26	441
Precinct 1115/1116	415	181	1,838	632	0	0	36	596
Precinct 1117/1123 - Election Day	99	43	1,771	155	0	0	13	142
Precinct 1117/1123 - Vote By Mail	283	135	1,771	443	0	0	25	418
Precinct 1117/1123	382	178	1,771	598	0	0	38	560
Precinct 1118 - Election Day	68	27	1,057	99	0	0	4	95
Precinct 1118 - Vote By Mail	204	97	1,057	319	0	0	18	301
Precinct 1118	272	124	1,057	418	0	0	22	396
Precinct 1119 - Election Day	52	9	771	66	0	0	5	61
Precinct 1119 - Vote By Mail	146	65	771	226	0	0	15	211
Precinct 1119	198	74	771	292	0	0	20	272
Precinct 1122 - Election Day	37	11	638	48	0	0	0	48
Precinct 1122 - Vote By Mail	105	66	638	188	0	0	17	171
Precinct 1122	142	77	638	236	0	0	17	219
Precinct 1124 - Election Day	48	14	812	64	0	0	2	62
Precinct 1124 - Vote By Mail	133	50	812	188	0	0	5	183
Precinct 1124	181	64	812	252	0	0	7	245
Precinct 1125 - Election Day	30	17	1,064	48	0	0	1	47
Precinct 1125 - Vote By Mail	169	85	1,064	271	0	0	17	254
Precinct 1125	199	102	1,064	319	0	0	18	301
Precinct 1126/1121 - Election Day	76	40	1,676	121	0	0	5	116
Precinct 1126/1121 - Vote By Mail	274	150	1,676	442	0	0	18	424
Precinct 1126/1121	350	190	1,676	563	0	0	23	540
Precinct 1127/1128 - Election Day	113	37	1,827	157	0	0	7	150
Precinct 1127/1128 - Vote By Mail	299	156	1,827	488	0	0	33	455
Precinct 1127/1128	412	193	1,827	645	0	0	40	605
Precinct 1129 - Election Day	50	28	1,018	85	0	0	7	78
Precinct 1129 - Vote By Mail	160	84	1,018	253	0	0	9	244
Precinct 1129	210	112	1,018	338	0	0	16	322
Precinct 1131 - Election Day	32	14	836	49	0	0	3	46
Precinct 1131 - Vote By Mail	125	85	836	226	0	0	16	210
Precinct 1131	157	99	836	275	0	0	19	256
Precinct 1132 - Election Day	36	10	1,010	47	0	0	1	46
Precinct 1132 - Vote By Mail	193	98	1,010	312	0	0	21	291
Precinct 1132	229	108	1,010	359	0	0	22	337
Precinct 1133 - Election Day	34	13	857	49	0	0	2	47
Precinct 1133 - Vote By Mail	178	62	857	255	0	0	15	240
Precinct 1133	212	75	857	304	0	0	17	287
Precinct 1134 - Election Day	53	13	762	70	0	0	4	66
Precinct 1134 - Vote By Mail	147	56	762	215	0	0	12	203
Precinct 1134	200	69	762	285	0	0	16	269
Precinct 1135 - Election Day	24	18	554	46	0	0	4	42
Precinct 1135 - Vote By Mail	114	67	554	195	0	0	14	181
Precinct 1135	138	85	554	241	0	0	18	223
Precinct 1136 - Election Day	32	19	847	53	0	0	2	51
Precinct 1136 - Vote By Mail	153	81	847	248	0	0	14	234
Precinct 1136	185	100	847	301	0	0	16	285
Precinct 1141 - Election Day	69	26	1,042	103	0	0	8	95
Precinct 1141 - Vote By Mail	202	93	1,042	306	0	0	11	295
Precinct 1141	271	119	1,042	409	0	0	19	390
Precinct 1143 - Election Day	85	15	1,024	109	0	0	9	100
Precinct 1143 - Vote By Mail	150	83	1,024	254	0	1	20	233
Precinct 1143	235	98	1,024	363	0	1	29	333
Precinct 1144/1142 - Election Day	119	49	1,804	177	0	0	9	168
Precinct 1144/1142 - Vote By Mail	359	123	1,804	514	0	0	32	482
Precinct 1144/1142	478	172	1,804	691	0	0	41	650
Precinct 1145 - Election Day	65	13	894	83	0	0	5	78
Precinct 1145 - Vote By Mail	198	82	894	297	0	0	17	280
Precinct 1145	263	95	894	380	0	0	22	358
Precinct 1146 - Election Day	66	17	1,008	83	0	0	0	83
Precinct 1146 - Vote By Mail	184	72	1,008	275	0	1	18	256
Precinct 1146	250	89	1,008	358	0	1	18	339
Precinct 1147 - Election Day	65	21	868	89	0	0	3	86
Precinct 1147 - Vote By Mail	167	51	868	235	0	0	17	218
Precinct 1147	232	72	868	324	0	0	20	304
Precinct 1148 - Election Day	68	19	1,002	100	0	0	13	87
Precinct 1148 - Vote By Mail	167	86	1,002	269	0	0	16	253
Precinct 1148	235	105	1,002	369	0	0	29	340
Precinct 1149 - Election Day	69	18	911	90	0	0	3	87
Precinct 1149 - Vote By Mail	154	69	911	237	0	0	14	223
Precinct 1149	223	87	911	327	0	0	17	310
Precinct 1151 MB - Election Day	0	0	0	0	0	0	0	0
Precinct 1151 MB - Vote By Mail	0	0	0	0	0	0	0	0
Precinct 1151 MB	0	0	0	0	0	0	0	0
Precinct 1152/1153 - Election Day	93	57	1,815	155	0	0	5	150
Precinct 1152/1153 - Vote By Mail	334	136	1,815	499	0	1	28	470
Precinct 1152/1153	427	193	1,815	654	0	1	33	620
Precinct 1154 MB - Election Day	0	0	0	0	0	0	0	0
