Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts	151,023	45,384	495,050	206,340	0	28	9,905	196,407
All Precincts - Election Day	44,143	12,569	495,050	59,414	0	8	2,694	56,712
All Precincts - Vote By Mail	106,880	32,815	495,050	146,926	0	20	7,211	139,695
Precinct 1101 - Election Day	46	4	557	54	0	0	4	50
Precinct 1101 - Vote By Mail	134	25	557	166	0	0	7	159
Precinct 1101	180	29	557	220	0	0	11	209
Precinct 1102 - Election Day	114	25	994	145	0	0	6	139
Precinct 1102 - Vote By Mail	228	68	994	304	0	0	8	296
Precinct 1102	342	93	994	449	0	0	14	435
Precinct 1103 - Election Day	84	24	962	111	0	0	3	108
Precinct 1103 - Vote By Mail	219	54	962	283	0	0	10	273
Precinct 1103	303	78	962	394	0	0	13	381
Precinct 1104/1105 - Election Day	72	30	1,012	109	0	0	7	102
Precinct 1104/1105 - Vote By Mail	213	50	1,012	271	0	0	8	263
Precinct 1104/1105	285	80	1,012	380	0	0	15	365
Precinct 1106/1107 - Election Day	118	43	1,505	168	0	0	7	161
Precinct 1106/1107 - Vote By Mail	303	111	1,505	435	0	1	20	414
Precinct 1106/1107	421	154	1,505	603	0	1	27	575
Precinct 1108 - Election Day	68	23	908	95	0	0	4	91
Precinct 1108 - Vote By Mail	203	44	908	272	0	0	25	247
Precinct 1108	271	67	908	367	0	0	29	338
Precinct 1109 - Election Day	65	24	805	93	0	0	4	89
Precinct 1109 - Vote By Mail	176	38	805	233	0	0	19	214
Precinct 1109	241	62	805	326	0	0	23	303
Precinct 1111 - Election Day	81	22	1,025	106	0	0	3	103
Precinct 1111 - Vote By Mail	221	70	1,025	303	0	0	12	291
Precinct 1111	302	92	1,025	409	0	0	15	394
Precinct 1112 - Election Day	53	9	770	65	0	0	3	62
Precinct 1112 - Vote By Mail	154	57	770	217	0	0	6	211
Precinct 1112	207	66	770	282	0	0	9	273
Precinct 1114/1113 - Election Day	88	31	1,741	129	0	0	10	119
