Subtotal Area	PAUL MIYAMOTO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Ballots Counted	Writein Votes
All Precincts	146,611	495,050	206,085	0	37	59,435	0	146,613	2
All Precincts - Election Day	42,527	495,050	59,423	0	10	16,885	0	42,528	1
All Precincts - Vote By Mail	104,084	495,050	146,662	0	27	42,550	0	104,085	1
Precinct 1101 - Election Day	44	557	54	0	0	10	0	44	0
Precinct 1101 - Vote By Mail	137	557	165	0	0	28	0	137	0
Precinct 1101	181	557	219	0	0	38	0	181	0
Precinct 1102 - Election Day	105	994	145	0	0	40	0	105	0
Precinct 1102 - Vote By Mail	223	994	304	0	0	81	0	223	0
Precinct 1102	328	994	449	0	0	121	0	328	0
Precinct 1103 - Election Day	77	962	111	0	0	34	0	77	0
Precinct 1103 - Vote By Mail	209	962	283	0	0	74	0	209	0
Precinct 1103	286	962	394	0	0	108	0	286	0
Precinct 1104/1105 - Election Day	80	1,012	109	0	0	29	0	80	0
Precinct 1104/1105 - Vote By Mail	191	1,012	271	0	0	80	0	191	0
Precinct 1104/1105	271	1,012	380	0	0	109	0	271	0
Precinct 1106/1107 - Election Day	129	1,505	168	0	1	38	0	129	0
Precinct 1106/1107 - Vote By Mail	307	1,505	435	0	0	128	0	307	0
Precinct 1106/1107	436	1,505	603	0	1	166	0	436	0
Precinct 1108 - Election Day	79	908	95	0	0	16	0	79	0
Precinct 1108 - Vote By Mail	186	908	273	0	0	87	0	186	0
Precinct 1108	265	908	368	0	0	103	0	265	0
Precinct 1109 - Election Day	67	805	93	0	0	26	0	67	0
Precinct 1109 - Vote By Mail	165	805	233	0	0	68	0	165	0
Precinct 1109	232	805	326	0	0	94	0	232	0
Precinct 1111 - Election Day	76	1,025	106	0	0	30	0	76	0
Precinct 1111 - Vote By Mail	197	1,025	300	0	0	103	0	197	0
Precinct 1111	273	1,025	406	0	0	133	0	273	0
Precinct 1112 - Election Day	46	770	65	0	0	19	0	46	0
Precinct 1112 - Vote By Mail	171	770	221	0	0	50	0	171	0
Precinct 1112	217	770	286	0	0	69	0	217	0
Precinct 1114/1113 - Election Day	89	1,741	129	0	0	40	0	89	0
Precinct 1114/1113 - Vote By Mail	346	1,741	498	0	1	151	0	346	0
Precinct 1114/1113	435	1,741	627	0	1	191	0	435	0
Precinct 1115/1116 - Election Day	112	1,838	165	0	0	53	0	112	0
Precinct 1115/1116 - Vote By Mail	340	1,838	467	0	0	127	0	340	0
Precinct 1115/1116	452	1,838	632	0	0	180	0	452	0
Precinct 1117/1123 - Election Day	115	1,771	155	0	0	40	0	115	0
Precinct 1117/1123 - Vote By Mail	321	1,771	442	0	1	120	0	321	0
Precinct 1117/1123	436	1,771	597	0	1	160	0	436	0
Precinct 1118 - Election Day	74	1,057	99	0	0	25	0	74	0
Precinct 1118 - Vote By Mail	229	1,057	320	0	1	90	0	229	0
Precinct 1118	303	1,057	419	0	1	115	0	303	0
Precinct 1119 - Election Day	46	771	67	0	0	21	0	46	0
Precinct 1119 - Vote By Mail	163	771	226	0	0	63	0	163	0
Precinct 1119	209	771	293	0	0	84	0	209	0
Precinct 1122 - Election Day	39	638	49	0	0	10	0	39	0
Precinct 1122 - Vote By Mail	125	638	188	0	0	63	0	125	0
Precinct 1122	164	638	237	0	0	73	0	164	0
Precinct 1124 - Election Day	44	812	64	0	0	20	0	44	0
Precinct 1124 - Vote By Mail	146	812	188	0	0	42	0	146	0
Precinct 1124	190	812	252	0	0	62	0	190	0
Precinct 1125 - Election Day	33	1,064	48	0	0	15	0	33	0
Precinct 1125 - Vote By Mail	219	1,064	270	0	0	51	0	219	0
Precinct 1125	252	1,064	318	0	0	66	0	252	0
Precinct 1126/1121 - Election Day	87	1,676	122	0	0	35	0	87	0
Precinct 1126/1121 - Vote By Mail	331	1,676	441	0	0	110	0	331	0
Precinct 1126/1121	418	1,676	563	0	0	145	0	418	0
Precinct 1127/1128 - Election Day	117	1,827	157	0	0	40	0	117	0
Precinct 1127/1128 - Vote By Mail	367	1,827	489	0	0	122	0	367	0
Precinct 1127/1128	484	1,827	646	0	0	162	0	484	0
Precinct 1129 - Election Day	66	1,018	86	0	0	20	0	66	0
Precinct 1129 - Vote By Mail	192	1,018	253	0	0	61	0	192	0
Precinct 1129	258	1,018	339	0	0	81	0	258	0
Precinct 1131 - Election Day	36	836	49	0	0	13	0	36	0
Precinct 1131 - Vote By Mail	170	836	227	0	0	57	0	170	0
Precinct 1131	206	836	276	0	0	70	0	206	0
Precinct 1132 - Election Day	38	1,010	47	0	0	9	0	38	0
Precinct 1132 - Vote By Mail	198	1,010	312	0	0	114	0	198	0
Precinct 1132	236	1,010	359	0	0	123	0	236	0
Precinct 1133 - Election Day	33	857	49	0	0	16	0	33	0
Precinct 1133 - Vote By Mail	191	857	255	0	0	64	0	191	0
Precinct 1133	224	857	304	0	0	80	0	224	0
Precinct 1134 - Election Day	51	762	70	0	0	19	0	51	0
Precinct 1134 - Vote By Mail	156	762	215	0	0	59	0	156	0
Precinct 1134	207	762	285	0	0	78	0	207	0
Precinct 1135 - Election Day	35	554	46	0	0	11	0	35	0
Precinct 1135 - Vote By Mail	127	554	195	0	0	68	0	127	0
Precinct 1135	162	554	241	0	0	79	0	162	0
Precinct 1136 - Election Day	38	847	53	0	0	15	0	38	0
Precinct 1136 - Vote By Mail	165	847	246	0	0	81	0	165	0
Precinct 1136	203	847	299	0	0	96	0	203	0
Precinct 1141 - Election Day	73	1,042	103	0	0	30	0	73	0
Precinct 1141 - Vote By Mail	227	1,042	308	0	0	81	0	227	0
Precinct 1141	300	1,042	411	0	0	111	0	300	0
Precinct 1143 - Election Day	83	1,024	110	0	0	27	0	83	0
Precinct 1143 - Vote By Mail	178	1,024	256	0	2	76	0	178	0
Precinct 1143	261	1,024	366	0	2	103	0	261	0
Precinct 1144/1142 - Election Day	125	1,804	177	0	0	52	0	125	0
Precinct 1144/1142 - Vote By Mail	330	1,804	513	0	0	183	0	330	0
Precinct 1144/1142	455	1,804	690	0	0	235	0	455	0
Precinct 1145 - Election Day	56	894	83	0	0	27	0	56	0
Precinct 1145 - Vote By Mail	211	894	296	0	0	85	0	211	0
Precinct 1145	267	894	379	0	0	112	0	267	0
Precinct 1146 - Election Day	57	1,008	84	0	0	27	0	57	0
Precinct 1146 - Vote By Mail	202	1,008	275	0	0	73	0	202	0
Precinct 1146	259	1,008	359	0	0	100	0	259	0
Precinct 1147 - Election Day	61	868	89	0	0	28	0	61	0
Precinct 1147 - Vote By Mail	175	868	235	0	0	60	0	175	0
Precinct 1147	236	868	324	0	0	88	0	236	0
Precinct 1148 - Election Day	68	1,002	100	0	0	32	0	68	0
Precinct 1148 - Vote By Mail	210	1,002	268	0	0	58	0	210	0
Precinct 1148	278	1,002	368	0	0	90	0	278	0
Precinct 1149 - Election Day	64	911	90	0	0	26	0	64	0
Precinct 1149 - Vote By Mail	175	911	239	0	0	64	0	175	0
Precinct 1149	239	911	329	0	0	90	0	239	0
Precinct 1152/1153 - Election Day	117	1,815	155	0	0	38	0	117	0
Precinct 1152/1153 - Vote By Mail	363	1,815	497	0	0	134	0	363	0
Precinct 1152/1153	480	1,815	652	0	0	172	0	480	0
Precinct 7001 - Election Day	41	752	59	0	0	18	0	41	0
Precinct 7001 - Vote By Mail	166	752	230	0	0	64	0	166	0
Precinct 7001	207	752	289	0	0	82	0	207	0
Precinct 7002 - Election Day	45	659	61	0	0	16	0	45	0
Precinct 7002 - Vote By Mail	107	659	151	0	0	44	0	107	0
Precinct 7002	152	659	212	0	0	60	0	152	0
Precinct 7003/7004 - Election Day	160	1,755	233	0	0	73	0	160	0
Precinct 7003/7004 - Vote By Mail	416	1,755	606	0	0	190	0	416	0
Precinct 7003/7004	576	1,755	839	0	0	263	0	576	0
Precinct 7005 - Election Day	87	850	124	0	0	37	0	87	0
Precinct 7005 - Vote By Mail	177	850	280	0	0	103	0	177	0
Precinct 7005	264	850	404	0	0	140	0	264	0
Precinct 7006 - Election Day	79	921	135	0	0	56	0	79	0
Precinct 7006 - Vote By Mail	166	921	264	0	0	98	0	166	0
Precinct 7006	245	921	399	0	0	154	0	245	0
Precinct 7007/7008 - Election Day	202	1,821	269	0	0	67	0	202	0
Precinct 7007/7008 - Vote By Mail	423	1,821	607	0	0	184	0	423	0
Precinct 7007/7008	625	1,821	876	0	0	251	0	625	0
Precinct 7009 - Election Day	51	874	74	0	0	23	0	51	0
Precinct 7009 - Vote By Mail	212	874	316	0	0	104	0	212	0
Precinct 7009	263	874	390	0	0	127	0	263	0
Precinct 7011 - Election Day	66	951	85	0	0	19	0	66	0
Precinct 7011 - Vote By Mail	122	951	168	0	0	46	0	122	0
Precinct 7011	188	951	253	0	0	65	0	188	0
Precinct 7012 - Election Day	114	1,165	149	0	0	35	0	114	0
Precinct 7012 - Vote By Mail	249	1,165	362	0	0	113	0	249	0
Precinct 7012	363	1,165	511	0	0	148	0	363	0
Precinct 7013 - Election Day	65	1,033	93	0	0	28	0	65	0
Precinct 7013 - Vote By Mail	199	1,033	283	0	0	84	0	199	0
Precinct 7013	264	1,033	376	0	0	112	0	264	0
Precinct 7014/7056 - Election Day	109	1,388	136	0	0	27	0	109	0
Precinct 7014/7056 - Vote By Mail	298	1,388	416	0	0	118	0	298	0
Precinct 7014/7056	407	1,388	552	0	0	145	0	407	0
Precinct 7015 MB - Election Day	1	104	1	0	0	0	0	1	0
Precinct 7015 MB - Vote By Mail	23	104	25	0	0	2	0	23	0
Precinct 7015 MB	24	104	26	0	0	2	0	24	0
Precinct 7016 - Election Day	51	912	75	0	0	24	0	51	0
Precinct 7016 - Vote By Mail	118	912	173	0	0	55	0	118	0
Precinct 7016	169	912	248	0	0	79	0	169	0
Precinct 7017 - Election Day	38	781	49	0	0	11	0	38	0
Precinct 7017 - Vote By Mail	100	781	142	0	0	42	0	100	0
Precinct 7017	138	781	191	0	0	53	0	138	0
Precinct 7019/7018 - Election Day	89	1,908	121	0	0	32	0	89	0
Precinct 7019/7018 - Vote By Mail	425	1,908	554	0	0	129	0	425	0
Precinct 7019/7018	514	1,908	675	0	0	161	0	514	0
Precinct 7021 - Election Day	66	955	96	0	0	30	0	66	0
Precinct 7021 - Vote By Mail	156	955	212	0	0	56	0	156	0
Precinct 7021	222	955	308	0	0	86	0	222	0
Precinct 7022 - Election Day	70	943	94	0	0	24	0	70	0
Precinct 7022 - Vote By Mail	148	943	216	0	0	68	0	148	0
Precinct 7022	218	943	310	0	0	92	0	218	0
Precinct 7024 - Election Day	27	448	39	0	0	12	0	27	0
Precinct 7024 - Vote By Mail	27	448	34	0	0	7	0	27	0
Precinct 7024	54	448	73	0	0	19	0	54	0
Precinct 7025 - Election Day	22	473	34	0	0	12	0	22	0
Precinct 7025 - Vote By Mail	38	473	58	0	0	20	0	38	0
Precinct 7025	60	473	92	0	0	32	0	60	0
Precinct 7026 - Election Day	44	1,009	57	0	0	13	0	44	0
Precinct 7026 - Vote By Mail	208	1,009	301	0	0	93	0	208	0
Precinct 7026	252	1,009	358	0	0	106	0	252	0
Precinct 7027 - Election Day	68	883	85	0	0	17	0	68	0
Precinct 7027 - Vote By Mail	158	883	230	0	0	72	0	158	0
Precinct 7027	226	883	315	0	0	89	0	226	0
Precinct 7028 - Election Day	85	849	114	0	0	29	0	85	0
Precinct 7028 - Vote By Mail	119	849	169	0	0	50	0	119	0
Precinct 7028	204	849	283	0	0	79	0	204	0
Precinct 7029/7023 - Election Day	107	1,812	146	0	0	39	0	107	0
Precinct 7029/7023 - Vote By Mail	302	1,812	385	0	0	83	0	302	0
Precinct 7029/7023	409	1,812	531	0	0	122	0	409	0
Precinct 7030 - Election Day	40	787	54	0	0	14	0	40	0
Precinct 7030 - Vote By Mail	163	787	242	0	0	79	0	163	0
Precinct 7030	203	787	296	0	0	93	0	203	0
Precinct 7031 - Election Day	30	680	37	0	0	7	0	30	0
Precinct 7031 - Vote By Mail	145	680	211	0	0	66	0	145	0
Precinct 7031	175	680	248	0	0	73	0	175	0
Precinct 7032 - Election Day	44	876	70	0	0	26	0	44	0
Precinct 7032 - Vote By Mail	159	876	212	0	0	53	0	159	0
Precinct 7032	203	876	282	0	0	79	0	203	0
Precinct 7033 - Election Day	62	770	88	0	0	26	0	62	0
Precinct 7033 - Vote By Mail	135	770	164	0	0	29	0	135	0
Precinct 7033	197	770	252	0	0	55	0	197	0
Precinct 7034 - Election Day	48	954	64	0	0	16	0	48	0
Precinct 7034 - Vote By Mail	91	954	119	0	0	28	0	91	0
Precinct 7034	139	954	183	0	0	44	0	139	0
Precinct 7035 - Election Day	32	681	46	0	0	14	0	32	0
Precinct 7035 - Vote By Mail	134	681	180	0	0	46	0	134	0
Precinct 7035	166	681	226	0	0	60	0	166	0
Precinct 7037/7036 - Election Day	56	1,676	80	0	0	24	0	56	0
Precinct 7037/7036 - Vote By Mail	205	1,676	268	0	0	63	0	205	0
Precinct 7037/7036	261	1,676	348	0	0	87	0	261	0
Precinct 7038 - Election Day	34	924	49	0	0	15	0	34	0
Precinct 7038 - Vote By Mail	174	924	243	0	0	69	0	174	0
Precinct 7038	208	924	292	0	0	84	0	208	0
Precinct 7039 - Election Day	61	830	84	0	0	23	0	61	0
Precinct 7039 - Vote By Mail	138	830	197	0	0	59	0	138	0
Precinct 7039	199	830	281	0	0	82	0	199	0
Precinct 7041 MB - Election Day	0	60	0	0	0	0	0	0	0
Precinct 7041 MB - Vote By Mail	11	60	13	0	0	2	0	11	0
Precinct 7041 MB	11	60	13	0	0	2	0	11	0
Precinct 7042/7046 - Election Day	72	1,069	92	0	0	20	0	72	0
Precinct 7042/7046 - Vote By Mail	195	1,069	265	0	0	70	0	195	0
Precinct 7042/7046	267	1,069	357	0	0	90	0	267	0
Precinct 7043 - Election Day	45	961	61	0	0	16	0	45	0
Precinct 7043 - Vote By Mail	150	961	226	0	0	76	0	150	0
Precinct 7043	195	961	287	0	0	92	0	195	0
Precinct 7044 - Election Day	20	844	42	0	0	22	0	20	0
Precinct 7044 - Vote By Mail	87	844	115	0	0	28	0	87	0
Precinct 7044	107	844	157	0	0	50	0	107	0
Precinct 7045 - Election Day	35	783	49	0	0	14	0	35	0
Precinct 7045 - Vote By Mail	180	783	242	0	0	62	0	180	0
Precinct 7045	215	783	291	0	0	76	0	215	0
Precinct 7047/7051 - Election Day	64	1,727	102	0	0	38	0	64	0
Precinct 7047/7051 - Vote By Mail	354	1,727	507	0	1	152	0	354	0
Precinct 7047/7051	418	1,727	609	0	1	190	0	418	0
Precinct 7048 - Election Day	42	870	53	0	0	11	0	42	0
Precinct 7048 - Vote By Mail	165	870	209	0	0	44	0	165	0
Precinct 7048	207	870	262	0	0	55	0	207	0
Precinct 7049 - Election Day	55	815	68	0	0	13	0	55	0
Precinct 7049 - Vote By Mail	142	815	200	0	0	58	0	142	0
Precinct 7049	197	815	268	0	0	71	0	197	0
Precinct 7052 - Election Day	71	878	87	0	0	16	0	71	0
Precinct 7052 - Vote By Mail	178	878	247	0	0	69	0	178	0
Precinct 7052	249	878	334	0	0	85	0	249	0
Precinct 7053 - Election Day	27	568	38	0	0	11	0	27	0
Precinct 7053 - Vote By Mail	112	568	145	0	0	33	0	112	0
Precinct 7053	139	568	183	0	0	44	0	139	0
Precinct 7054 - Election Day	64	1,111	87	0	0	23	0	64	0
Precinct 7054 - Vote By Mail	189	1,111	243	0	0	54	0	189	0
Precinct 7054	253	1,111	330	0	0	77	0	253	0
Precinct 7055 - Election Day	26	799	37	0	0	11	0	26	0
Precinct 7055 - Vote By Mail	147	799	227	0	0	80	0	147	0
Precinct 7055	173	799	264	0	0	91	0	173	0
Precinct 7101 MB - Election Day	0	152	1	0	0	1	0	0	0
Precinct 7101 MB - Vote By Mail	63	152	77	0	0	14	0	63	0
Precinct 7101 MB	63	152	78	0	0	15	0	63	0
Precinct 7202/7201 - Election Day	115	1,747	156	0	0	41	0	115	0
Precinct 7202/7201 - Vote By Mail	360	1,747	482	0	0	122	0	360	0
Precinct 7202/7201	475	1,747	638	0	0	163	0	475	0
Precinct 7203 - Election Day	70	867	103	0	0	33	0	70	0
Precinct 7203 - Vote By Mail	141	867	203	0	0	62	0	141	0
Precinct 7203	211	867	306	0	0	95	0	211	0
Precinct 7204 - Election Day	78	890	100	0	0	22	0	78	0
Precinct 7204 - Vote By Mail	224	890	294	0	0	70	0	224	0
Precinct 7204	302	890	394	0	0	92	0	302	0
Precinct 7205 - Election Day	81	862	108	0	0	27	0	81	0
Precinct 7205 - Vote By Mail	194	862	268	0	0	74	0	194	0
Precinct 7205	275	862	376	0	0	101	0	275	0
Precinct 7207/7209 - Election Day	97	1,483	126	0	0	29	0	97	0
Precinct 7207/7209 - Vote By Mail	410	1,483	551	0	0	141	0	410	0
Precinct 7207/7209	507	1,483	677	0	0	170	0	507	0
Precinct 7208 - Election Day	31	560	48	0	0	17	0	31	0
Precinct 7208 - Vote By Mail	117	560	159	0	0	42	0	117	0
Precinct 7208	148	560	207	0	0	59	0	148	0
Precinct 7301/7304 - Election Day	143	1,993	200	0	0	57	0	143	0
Precinct 7301/7304 - Vote By Mail	401	1,993	553	0	0	152	0	401	0
Precinct 7301/7304	544	1,993	753	0	0	209	0	544	0
Precinct 7302 - Election Day	80	838	98	0	0	18	0	80	0
Precinct 7302 - Vote By Mail	229	838	312	0	0	83	0	229	0
Precinct 7302	309	838	410	0	0	101	0	309	0
Precinct 7305/7307 - Election Day	159	1,633	223	0	0	64	0	159	0
Precinct 7305/7307 - Vote By Mail	352	1,633	494	0	0	142	0	352	0
Precinct 7305/7307	511	1,633	717	0	0	206	0	511	0
Precinct 7306/7303 - Election Day	149	2,083	208	0	0	59	0	149	0
Precinct 7306/7303 - Vote By Mail	371	2,083	533	0	0	162	0	371	0
Precinct 7306/7303	520	2,083	741	0	0	221	0	520	0
Precinct 7308 - Election Day	74	614	98	0	0	24	0	74	0
Precinct 7308 - Vote By Mail	130	614	181	0	0	51	0	130	0
Precinct 7308	204	614	279	0	0	75	0	204	0
Precinct 7311 - Election Day	96	866	124	0	0	28	0	96	0
Precinct 7311 - Vote By Mail	180	866	246	0	1	65	0	180	0
Precinct 7311	276	866	370	0	1	93	0	276	0
Precinct 7312 - Election Day	76	801	91	0	0	15	0	76	0
Precinct 7312 - Vote By Mail	225	801	288	0	0	63	0	225	0
Precinct 7312	301	801	379	0	0	78	0	301	0
Precinct 7314/7313 - Election Day	102	1,749	142	0	0	40	0	102	0
Precinct 7314/7313 - Vote By Mail	333	1,749	501	0	0	168	0	333	0
Precinct 7314/7313	435	1,749	643	0	0	208	0	435	0
Precinct 7315/7316 - Election Day	128	1,584	175	0	0	47	0	128	0
Precinct 7315/7316 - Vote By Mail	256	1,584	359	0	0	103	0	256	0
Precinct 7315/7316	384	1,584	534	0	0	150	0	384	0
Precinct 7317 - Election Day	63	875	83	0	0	20	0	63	0
Precinct 7317 - Vote By Mail	212	875	299	0	0	87	0	212	0
Precinct 7317	275	875	382	0	0	107	0	275	0
Precinct 7318/7309 - Election Day	112	1,567	142	0	0	30	0	112	0
Precinct 7318/7309 - Vote By Mail	323	1,567	427	0	0	104	0	323	0
Precinct 7318/7309	435	1,567	569	0	0	134	0	435	0
Precinct 7321/7322 - Election Day	58	1,533	86	0	0	28	0	58	0
Precinct 7321/7322 - Vote By Mail	298	1,533	455	0	0	157	0	298	0
Precinct 7321/7322	356	1,533	541	0	0	185	0	356	0
Precinct 7323/7319 - Election Day	141	1,967	190	0	0	49	0	141	0
