Subtotal Area	IVY LEE	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 1126/1121 - Vote By Mail	355	1,676	442	0	0	87	355	0
Precinct 1126/1121	455	1,676	563	0	0	108	455	0
Precinct 1127/1128 - Election Day	129	1,827	157	0	0	28	129	0
Precinct 1127/1128 - Vote By Mail	395	1,827	488	0	0	93	395	0
Precinct 1127/1128	524	1,827	645	0	0	121	524	0
Precinct 1129 - Election Day	69	1,018	85	0	0	16	69	0
Precinct 1129 - Vote By Mail	208	1,018	253	0	0	45	208	0
Precinct 1129	277	1,018	338	0	0	61	277	0
Precinct 1131 - Election Day	42	836	49	0	0	7	42	0
Precinct 1131 - Vote By Mail	173	836	226	0	0	53	173	0
Precinct 1131	215	836	275	0	0	60	215	0
Precinct 1132 - Election Day	43	1,010	47	0	0	4	43	0
Precinct 1132 - Vote By Mail	228	1,010	312	0	1	83	228	0
Precinct 1132	271	1,010	359	0	1	87	271	0
Precinct 1133 - Election Day	36	857	49	0	0	13	36	0
Precinct 1133 - Vote By Mail	202	857	255	0	1	52	202	0
Precinct 1133	238	857	304	0	1	65	238	0
Precinct 1134 - Election Day	59	762	70	0	0	11	59	0
Precinct 1134 - Vote By Mail	171	762	215	0	0	44	171	0
Precinct 1134	230	762	285	0	0	55	230	0
Precinct 1135 - Election Day	42	554	46	0	0	4	42	0
Precinct 1135 - Vote By Mail	149	554	195	0	0	46	149	0
Precinct 1135	191	554	241	0	0	50	191	0
Precinct 1136 - Election Day	43	847	53	0	0	10	43	0
Precinct 1136 - Vote By Mail	183	847	248	0	0	65	183	0
Precinct 1136	226	847	301	0	0	75	226	0
Precinct 1141 - Election Day	86	1,042	103	0	0	17	86	0
Precinct 1141 - Vote By Mail	237	1,042	306	0	0	69	237	0
Precinct 1141	323	1,042	409	0	0	86	323	0
Precinct 1143 - Election Day	96	1,024	109	0	0	13	96	0
Precinct 1143 - Vote By Mail	194	1,024	254	0	2	58	194	0
Precinct 1143	290	1,024	363	0	2	71	290	0
Precinct 1144/1142 - Election Day	146	1,804	177	0	0	31	146	0
Precinct 1144/1142 - Vote By Mail	384	1,804	514	0	0	130	384	0
Precinct 1144/1142	530	1,804	691	0	0	161	530	0
Precinct 1145 - Election Day	68	894	83	0	0	15	68	0
Precinct 1145 - Vote By Mail	229	894	297	0	0	68	229	0
Precinct 1145	297	894	380	0	0	83	297	0
Precinct 1146 - Election Day	70	1,008	83	0	0	13	70	0
Precinct 1146 - Vote By Mail	220	1,008	275	0	0	55	220	0
Precinct 1146	290	1,008	358	0	0	68	290	0
Precinct 1147 - Election Day	72	868	89	0	0	17	72	0
Precinct 1147 - Vote By Mail	192	868	235	0	0	43	192	0
Precinct 1147	264	868	324	0	0	60	264	0
Precinct 1148 - Election Day	77	1,002	100	0	0	23	77	0
Precinct 1148 - Vote By Mail	196	1,002	269	0	0	73	196	0
Precinct 1148	273	1,002	369	0	0	96	273	0
Precinct 1149 - Election Day	74	911	90	0	0	16	74	0
Precinct 1149 - Vote By Mail	181	911	237	0	0	56	181	0
Precinct 1149	255	911	327	0	0	72	255	0
Precinct 1151 MB - Election Day	0	0	0	0	0	0	0	0
Precinct 1151 MB - Vote By Mail	0	0	0	0	0	0	0	0
Precinct 1151 MB	0	0	0	0	0	0	0	0
Precinct 1152/1153 - Election Day	125	1,815	155	0	0	30	125	0
Precinct 1152/1153 - Vote By Mail	392	1,815	499	0	0	107	392	0
Precinct 1152/1153	517	1,815	654	0	0	137	517	0
Precinct 1154 MB - Election Day	0	0	0	0	0	0	0	0
Precinct 1154 MB - Vote By Mail	0	0	0	0	0	0	0	0
Precinct 1154 MB	0	0	0	0	0	0	0	0
Precinct 7001 - Election Day	50	752	59	0	0	9	50	0
Precinct 7001 - Vote By Mail	193	752	232	0	0	39	193	0
Precinct 7001	243	752	291	0	0	48	243	0
Precinct 7002 - Election Day	54	659	61	0	0	7	54	0
Precinct 7002 - Vote By Mail	115	659	151	0	0	36	115	0
Precinct 7002	169	659	212	0	0	43	169	0
Precinct 7003/7004 - Election Day	190	1,755	233	0	0	43	190	0
Precinct 7003/7004 - Vote By Mail	453	1,755	606	0	0	153	453	0
Precinct 7003/7004	643	1,755	839	0	0	196	643	0
Precinct 7005 - Election Day	101	850	124	0	0	23	101	0
Precinct 7005 - Vote By Mail	202	850	280	0	0	78	202	0
Precinct 7005	303	850	404	0	0	101	303	0
Precinct 7006 - Election Day	110	921	135	0	0	25	110	0
Precinct 7006 - Vote By Mail	197	921	263	0	0	66	197	0
Precinct 7006	307	921	398	0	0	91	307	0
Precinct 7007/7008 - Election Day	214	1,821	269	0	0	55	214	0
Precinct 7007/7008 - Vote By Mail	425	1,821	608	0	0	183	425	0
Precinct 7007/7008	639	1,821	877	0	0	238	639	0
Precinct 7009 - Election Day	52	874	74	0	0	22	52	0
Precinct 7009 - Vote By Mail	242	874	317	0	0	75	242	0
Precinct 7009	294	874	391	0	0	97	294	0
Precinct 7011 - Election Day	70	951	87	0	0	17	70	0
Precinct 7011 - Vote By Mail	122	951	168	0	0	46	122	0
Precinct 7011	192	951	255	0	0	63	192	0
Precinct 7012 - Election Day	122	1,165	149	0	0	27	122	0
Precinct 7012 - Vote By Mail	268	1,165	366	0	0	98	268	0
Precinct 7012	390	1,165	515	0	0	125	390	0
Precinct 7013 - Election Day	74	1,033	93	0	0	19	74	0
Precinct 7013 - Vote By Mail	222	1,033	283	0	0	61	222	0
Precinct 7013	296	1,033	376	0	0	80	296	0
Precinct 7014/7056 - Election Day	116	1,388	136	0	0	20	116	0
Precinct 7014/7056 - Vote By Mail	311	1,388	417	0	0	106	311	0
Precinct 7014/7056	427	1,388	553	0	0	126	427	0
Precinct 7015 MB - Election Day	1	104	1	0	0	0	1	0
Precinct 7015 MB - Vote By Mail	21	104	25	0	0	4	21	0
Precinct 7015 MB	22	104	26	0	0	4	22	0
Precinct 7016 - Election Day	59	912	75	0	0	16	59	0
Precinct 7016 - Vote By Mail	140	912	174	0	0	34	140	0
Precinct 7016	199	912	249	0	0	50	199	0
Precinct 7017 - Election Day	38	781	50	0	0	12	38	0
Precinct 7017 - Vote By Mail	105	781	143	0	0	38	105	0
Precinct 7017	143	781	193	0	0	50	143	0
Precinct 7019/7018 - Election Day	100	1,908	121	0	0	21	100	0
Precinct 7019/7018 - Vote By Mail	431	1,908	558	0	1	126	431	0
Precinct 7019/7018	531	1,908	679	0	1	147	531	0
Precinct 7021 - Election Day	68	955	96	0	0	28	68	0
Precinct 7021 - Vote By Mail	170	955	212	0	0	42	170	0
Precinct 7021	238	955	308	0	0	70	238	0
Precinct 7022 - Election Day	71	943	94	0	0	23	71	0
Precinct 7022 - Vote By Mail	162	943	215	0	0	53	162	0
Precinct 7022	233	943	309	0	0	76	233	0
Precinct 7024 - Election Day	30	448	39	0	0	9	30	0
Precinct 7024 - Vote By Mail	30	448	34	0	0	4	30	0
Precinct 7024	60	448	73	0	0	13	60	0
Precinct 7025 - Election Day	24	473	34	0	1	9	24	0
Precinct 7025 - Vote By Mail	42	473	58	0	0	16	42	0
Precinct 7025	66	473	92	0	1	25	66	0
Precinct 7026 - Election Day	46	1,009	56	0	1	9	46	0
Precinct 7026 - Vote By Mail	241	1,009	303	0	0	62	241	0
Precinct 7026	287	1,009	359	0	1	71	287	0
Precinct 7027 - Election Day	73	883	86	0	0	13	73	0
Precinct 7027 - Vote By Mail	173	883	230	0	0	57	173	0
Precinct 7027	246	883	316	0	0	70	246	0
Precinct 7028 - Election Day	89	849	114	0	1	24	89	0
Precinct 7028 - Vote By Mail	132	849	168	0	0	36	132	0
Precinct 7028	221	849	282	0	1	60	221	0
Precinct 7029/7023 - Election Day	114	1,812	146	0	0	32	114	0
Precinct 7029/7023 - Vote By Mail	309	1,812	385	0	0	76	309	0
Precinct 7029/7023	423	1,812	531	0	0	108	423	0
Precinct 7030 - Election Day	43	787	54	0	0	11	43	0
Precinct 7030 - Vote By Mail	186	787	243	0	1	56	186	0
Precinct 7030	229	787	297	0	1	67	229	0
Precinct 7031 - Election Day	31	680	37	0	0	6	31	0
Precinct 7031 - Vote By Mail	156	680	210	0	0	54	156	0
Precinct 7031	187	680	247	0	0	60	187	0
Precinct 7032 - Election Day	44	876	70	0	0	26	44	0
Precinct 7032 - Vote By Mail	166	876	212	0	0	46	166	0
Precinct 7032	210	876	282	0	0	72	210	0
Precinct 7033 - Election Day	67	770	88	0	1	20	67	0
Precinct 7033 - Vote By Mail	133	770	164	0	0	31	133	0
Precinct 7033	200	770	252	0	1	51	200	0
Precinct 7034 - Election Day	51	954	61	0	0	10	51	0
Precinct 7034 - Vote By Mail	91	954	119	0	1	27	91	0
Precinct 7034	142	954	180	0	1	37	142	0
Precinct 7035 - Election Day	39	681	46	0	0	7	39	0
Precinct 7035 - Vote By Mail	142	681	181	0	0	39	142	0
Precinct 7035	181	681	227	0	0	46	181	0
Precinct 7037/7036 - Election Day	58	1,676	80	0	0	22	58	0
Precinct 7037/7036 - Vote By Mail	218	1,676	268	0	0	50	218	0
Precinct 7037/7036	276	1,676	348	0	0	72	276	0
Precinct 7038 - Election Day	35	924	49	0	0	14	35	0
Precinct 7038 - Vote By Mail	191	924	244	0	0	53	191	0
Precinct 7038	226	924	293	0	0	67	226	0
Precinct 7039 - Election Day	67	830	84	0	0	17	67	0
Precinct 7039 - Vote By Mail	146	830	197	0	0	51	146	0
Precinct 7039	213	830	281	0	0	68	213	0
Precinct 7041 MB - Election Day	0	60	0	0	0	0	0	0
Precinct 7041 MB - Vote By Mail	10	60	13	0	0	3	10	0
Precinct 7041 MB	10	60	13	0	0	3	10	0
Precinct 7042/7046 - Election Day	76	1,069	92	0	0	16	76	0
Precinct 7042/7046 - Vote By Mail	204	1,069	266	0	0	62	204	0
Precinct 7042/7046	280	1,069	358	0	0	78	280	0
Precinct 7043 - Election Day	51	961	61	0	0	10	51	0
Precinct 7043 - Vote By Mail	173	961	228	0	0	55	173	0
Precinct 7043	224	961	289	0	0	65	224	0
Precinct 7044 - Election Day	22	844	42	0	0	20	22	0
Precinct 7044 - Vote By Mail	98	844	115	0	0	17	98	0
Precinct 7044	120	844	157	0	0	37	120	0
Precinct 7045 - Election Day	40	783	49	0	0	9	40	0
Precinct 7045 - Vote By Mail	189	783	243	0	0	54	189	0
Precinct 7045	229	783	292	0	0	63	229	0
Precinct 7047/7051 - Election Day	73	1,727	102	0	0	29	73	0
Precinct 7047/7051 - Vote By Mail	368	1,727	509	0	0	141	368	0
Precinct 7047/7051	441	1,727	611	0	0	170	441	0
Precinct 7048 - Election Day	42	870	53	0	0	11	42	0
Precinct 7048 - Vote By Mail	176	870	209	0	0	33	176	0
Precinct 7048	218	870	262	0	0	44	218	0
Precinct 7049 - Election Day	60	815	68	0	0	8	60	0
Precinct 7049 - Vote By Mail	156	815	200	0	1	43	156	0
Precinct 7049	216	815	268	0	1	51	216	0
Precinct 7052 - Election Day	73	878	87	0	0	14	73	0
Precinct 7052 - Vote By Mail	194	878	247	0	0	53	194	0
Precinct 7052	267	878	334	0	0	67	267	0
Precinct 7053 - Election Day	27	568	38	0	0	11	27	0
Precinct 7053 - Vote By Mail	108	568	146	0	0	38	108	0
Precinct 7053	135	568	184	0	0	49	135	0
Precinct 7054 - Election Day	67	1,111	87	0	0	20	67	0
Precinct 7054 - Vote By Mail	192	1,111	243	0	0	51	192	0
Precinct 7054	259	1,111	330	0	0	71	259	0
Precinct 7055 - Election Day	30	799	37	0	0	7	30	0
Precinct 7055 - Vote By Mail	165	799	228	0	0	63	165	0
Precinct 7055	195	799	265	0	0	70	195	0
Precinct 7101 MB - Election Day	0	152	1	0	0	1	0	0
Precinct 7101 MB - Vote By Mail	65	152	77	0	0	12	65	0
Precinct 7101 MB	65	152	78	0	0	13	65	0
Precinct 7202/7201 - Election Day	115	1,747	156	0	0	41	115	0
Precinct 7202/7201 - Vote By Mail	352	1,747	485	0	0	133	352	0
Precinct 7202/7201	467	1,747	641	0	0	174	467	0
Precinct 7203 - Election Day	71	867	103	0	0	32	71	0
Precinct 7203 - Vote By Mail	138	867	203	0	0	65	138	0
Precinct 7203	209	867	306	0	0	97	209	0
Precinct 7204 - Election Day	78	890	100	0	0	22	78	0
Precinct 7204 - Vote By Mail	220	890	296	0	0	76	220	0
Precinct 7204	298	890	396	0	0	98	298	0
Precinct 7205 - Election Day	83	862	108	0	0	25	83	0
Precinct 7205 - Vote By Mail	185	862	269	0	1	83	185	0
Precinct 7205	268	862	377	0	1	108	268	0
Precinct 7207/7209 - Election Day	100	1,483	126	0	0	26	100	0
Precinct 7207/7209 - Vote By Mail	396	1,483	552	0	0	156	396	0
Precinct 7207/7209	496	1,483	678	0	0	182	496	0
Precinct 7208 - Election Day	36	560	48	0	0	12	36	0
Precinct 7208 - Vote By Mail	124	560	159	0	0	35	124	0
Precinct 7208	160	560	207	0	0	47	160	0
Precinct 7301/7304 - Election Day	160	1,993	200	0	0	40	160	0
Precinct 7301/7304 - Vote By Mail	416	1,993	554	0	2	136	416	0
Precinct 7301/7304	576	1,993	754	0	2	176	576	0
Precinct 7302 - Election Day	83	838	98	0	0	15	83	0
Precinct 7302 - Vote By Mail	234	838	312	0	0	78	234	0
Precinct 7302	317	838	410	0	0	93	317	0
Precinct 7305/7307 - Election Day	166	1,633	223	0	0	57	166	0
Precinct 7305/7307 - Vote By Mail	352	1,633	493	0	0	141	352	0
Precinct 7305/7307	518	1,633	716	0	0	198	518	0
Precinct 7306/7303 - Election Day	158	2,083	208	0	0	50	158	0
Precinct 7306/7303 - Vote By Mail	392	2,083	532	0	1	139	392	0
Precinct 7306/7303	550	2,083	740	0	1	189	550	0
Precinct 7308 - Election Day	75	614	98	0	0	23	75	0
Precinct 7308 - Vote By Mail	136	614	180	0	0	44	136	0
Precinct 7308	211	614	278	0	0	67	211	0
Precinct 7311 - Election Day	103	866	124	0	0	21	103	0
Precinct 7311 - Vote By Mail	197	866	247	0	0	50	197	0
Precinct 7311	300	866	371	0	0	71	300	0
Precinct 7312 - Election Day	71	801	91	0	0	20	71	0
Precinct 7312 - Vote By Mail	224	801	289	0	0	65	224	0
Precinct 7312	295	801	380	0	0	85	295	0
Precinct 7314/7313 - Election Day	100	1,749	142	0	0	42	100	0
Precinct 7314/7313 - Vote By Mail	372	1,749	501	0	1	128	372	0
Precinct 7314/7313	472	1,749	643	0	1	170	472	0
Precinct 7315/7316 - Election Day	138	1,584	175	0	0	37	138	0
Precinct 7315/7316 - Vote By Mail	284	1,584	360	0	0	76	284	0
Precinct 7315/7316	422	1,584	535	0	0	113	422	0
Precinct 7317 - Election Day	67	875	83	0	0	16	67	0
Precinct 7317 - Vote By Mail	219	875	301	0	0	82	219	0
Precinct 7317	286	875	384	0	0	98	286	0
Precinct 7318/7309 - Election Day	111	1,567	142	0	0	31	111	0
Precinct 7318/7309 - Vote By Mail	324	1,567	433	0	0	109	324	0
Precinct 7318/7309	435	1,567	575	0	0	140	435	0
Precinct 7321/7322 - Election Day	67	1,533	86	0	0	19	67	0
Precinct 7321/7322 - Vote By Mail	348	1,533	456	0	0	108	348	0
Precinct 7321/7322	415	1,533	542	0	0	127	415	0
Precinct 7323/7319 - Election Day	141	1,967	190	0	0	49	141	0
Precinct 7323/7319 - Vote By Mail	355	1,967	498	0	0	143	355	0
Precinct 7323/7319	496	1,967	688	0	0	192	496	0
Precinct 7325/7324 - Election Day	113	1,588	145	0	0	32	113	0
Precinct 7325/7324 - Vote By Mail	323	1,588	427	0	0	104	323	0
Precinct 7325/7324	436	1,588	572	0	0	136	436	0
Precinct 7326/7337 - Election Day	136	1,709	164	0	0	28	136	0
Precinct 7326/7337 - Vote By Mail	393	1,709	527	0	1	133	393	0
Precinct 7326/7337	529	1,709	691	0	1	161	529	0
Precinct 7327 - Election Day	30	668	40	0	0	10	30	0
Precinct 7327 - Vote By Mail	178	668	217	0	0	39	178	0
Precinct 7327	208	668	257	0	0	49	208	0
Precinct 7328 - Election Day	28	985	42	0	0	14	28	0
Precinct 7328 - Vote By Mail	271	985	328	0	0	57	271	0
Precinct 7328	299	985	370	0	0	71	299	0
Precinct 7329 - Election Day	36	638	52	0	0	16	36	0
Precinct 7329 - Vote By Mail	149	638	196	0	0	47	149	0
Precinct 7329	185	638	248	0	0	63	185	0
Precinct 7331 - Election Day	82	850	113	0	0	31	82	0
Precinct 7331 - Vote By Mail	205	850	302	0	0	97	205	0
Precinct 7331	287	850	415	0	0	128	287	0
Precinct 7332/7334 - Election Day	144	1,601	185	0	0	41	144	0
Precinct 7332/7334 - Vote By Mail	344	1,601	441	0	0	97	344	0
Precinct 7332/7334	488	1,601	626	0	0	138	488	0
Precinct 7333/7335 - Election Day	158	1,930	190	0	0	32	158	0
Precinct 7333/7335 - Vote By Mail	401	1,930	541	0	0	140	401	0
Precinct 7333/7335	559	1,930	731	0	0	172	559	0
Precinct 7336/7345 - Election Day	160	2,021	214	0	0	54	160	0
Precinct 7336/7345 - Vote By Mail	421	2,021	559	0	0	138	421	0
Precinct 7336/7345	581	2,021	773	0	0	192	581	0
Precinct 7338/7349 - Election Day	114	1,783	150	0	0	36	114	0
Precinct 7338/7349 - Vote By Mail	406	1,783	543	0	0	137	406	0
Precinct 7338/7349	520	1,783	693	0	0	173	520	0
Precinct 7339/7341 - Election Day	119	1,588	158	0	0	39	119	0
Precinct 7339/7341 - Vote By Mail	303	1,588	412	0	0	109	303	0
Precinct 7339/7341	422	1,588	570	0	0	148	422	0
Precinct 7342 - Election Day	128	909	158	0	0	30	128	0
Precinct 7342 - Vote By Mail	180	909	234	0	0	54	180	0
Precinct 7342	308	909	392	0	0	84	308	0
Precinct 7343 - Election Day	69	706	89	0	0	20	69	0
Precinct 7343 - Vote By Mail	115	706	144	0	0	29	115	0
Precinct 7343	184	706	233	0	0	49	184	0
Precinct 7344 - Election Day	91	1,052	113	0	0	22	91	0
Precinct 7344 - Vote By Mail	224	1,052	290	0	0	66	224	0
Precinct 7344	315	1,052	403	0	0	88	315	0
Precinct 7346 - Election Day	74	879	88	0	0	14	74	0
Precinct 7346 - Vote By Mail	130	879	170	0	0	40	130	0
Precinct 7346	204	879	258	0	0	54	204	0
Precinct 7348/7347 - Election Day	126	1,826	152	0	0	26	126	0
Precinct 7348/7347 - Vote By Mail	327	1,826	433	0	0	106	327	0
Precinct 7348/7347	453	1,826	585	0	0	132	453	0
Precinct 7502 - Election Day	54	779	70	0	0	16	54	0
Precinct 7502 - Vote By Mail	187	779	247	0	0	60	187	0
Precinct 7502	241	779	317	0	0	76	241	0
Precinct 7503 - Election Day	67	725	79	0	0	12	67	0
Precinct 7503 - Vote By Mail	163	725	204	0	0	41	163	0
Precinct 7503	230	725	283	0	0	53	230	0
Precinct 7504/7501 - Election Day	97	1,019	121	0	0	24	97	0
Precinct 7504/7501 - Vote By Mail	240	1,019	308	0	0	68	240	0
Precinct 7504/7501	337	1,019	429	0	0	92	337	0
Precinct 7505 - Election Day	84	851	101	0	0	17	84	0
Precinct 7505 - Vote By Mail	286	851	363	0	0	77	286	0
Precinct 7505	370	851	464	0	0	94	370	0
Precinct 7506/7507 - Election Day	158	1,913	188	0	0	30	158	0
Precinct 7506/7507 - Vote By Mail	415	1,913	516	0	0	101	415	0
Precinct 7506/7507	573	1,913	704	0	0	131	573	0
Precinct 7508 - Election Day	74	720	96	0	0	22	74	0
Precinct 7508 - Vote By Mail	207	720	288	0	0	81	207	0
Precinct 7508	281	720	384	0	0	103	281	0
Precinct 7509/7511 - Election Day	96	914	128	0	0	32	96	0
Precinct 7509/7511 - Vote By Mail	219	914	287	0	1	67	219	0
Precinct 7509/7511	315	914	415	0	1	99	315	0
Precinct 7512 - Election Day	53	588	78	0	0	25	53	0
Precinct 7512 - Vote By Mail	151	588	208	0	0	57	151	0
Precinct 7512	204	588	286	0	0	82	204	0
Precinct 7513 - Election Day	81	784	101	0	0	20	81	0
Precinct 7513 - Vote By Mail	158	784	193	0	0	35	158	0
Precinct 7513	239	784	294	0	0	55	239	0
Precinct 7514 - Election Day	61	901	87	0	1	25	61	0
Precinct 7514 - Vote By Mail	188	901	235	0	0	47	188	0
Precinct 7514	249	901	322	0	1	72	249	0
Precinct 7515 - Election Day	75	852	97	0	0	22	75	0
Precinct 7515 - Vote By Mail	188	852	242	0	0	54	188	0
Precinct 7515	263	852	339	0	0	76	263	0
Precinct 7516 - Election Day	81	906	111	0	0	30	81	0
Precinct 7516 - Vote By Mail	266	906	359	0	0	93	266	0
Precinct 7516	347	906	470	0	0	123	347	0
Precinct 7518/7517 - Election Day	263	1,754	329	0	0	66	263	0
Precinct 7518/7517 - Vote By Mail	423	1,754	563	0	0	140	423	0
Precinct 7518/7517	686	1,754	892	0	0	206	686	0
Precinct 7519 - Election Day	91	709	116	0	0	25	91	0
Precinct 7519 - Vote By Mail	152	709	204	0	0	52	152	0
Precinct 7519	243	709	320	0	0	77	243	0
Precinct 7521 - Election Day	99	761	136	0	0	37	99	0
Precinct 7521 - Vote By Mail	183	761	248	0	0	65	183	0
Precinct 7521	282	761	384	0	0	102	282	0
Precinct 7522/7523 - Election Day	230	1,464	290	0	0	60	230	0
Precinct 7522/7523 - Vote By Mail	333	1,464	424	0	0	91	333	0
Precinct 7522/7523	563	1,464	714	0	0	151	563	0
Precinct 7524 - Election Day	81	606	97	0	0	16	81	0
Precinct 7524 - Vote By Mail	135	606	165	0	1	29	135	0
Precinct 7524	216	606	262	0	1	45	216	0
Precinct 7525 - Election Day	78	762	97	0	0	19	78	0
Precinct 7525 - Vote By Mail	144	762	191	0	0	47	144	0
Precinct 7525	222	762	288	0	0	66	222	0
Precinct 7526 - Election Day	99	974	125	0	0	26	99	0
Precinct 7526 - Vote By Mail	210	974	297	0	0	87	210	0
Precinct 7526	309	974	422	0	0	113	309	0
Precinct 7527/7528 - Election Day	97	689	123	0	0	26	97	0
Precinct 7527/7528 - Vote By Mail	163	689	212	0	0	49	163	0
Precinct 7527/7528	260	689	335	0	0	75	260	0
Precinct 7529 - Election Day	140	906	172	0	0	32	140	0
Precinct 7529 - Vote By Mail	208	906	295	0	0	87	208	0
Precinct 7529	348	906	467	0	0	119	348	0
Precinct 7531 - Election Day	92	839	116	0	0	24	92	0
Precinct 7531 - Vote By Mail	209	839	275	0	0	66	209	0
Precinct 7531	301	839	391	0	0	90	301	0
Precinct 7532 - Election Day	90	792	114	0	0	24	90	0
Precinct 7532 - Vote By Mail	182	792	222	0	0	40	182	0
Precinct 7532	272	792	336	0	0	64	272	0
Precinct 7533 - Election Day	150	936	202	0	0	52	150	0
Precinct 7533 - Vote By Mail	208	936	275	0	0	67	208	0
Precinct 7533	358	936	477	0	0	119	358	0
Precinct 7534 - Election Day	115	881	153	0	0	38	115	0
Precinct 7534 - Vote By Mail	165	881	237	0	1	71	165	0
Precinct 7534	280	881	390	0	1	109	280	0
Precinct 7536/7535 - Election Day	245	1,594	319	0	0	74	245	0
Precinct 7536/7535 - Vote By Mail	379	1,594	496	0	0	117	379	0
Precinct 7536/7535	624	1,594	815	0	0	191	624	0
Precinct 7537/7538 - Election Day	243	1,472	302	0	0	59	243	0
Precinct 7537/7538 - Vote By Mail	334	1,472	438	0	0	104	334	0
Precinct 7537/7538	577	1,472	740	0	0	163	577	0
Precinct 7539 - Election Day	190	906	233	0	0	43	190	0
Precinct 7539 - Vote By Mail	209	906	279	0	0	70	209	0
Precinct 7539	399	906	512	0	0	113	399	0
Precinct 7541 - Election Day	110	769	136	0	0	26	110	0
Precinct 7541 - Vote By Mail	178	769	248	0	0	70	178	0
Precinct 7541	288	769	384	0	0	96	288	0
Precinct 7543/7542 - Election Day	197	1,718	252	0	0	55	197	0
Precinct 7543/7542 - Vote By Mail	430	1,718	549	0	0	119	430	0
Precinct 7543/7542	627	1,718	801	0	0	174	627	0
Precinct 7544 - Election Day	118	892	152	0	0	34	118	0
Precinct 7544 - Vote By Mail	207	892	283	0	0	76	207	0
Precinct 7544	325	892	435	0	0	110	325	0
Precinct 7545 - Election Day	108	877	139	0	0	31	108	0
Precinct 7545 - Vote By Mail	221	877	277	0	0	56	221	0
Precinct 7545	329	877	416	0	0	87	329	0
